seed,target,W,p,d,mean,sem,n,p_fdr
pIPS_left,LO_left,187.0,9.5367431640625e-06,1.3403448462131362,0.03512177828531569,0.0061762333434918675,19.0,3.814697265625e-05
pIPS_left,LO_right,178.0,0.000133514404296875,1.155803830963794,0.03101611554133459,0.006325094575681552,19.0,0.00022379557291666666
pIPS_right,LO_left,177.0,0.0001678466796875,1.1373702233470997,0.027877122569824508,0.005777099372000403,19.0,0.00022379557291666666
pIPS_right,LO_right,170.0,0.000705718994140625,1.004254634991815,0.022883719098414815,0.00537089312791309,19.0,0.000705718994140625
