seed,target,W,p,d,mean,sem,p_fdr
pIPS_left,LO_left,3.0,1.9073486328125e-05,1.3403448462131362,0.03512177828531569,0.0061762333434918675,7.62939453125e-05
pIPS_left,LO_right,12.0,0.00026702880859375,1.155803830963794,0.03101611554133459,0.006325094575681552,0.0004475911458333333
pIPS_right,LO_left,13.0,0.000335693359375,1.1373702233470997,0.027877122569824508,0.005777099372000403,0.0004475911458333333
pIPS_right,LO_right,20.0,0.00141143798828125,1.004254634991815,0.022883719098414815,0.00537089312791309,0.00141143798828125
