ROI_ID,ROI_Name,pIPS,LO,Abs_Difference,Rel_Difference,Z_Score,Is_Significant,Is_Top_10_Percent
1,ROI_1,2.2208701658686367,1.9595225955368183,0.26134757033181844,0.26134757033181844,-0.2172276168934587,False,False
2,ROI_2,2.708616558809458,3.4040683261461773,0.6954517673367193,-0.6954517673367193,0.5130681714532546,False,False
3,ROI_3,3.7355697755144583,6.3631195877736335,2.627549812259175,-2.627549812259175,3.763446939074012,True,True
4,ROI_4,0.021240794220560986,0.0,0.021240794220560986,0.021240794220560986,-0.6211605172371495,False,False
5,ROI_5,0.31382031503066515,2.0373353082370134,1.7235149932063483,-1.7235149932063483,2.2425843779004584,True,True
6,ROI_6,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
7,ROI_7,0.05387505457072915,0.10964280716673343,0.05576775259600428,-0.05576775259600428,-0.5630756324100078,False,False
8,ROI_8,3.271417994371782,3.6124431134611577,0.3410251190893758,-0.3410251190893758,-0.08318565488317864,False,False
9,ROI_9,0.7578839732599438,2.8503983116991733,2.0925143384392295,-2.0925143384392295,2.863353929509345,True,True
10,ROI_10,0.9375228597762737,0.0,0.9375228597762737,0.9375228597762737,0.9203056515532193,False,False
11,ROI_11,2.7511756472028295,3.6356723418114694,0.8844966946086399,-0.8844966946086399,0.8310994532227687,False,False
12,ROI_12,2.029661874855514,0.0,2.029661874855514,2.029661874855514,2.7576168973426545,True,True
13,ROI_13,1.380238331893626,0.0026710295300073073,1.3775673023636186,1.3775673023636186,1.6605947464851603,False,True
14,ROI_14,3.2892547389906577,1.26832394254556,2.0209307964450978,2.0209307964450978,2.7429285579189746,True,True
15,ROI_1,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
16,ROI_2,0.006542470987327162,0.0,0.006542470987327162,0.006542470987327162,-0.645887584211045,False,False
17,ROI_3,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
18,ROI_4,0.0,0.0,0.0,0.0,-0.656894017782503,False,False
19,ROI_5,0.00658491609010054,0.0,0.00658491609010054,0.00658491609010054,-0.6458161785899862,False,False
20,ROI_6,0.021356151740883542,0.03220913342550291,0.01085298168461937,-0.01085298168461937,-0.6386359892493395,False,False
21,ROI_7,0.48480185866355896,0.571550600456469,0.08674874179291003,-0.08674874179291003,-0.5109561503008314,False,False
22,ROI_8,0.004799458033898298,0.0,0.004799458033898298,0.004799458033898298,-0.6488198641284135,False,False
23,ROI_9,1.3929523604887504,1.3443049402148635,0.04864742027388691,0.04864742027388691,-0.5750542051636192,False,False
24,ROI_10,0.5839010886032215,0.28872110156247216,0.2951799870407494,0.2951799870407494,-0.1603111631881187,False,False
25,ROI_11,3.2144029573373354,2.4044110820222353,0.8099918753151001,0.8099918753151001,0.7057596013692037,False,False
26,ROI_12,0.3756392780143725,0.12673376141919457,0.24890551659517796,0.24890551659517796,-0.23815894975073917,False,False
