Analysis,Hemisphere,Dice,pIPS_only,LO_only,Overlap,Total,pIPS_only_pct,LO_only_pct,Overlap_pct
fc,merged,0.7029377880184332,15559,5069,24406,45034,34.54945152551406,11.255939956477329,54.194608518008614
ppi,merged,0.7381221441556527,7629,3031,15023,25683,29.704473776427985,11.801580812210412,58.4939454113616
