subject,index,task,roi,hemisphere,x,y,z
sub-059,0,loc,pIPS,left,-18.162124440073967,-64.75650223717093,18.267705969512463
sub-059,0,loc,pIPS,right,41.61890911310911,-57.49046229571104,3.623108580708504
sub-059,1,loc,LO,left,-26.4312087520957,-58.14581426605582,-14.119357697665691
sub-059,1,loc,LO,right,42.56577256694436,-46.57365567237139,-19.462097734212875
sub-059,1,loc,PFS,left,-29.00079122930765,-22.391734205186367,-17.589660614728928
sub-059,1,loc,PFS,right,33.43786578252912,-19.21692717075348,-23.62037804722786
sub-059,1,loc,aIPS,left,-12.63227790594101,-60.11287166550756,22.24989352375269
sub-059,1,loc,aIPS,right,34.240937154740095,-61.989413026720285,12.585553087294102
sub-059,1,loc,pIPS,left,-15.78079892322421,-66.10858663544059,13.524163894355295
sub-059,1,loc,pIPS,right,34.240937154740095,-61.989413026720285,12.585553087294102
sub-059,2,loc,LO,left,-26.4312087520957,-58.14581426605582,-14.119357697665691
sub-059,2,loc,LO,right,42.56577256694436,-46.57365567237139,-19.462097734212875
sub-059,2,loc,PFS,left,-29.00079122930765,-22.391734205186367,-17.589660614728928
sub-059,2,loc,PFS,right,33.43786578252912,-19.21692717075348,-23.62037804722786
sub-059,2,loc,aIPS,left,-18.11843253299594,-65.75105777010322,18.36231199651957
sub-059,2,loc,aIPS,right,29.52110885828733,-57.90654494613409,4.836125239729881
sub-059,2,loc,pIPS,left,-18.11843253299594,-65.75105777010322,18.36231199651957
sub-059,2,loc,pIPS,right,41.61890911310911,-57.49046229571104,3.623108580708504
sub-064,0,loc,LO,left,-37.350249998271465,-44.40171155706048,-11.403185985982418
sub-064,0,loc,LO,right,44.26776161417365,-45.89676889404655,1.1740884110331535
sub-064,0,loc,PFS,left,-41.69506445527077,-38.33958863094449,-10.792393498122692
sub-064,0,loc,PFS,right,39.28237931057811,-18.015207570046183,-6.491697914898396
sub-064,0,loc,aIPS,left,-31.28429725766182,-56.391539219766855,36.140976913273335
sub-064,0,loc,aIPS,right,32.46811908110976,-44.34066230431199,32.77069867402315
sub-064,0,loc,pIPS,left,-39.67941596731544,-65.10758714005351,13.812714003026484
sub-064,0,loc,pIPS,right,43.516430139541626,-53.14088233932853,21.885396979749203
sub-064,1,loc,LO,left,-37.350249998271465,-44.40171155706048,-11.403185985982418
sub-064,1,loc,LO,right,46.30103627219796,-46.77875920012593,1.4704687669873238
sub-064,1,loc,PFS,left,-39.63793181627989,-31.511806409806013,-18.082766957581043
sub-064,1,loc,PFS,right,39.2204788774252,-17.828441124409437,-5.511245675384998
sub-064,1,loc,aIPS,left,-26.035174027085304,-51.28293154761195,45.698613457381725
sub-064,1,loc,aIPS,right,18.674274638295174,-50.267024360597134,52.40755511820316
sub-064,1,loc,pIPS,left,-26.035174027085304,-51.28293154761195,45.698613457381725
sub-064,1,loc,pIPS,right,18.674274638295174,-50.267024360597134,52.40755511820316
sub-064,2,loc,LO,left,-37.28834956511855,-44.58847800269723,-12.383638225495815
sub-064,2,loc,LO,right,38.72458485886455,-37.54838939011097,3.313588470220566
sub-064,2,loc,PFS,left,-39.90143886953592,-35.90458897873759,-9.103122122585772
sub-064,2,loc,PFS,right,39.2204788774252,-17.828441124409437,-5.511245675384998
sub-064,2,loc,aIPS,left,-31.28429725766182,-56.391539219766855,36.140976913273335
sub-064,2,loc,aIPS,right,19.594371795654297,-48.25513862445951,52.08240074664354
sub-064,2,loc,pIPS,left,-37.98630688339472,-61.504668686538935,16.29309979826212
sub-064,2,loc,pIPS,right,42.821223966777325,-49.77883315086365,13.04156869649887
sub-067,0,loc,LO,left,-46.438043013215065,-50.099598187953234,-7.334560960531235
sub-067,0,loc,LO,right,48.60346166044474,-48.90802245028317,-6.56175397336483
sub-067,0,loc,PFS,left,-44.14891041070223,-42.175636909902096,-13.813038289546968
sub-067,0,loc,PFS,right,34.06587556749582,-38.64610551670194,-18.90473887324333
sub-067,0,loc,aIPS,left,-28.255057975649837,-59.70781877078116,20.216434195637703
sub-067,0,loc,aIPS,right,25.969685658812523,-48.80196041427553,19.37462620437145
sub-067,0,loc,pIPS,left,-28.255057975649837,-59.70781877078116,20.216434195637703
sub-067,0,loc,pIPS,right,25.969685658812523,-48.80196041427553,19.37462620437145
sub-067,1,loc,LO,left,-47.52067197859287,-49.36627333052456,-3.424300298094749
sub-067,1,loc,LO,right,48.541243866086006,-49.53335432894528,-4.415806874632835
sub-067,1,loc,PFS,left,-43.85882780700922,-35.38125612586737,-21.14463037252426
sub-067,1,loc,PFS,right,42.70926009863615,-40.4012811537832,-5.185759142041206
sub-067,1,loc,aIPS,left,-28.151628755033016,-54.78943362273276,19.322683408856392
sub-067,1,loc,aIPS,right,14.164677046239376,-42.79409946501255,56.664652824401855
sub-067,1,loc,pIPS,left,-28.151628755033016,-54.78943362273276,19.322683408856392
sub-067,1,loc,pIPS,right,13.352967329323292,-58.34421334974468,38.12995360791683
sub-067,2,loc,LO,left,-46.438043013215065,-50.099598187953234,-7.334560960531235
sub-067,2,loc,LO,right,49.56149477511645,-48.56631185486913,-4.570423811674118
sub-067,2,loc,PFS,left,-30.17576547712088,-42.22934811189771,-12.491574734449388
sub-067,2,loc,PFS,right,32.066585175693035,-36.28713719546795,-17.343308687210083
sub-067,2,loc,aIPS,left,-26.297459796071053,-59.382742730900645,22.231897577643394
sub-067,2,loc,aIPS,right,27.927444100379944,-50.80258358456194,19.780392959713936
sub-067,2,loc,pIPS,left,-26.297459796071053,-59.382742730900645,22.231897577643394
sub-067,2,loc,pIPS,right,27.927444100379944,-50.80258358456194,19.780392959713936
sub-068,0,loc,LO,left,-39.48449306259863,-39.65715454053134,-12.997198097407818
sub-068,0,loc,LO,right,34.53932547895238,-56.60142579022795,-11.462285481393335
sub-068,0,loc,PFS,left,-38.487964855274186,-35.724286979064345,-13.731693059206007
sub-068,0,loc,PFS,right,30.3814155026339,-17.686423477716744,-21.123258106410503
sub-068,0,loc,aIPS,left,-29.234187833033506,-38.177691656164825,36.06136306375265
sub-068,0,loc,aIPS,right,30.263840418774635,-50.33569945022464,47.60090923309326
sub-068,0,loc,pIPS,left,-11.283607341814786,-64.09310124162585,38.73860625177622
