Region,Strength,Normalized_Strength,Closeness,Betweenness,Eigenvector
L_V1,44.511343149933964,0.24866672150801097,0.20530857885697165,0.00075324838365451,0.07514660037550756
L_MST,20.505185495130718,0.11455410891134479,0.14507869325458886,0.011424267152093402,0.0311550066611704
L_V6,32.6951282407972,0.18265434771395087,0.17809127944498906,0.016634235139037095,0.053857155797803945
L_V2,53.98551516002044,0.30159505675989073,0.23136871975026194,0.009227292699767747,0.09103347478545933
L_V3,35.81327236490324,0.20007414728996223,0.178877562073667,0.004331178206013433,0.057860466425340075
L_V4,27.014838887145743,0.1509208876376857,0.16431616972225557,0.00012554139727575167,0.04309881868886457
L_V8,17.94649550068425,0.10025975140047066,0.15017516081309729,0.01161257924800703,0.02750729612436768
L_4,68.53115693712607,0.382855625347073,0.2663831008722241,0.03408448936036658,0.11894567703671152
L_3b,63.54161468849634,0.35498108764523095,0.2500677120811143,0.001883120959136275,0.11093185892333958
L_FEF,54.55395906470949,0.30477072103189656,0.22680772194124774,0.0,0.09565229024675206
L_PEF,47.36977729899809,0.2646356273687044,0.2091314391576988,0.0,0.08237099632460346
L_55b,56.84545160946436,0.3175723553601361,0.23278682811690973,0.0,0.09949800272616299
L_V3A,5.6693910559333744,0.031672575731471364,0.06486513217789801,0.0,0.008834209555869497
L_RSC,58.24708731006831,0.32540272240261625,0.24543697779632073,0.021467578934153533,0.10016032146160923
L_POS2,43.134098303853534,0.24097261622264543,0.20147160490839408,0.0020714330550499027,0.07282624502443659
L_V7,6.786542463785736,0.037913645049082324,0.0978514129544074,0.0,0.009365298548255694
L_IPS1,28.669253134925384,0.16016342533477868,0.16219890708476922,0.0008160190822923859,0.04576416429033225
L_FFC,38.51494469237514,0.21516728878421865,0.18612017786514223,0.000376624191827255,0.06300503355494548
L_V3B,12.113573880400509,0.06767359709720955,0.11657491004390041,0.0016948088632226476,0.017859127318289297
L_LO1,1.6036161974916467,0.008958749706657245,0.03381289530177602,0.0,0.0021216290278929955
L_LO2,0.0,0.0,0.0,0.0,6.494195976154805e-12
L_PIT,2.4278181934751046,0.013563230131145836,0.04713505857643787,0.0,0.003468015155663088
L_MT,7.788474785389553,0.04351103232061203,0.09756460619066627,0.0,0.011596600930245
L_A1,56.282890159403905,0.3144295539631503,0.23471661900376517,0.0,0.09774437395638884
L_PSL,45.52528181881644,0.2543311833453432,0.20942246198832698,0.0,0.0778036950633178
L_SFL,49.096461969158554,0.27428191044222655,0.21440741324738422,0.0,0.08580824407850696
L_PCV,48.28049663829279,0.2697234449066636,0.21151300252138588,0.0021342037536877783,0.08270006072270784
L_STV,44.314563151681796,0.24756739190883684,0.2068769018972858,0.006842006151528465,0.07346991322115932
L_7Pm,33.296696979145054,0.18601506692259806,0.17593494627116676,0.0005649362877408825,0.054670979380477575
L_7m,48.22215938952286,0.26939753848895454,0.21331396083232504,0.00043939489046513085,0.08260494933917772
L_POS1,48.995115046505816,0.27371572651679227,0.21805127823005604,0.0016320381645847717,0.08550825507377215
L_23d,54.4159134963993,0.30399951673966086,0.2332734159775081,0.002322515849601406,0.09274826570262905
L_v23ab,48.960034233750775,0.27351974432263004,0.21765538176863047,0.0,0.08541476700328952
L_d23ab,51.34032754600048,0.28681747232402505,0.22569952858524014,0.004331178206013433,0.08783114595973697
L_31pv,53.15091153839603,0.2969324666949499,0.22622294445056346,0.0,0.09183638417573423
L_5m,55.57296643825248,0.3104634996550418,0.2332270202488836,0.006842006151528465,0.09574299375880585
L_5mv,57.05727757932618,0.3187557406666267,0.2359036340786591,0.004205636808737681,0.09846361144703694
L_23c,56.95753158512525,0.3181985004755601,0.2344084066495844,0.0009415604795681375,0.09854465424406676
L_5L,43.45592805923661,0.2427705478169643,0.20706902922321513,0.0013809553700332682,0.07476352654110865
L_24dd,60.34368361212546,0.3371155509057288,0.24604651834940874,0.00012554139727575167,0.10461647746074178
L_24dv,51.59837878527469,0.28825909935907645,0.22011409919810357,0.0,0.09025855764151762
L_7AL,32.88313896628097,0.1837046869624635,0.17804431940750923,0.0,0.055684808123358215
L_SCEF,56.91033096794854,0.3179348098768075,0.2329947562560957,0.0,0.1000835451881
L_6ma,50.500489216065034,0.2821256380785756,0.21613233247047564,0.0,0.08882906855258163
L_7Am,25.85654974495992,0.14444999857519508,0.16707564244480444,0.0008160190822923859,0.04262262668990758
L_7PL,5.535208843532018,0.030922954433139766,0.08302160500031021,0.0,0.008096499737824583
L_7PC,44.30354712251574,0.24750584984645663,0.20321639493952443,0.0012554139727575166,0.07608419638025218
L_LIPv,46.861158940708265,0.26179418402630317,0.21028662506412682,0.005900445671960328,0.07874374017569549
L_VIP,19.567723994143307,0.10931689382202965,0.1307856082919633,0.0001883120959136275,0.03185800441935301
L_MIP,37.15608835899911,0.20757591262010677,0.18560670628896916,0.01205197413847216,0.06083379276383696
L_1,50.28830745042069,0.2809402650861491,0.21918841645275502,6.277069863787583e-05,0.08889826602762915
L_2,61.20238682930358,0.34191277558270156,0.24594901716639886,0.005837674973322452,0.1061733656336005
L_3a,65.1263630464673,0.36383443042719166,0.25660665047586007,0.002699140041428661,0.11324060743864062
L_6d,53.14726365962997,0.2969120874839663,0.22191564240669553,0.0,0.0935042750005157
L_6mp,55.02757619146723,0.3074166267679734,0.22930381860070057,0.0,0.09603484484245096
L_6v,48.925803365244064,0.2733285104203579,0.21382795654703385,0.0,0.08614928597872933
L_p24pr,52.50554147490766,0.29332704734585285,0.22506840474105003,0.0009415604795681375,0.09040602014002892
L_33pr,31.76450475968886,0.1774553338530104,0.16301844552641612,0.0,0.05336996547209516
L_a24pr,34.94033866986865,0.19519742273669638,0.174090231306919,0.0001883120959136275,0.059129427443669655
L_p32pr,47.08963569160551,0.2630705904558967,0.20722678284487253,0.0001883120959136275,0.08156676705022604
L_a24,27.438191002001986,0.15328598325140774,0.15751966842216264,0.0005021655891030067,0.04373149300956702
L_d32,38.67946068383753,0.21608637253540522,0.1869343605595396,0.0008787897809302617,0.06445937852306954
L_8BM,54.668836826924235,0.3054124962398002,0.22978936513318288,0.001569267465946896,0.09422089162674789
L_p32,25.95067216503594,0.14497582215103877,0.14525719626878977,0.0,0.0413050324048953
L_10r,24.16552065196447,0.13500290867019257,0.14170514446110752,0.011235955056179775,0.0374858647594019
L_47m,24.3132533277967,0.13582823088154583,0.1419952440000309,6.277069863787583e-05,0.03935288157779601
L_8Av,55.64218849875033,0.3108502150768175,0.23472101477469184,0.000376624191827255,0.09610219470170021
L_8Ad,48.707500672200695,0.2721089423027972,0.21839928788382632,0.0005021655891030067,0.0832372134927546
L_9m,43.41804480634164,0.24255890953263487,0.20345664901127772,0.005586592178770949,0.07304109735386478
L_8BL,49.58759419404669,0.277025665888529,0.21927029163658282,0.0005021655891030067,0.08535081865860229
L_9p,44.19732507702429,0.24691243059790105,0.20177788287805357,0.0001883120959136275,0.07479393687830198
L_10d,38.889768715016544,0.2172612777375226,0.19028260087674592,0.024480572468771576,0.06352685922638536
L_8C,49.13385211187415,0.2744907939210846,0.21528476609307698,0.00043939489046513085,0.08462736839069397
L_44,55.38526648507104,0.3094148965646427,0.22943995116049537,6.277069863787583e-05,0.09714963811127841
L_45,51.187172762234695,0.28596185900689775,0.21887358237346996,0.0010043311782060133,0.08853976353717845
L_47l,34.80856516934,0.19446125792927374,0.17657152505113236,0.0017575795618605234,0.057942682897011114
L_a47r,40.232524468097836,0.22476270652568622,0.1942035017553184,0.004080095411461929,0.06622566813757139
L_6r,58.20626542530954,0.3251746671805002,0.23963376372229586,0.004456719603289184,0.101271631104516
L_IFJa,39.92508828965947,0.22304518597575124,0.18853865824773652,0.0,0.06946495400794077
L_IFJp,36.53116858654539,0.20408474070695748,0.1790830332569047,0.0,0.0633009649501614
L_IFSp,46.21606010157848,0.2581902798970865,0.2067112158101758,0.0,0.08096214282630103
L_IFSa,53.75233216228662,0.3002923584485286,0.22668041535350375,0.0001883120959136275,0.09327566103874005
L_p9-46v,48.94908319332171,0.27345856532581964,0.2144933597745082,6.277069863787583e-05,0.08493828233576571
L_46,50.232312293257564,0.28062744297909253,0.2183887596537092,0.0012554139727575166,0.0864826526040898
L_a9-46v,46.74747309740633,0.26115906758327556,0.20872804941693718,0.00025108279455150333,0.08020770115879186
L_9-46d,45.00652962352615,0.25143312638841425,0.2032646034435061,0.0,0.07758775569723095
L_9a,40.67488958447939,0.22723402002502452,0.1895171466536349,0.0001883120959136275,0.0684195177834928
L_10v,17.44041641498916,0.09743249393848692,0.11872633353758567,0.00043939489046513085,0.026390268916199035
L_a10p,26.154384458437562,0.14611387965607578,0.1416031177575759,0.00012554139727575167,0.04251445982616365
L_10pp,15.143933804007247,0.08460298214529188,0.10641393169528802,0.0,0.023414249061341208
L_11l,28.195083868224174,0.15751443501801216,0.15632994911471815,0.0005021655891030067,0.04664395495803332
L_13l,26.496922253631055,0.14802749862363718,0.1458625802830594,0.0008160190822923859,0.0429511772898874
L_OFC,9.247388186631724,0.05166138651749567,0.09592871884442968,6.277069863787583e-05,0.012999488755311863
L_47s,29.305048671085387,0.16371535570438764,0.15695839538447606,0.0001883120959136275,0.04802117359285425
L_LIPd,48.096665816381574,0.2686964570747574,0.2144474093805495,0.0010043311782060133,0.08123530245237255
L_6a,54.32956227264367,0.3035171076684004,0.22802569327315647,0.0,0.09501940657085826
L_i6-8,56.69108619308099,0.31670997873229606,0.2351534922891302,6.277069863787583e-05,0.09888849197026604
L_s6-8,47.31327139030327,0.2643199519011356,0.21160124346405235,0.0,0.08275462888462971
L_43,58.830883260350674,0.3286641522924619,0.24245184782346202,0.0010671018768438892,0.10246014196498948
L_OP4,58.33478254429065,0.32589263991223827,0.23987134883257716,0.00012554139727575167,0.1021685086842645
L_OP1,55.09227631939575,0.3077780799966243,0.2309609049404084,0.0,0.09689660403971634
L_OP2-3,51.80775128933601,0.28942877815271517,0.22110089331155744,0.0,0.09082971816578
L_52,41.93275764514692,0.23426121589467555,0.19580502916257644,0.0,0.07159363766556479
L_RI,53.76362575695384,0.30035545115616674,0.2330669761496613,0.00043939489046513085,0.0922918641810378
L_PFcm,56.93634496210143,0.3180801394530806,0.24069166703670514,0.0010671018768438892,0.09909158586020972
L_PoI2,57.48695223960385,0.32115615776315,0.24219742827954394,0.006528152658339087,0.0980503499862397
L_TA2,52.0087668573251,0.2905517701526542,0.2297813440798536,0.02140480823551566,0.0873534327698672
L_FOP4,43.89508388750255,0.2452239323324165,0.19950824102767079,0.0,0.07648264442557554
L_MI,46.51906913332641,0.25988306778394643,0.2081895295761781,0.000376624191827255,0.08018013064904231
L_Pir,35.781982901506126,0.19989934581846996,0.17901057388122718,0.004833343795116439,0.0593419603673192
L_AVI,38.128916092799045,0.21301070442904493,0.18335236726541967,6.277069863787583e-05,0.06454095191443865
L_AAIC,33.06648213183507,0.1847289504571792,0.1701069855745117,0.00012554139727575167,0.05455521421211049
L_FOP1,51.88914079894312,0.2898834681505202,0.2252051242622642,0.0006277069863787583,0.0897508063833831
L_FOP3,41.4373702253215,0.23149368840961732,0.19348217870397383,0.0,0.07298601691426526
L_FOP2,48.030001278966665,0.26832402949143386,0.2108751049939493,0.0,0.08450383526058979
L_PFt,51.790081684841425,0.28933006527844374,0.22124468669863365,0.000376624191827255,0.09037541552243314
L_AIP,53.723161448026076,0.3001293935643915,0.22770063850519537,0.0016948088632226476,0.09188278469140602
L_EC,43.99440872675041,0.24577881970251625,0.20266471846335843,0.0,0.07608912784892116
L_PreS,57.80965538462624,0.3229589686291969,0.24057303406697253,0.0008160190822923859,0.1002992402561745
L_H,57.02929354668595,0.3185994052887483,0.2399491023358235,0.007218630343355721,0.09738339485214462
L_ProS,49.32152043649694,0.27553922031562533,0.21804023097171368,6.277069863787583e-05,0.08506165120435508
L_PeEc,45.17973830434494,0.25240077264997174,0.20765152841053405,0.009666687590232878,0.07740809900484034
L_STGa,33.753221235994715,0.1885654817653336,0.17437206583297052,0.0011926432741196408,0.05449741897911806
L_PBelt,60.64863814599812,0.3388192075195426,0.2504198197157898,0.0008160190822923859,0.10464980848545001
L_A5,55.205437269294634,0.3084102640742717,0.23998417976881378,0.011738120645282782,0.09293061393904743
L_PHA1,59.702193018049,0.33353180457010617,0.24706279787273894,0.00376624191827255,0.10296380373271748
L_PHA3,52.65397587651387,0.29415628981292663,0.2269003741369774,0.002699140041428661,0.08915490541987163
L_STSda,48.409429978986736,0.27044374289936723,0.21914735694574813,0.011047642960266146,0.08104725360533221
L_STSdp,56.28759004664607,0.31445581031645853,0.24148441077099575,0.0025108279455150332,0.09571613062866978
L_STSvp,49.071324499323964,0.2741414776498545,0.2220491447889299,0.00376624191827255,0.08209703734111752
L_TGd,23.816699021394015,0.13305418447706155,0.14114860951812494,0.0,0.03835839022328004
L_TE1a,26.51018214179203,0.14810157621112865,0.15556044849279915,0.0,0.04294498272008191
L_TE1p,22.621125515084714,0.12637500287756823,0.12998187634572606,0.0,0.0368398529863878
L_TE2a,25.299528437666595,0.1413381476964614,0.1442140428876883,0.0,0.0421842393627742
L_TF,48.69887422770262,0.2720607498754336,0.21675825631073364,0.0027619107400665365,0.08348329696240939
L_TE2p,45.725365680176765,0.2554489702803171,0.2090878669900329,0.008536815014751113,0.07514031125709014
L_PHT,16.240356820693705,0.0907282503949369,0.1211316973903687,0.0,0.02580803200900975
L_PH,25.235797735862434,0.1409821102562147,0.15652454502361515,0.002636369342790785,0.039382114381298794
L_TPOJ1,53.623482380993664,0.299572527268121,0.23584973132374654,0.06251961584332433,0.09018159930427086
L_TPOJ2,30.660835578572005,0.17128958423783244,0.17328223547105004,0.014625572782625069,0.04862520272833646
L_TPOJ3,31.56043677055277,0.1763152892209652,0.17175813289615044,0.022409139413721673,0.05077867740160301
L_DVT,48.40498214121908,0.270418894643682,0.2150893081606213,0.015253279769003827,0.08175223608220883
L_PGp,6.274828454304952,0.03505490756594945,0.0749481086635307,0.0,0.00965636099643699
L_IP2,48.956550848612096,0.2735002840704586,0.2159367912681986,0.002699140041428661,0.0829656109223052
L_IP1,36.13563029980287,0.20187502960783726,0.181316922499075,0.003075764233255916,0.05875369283440936
L_IP0,24.785715118981898,0.13846768222894915,0.1577602521121448,0.011863662042558532,0.03837096816814091
L_PFop,51.672914068592945,0.28867549758990474,0.2222667670097227,0.0,0.09033467487649717
L_PF,51.36442996554251,0.286952122712528,0.22402671529510831,0.002950222835980164,0.08750995997430322
L_PFm,40.82055696565658,0.22804780427741106,0.19501833250363473,0.0069675475488042175,0.06766018618305583
