seed_hemisphere,target_hemisphere,t_stat,p_value,cohens_d,mean_diff,se_diff,n,df,p_fdr
left,left,-12.878299133232682,3.390029385223898e-10,-3.123446329683454,-0.1488641844997494,0.011233625001035958,18,17,6.514192300784881e-10
left,right,-10.917037569084489,4.215854458422198e-09,-2.6477705303630357,-0.13183028609435044,0.011735418936310001,18,17,4.215854458422198e-09
right,left,-12.734952981772219,4.031682520423428e-10,-3.088679781242437,-0.13807816070485593,0.01053697271793527,18,17,6.514192300784881e-10
right,right,-12.577616231029687,4.88564422558866e-10,-3.0505200140599116,-0.15081948469048945,0.011653256916654045,18,17,6.514192300784881e-10
