hemisphere,n_subjects,orig_threshold,clean_threshold,orig_sig_voxels,clean_sig_voxels,percent_retained
left,18,2.595607042311622,2.6882362365712655,27546,20921,75.94932113555507
right,18,2.6124351024617685,2.712125539778663,26176,19439,74.26268337408312
