sub,lpIPS-lLO,lpIPS-rLO,rpIPS-lLO,rpIPS-rLO
sub-025,1.3698640416266201,0.3252899195829943,11.042511748860795,7.201621008932174
sub-038,-2.1316060274540836,-1.114698116371917,-3.675020236044966,1.4123112540743066
sub-057,-3.047649692771247,2.081580566182439,-1.1972737850822228,-1.8117963208037111
sub-059,1.4412319814955101,1.8532586842455345,-0.9755570686113909,-0.5393793165749329
sub-064,-0.5567925335880458,-16.600585595880354,-6.533298101234547,-6.8501796061291484
sub-067,8.484211274123334,8.267732157122902,11.108706746259928,6.47002508077739
sub-068,-3.0914900296255863,2.2499875785913566,-1.6871893667903926,2.5980463735367394
sub-071,-1.3708906294961374,1.5996449925822376,-1.1040930088681578,7.67902877841151
sub-083,2.284757897201277,2.9769318472231974,2.9108114973259416,-2.2146000037448657
sub-084,0.6870520912115543,-3.9865322878264453,-1.2682549316425609,0.0700031010465784
sub-085,2.4373612802152502,16.623136291490077,-5.023853025970381,6.71000692741163
sub-087,5.399558084423077,0.1662497086993342,1.6586589196124677,-3.2406199734714627
sub-088,-5.584570732317421,0.7952192231830543,-3.6328912317357127,-0.5059813986301934
sub-093,-2.3464107708855613,-0.4989837031489852,-1.9410358937185015,-1.6174182386852207
sub-094,8.019893502865935,4.073657387475755,9.977317330460002,1.82422697248833
sub-095,4.736025483511522,1.6059047046331665,-0.10718882313173299,0.5718590671222685
sub-096,2.4045095199936912,-0.7530090273659708,1.8456134780719358,-1.573687924937187
sub-097,0.5442805028621782,-0.2330719637978421,0.26544264681163776,3.4536639370598983
sub-107,0.22058811721686702,-3.820490575327245,0.28294391597028135,-4.572851153124069
