origin,target,Mean f_diff,Std f_diff,p_value,p_value_fdr,significant_fdr
pIPS_left,LO_left,-1.3351613607502317,3.266540777320752,0.2645263671875,0.8940327962239584,False
pIPS_left,LO_right,-0.18799903981181998,2.6558984991612435,0.8985748291015625,0.8985748291015625,False
pIPS_right,LO_left,-0.4181709870453869,2.897430629106812,0.550872802734375,0.8940327962239584,False
pIPS_right,LO_right,-0.4209143356907689,2.5231223045803857,0.6705245971679688,0.8940327962239584,False
