,lpIPS-lLO,lpIPS-rLO,rpIPS-lLO,rpIPS-rLO
count,19.0,19.0,19.0,19.0
mean,8.143759091099236,7.50812303764567,1.8389912644899407,1.5996228028307673
std,11.805686961032897,9.007377775122338,8.118697130133492,9.312460849689012
min,-3.652964459735172,-2.723257684134744,-12.641338518234106,-19.53732095434905
25%,0.25083257529423564,1.3740287574778431,-0.1195162810281182,-1.075775821165442
50%,3.470529343816724,4.266909614903922,0.5240670258735837,0.8588321890565664
75%,10.805221030986687,10.915539123108683,2.267115891987382,4.238895962990452
max,36.22111195615505,33.322355597143776,25.974030402628447,21.79205772106229
