origin,target,mean_f_diff,std_f_diff,W_statistic,p_value,effect_size,significant
lpIPS,lLO,8.143759091099236,11.805686961032897,21.0,0.0016937255859375,4.817730411281796,True
lpIPS,rLO,7.50812303764567,9.007377775122338,10.0,0.000164031982421875,2.2941573387056176,True
rpIPS,lLO,1.8389912644899407,8.118697130133492,57.0,0.1336212158203125,13.07669683062202,False
rpIPS,rLO,1.5996228028307673,9.312460849689012,66.0,0.25792694091796875,15.141438435457076,False
