sub,lpIPS-lLO,lpIPS-rLO,rpIPS-lLO,rpIPS-rLO
sub-025,14.69208826461552,4.266909614903922,0.12320374158482483,-5.179421422558964
sub-038,45.56584142867859,5.500157562385309,6.536933429603796,1.1904792577579622
sub-057,2.965552354658674,28.993554868909087,3.9420605914397764,23.668157811532524
sub-059,7.516410221797042,3.6476378622922088,3.5384792036466557,-15.30281713179339
sub-064,0.5845044112692513,2.724170331274428,1.38885674872641,3.3349439801643936
sub-067,30.7698537373129,17.68638160961793,15.044221012911393,14.093677929221343
sub-068,0.6973927492961889,0.3275733979443774,-0.4572314747585953,-0.2354181188039853
sub-071,0.403884465437067,-1.1778233060086538,1.2839204703371223,-0.3308222493857412
sub-083,22.05736536260773,11.302022179595893,24.354256163239103,13.761463131221069
sub-084,13.237468082144366,0.1507953735211031,1.0538154717744195,-0.7605899231344327
sub-085,-2.5605578605651513,-3.3692567757676333,1.2838221516813209,1.804942367206307
sub-087,6.924036428455321,10.528175400892367,-10.74407724870962,-14.605662898071373
sub-088,-5.464006725714888,12.521481894613208,-12.171566453322582,8.738423317867312
sub-093,4.540571039274393,12.589024782759823,3.664830853334518,3.9962710948859255
sub-094,5.245830995035051,5.880609168297009,0.6858271536430095,3.0216001840522915
sub-095,0.3985128955120087,-1.1584899168108107,-0.8524029653684004,0.301787333739349
sub-096,0.2313015761398194,1.750368629255344,0.00916555493399196,-1.3144553986631264
sub-097,1.3411151141412436,3.137408860026813,2.1595957875807623,3.393541880132689
sub-107,6.121397633582743,11.984402293789373,-1.2287593901537843,0.27476497936799227
