ROI_ID,ROI_Name,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction
54,7Networks_LH_SalVentAttn_Med_3,0.0017169649629432588,0.005664584788951462,-0.003947619826008203,0.003947619826008203,-0.009174569744489288,-5.145360729103622e-06,0.6666666666666666,True,False,False,LO > pIPS
55,7Networks_LH_Limbic_OFC_1,0.004322388798871289,0.002793409733331437,0.0015289790655398524,0.0015289790655398524,-0.0004749470940437244,0.00333301010312764,0.7777777777777778,False,True,False,pIPS > LO
56,7Networks_LH_Limbic_OFC_2,0.0022521801991396955,0.0009717296618900396,0.001280450537249656,0.001280450537249656,-0.0006575921042589341,0.003187728476228007,0.7222222222222222,False,False,False,pIPS > LO
57,7Networks_LH_Limbic_TempPole_1,0.0011904773928138766,0.0030089860218046388,-0.0018185086289907622,0.0018185086289907622,-0.005061127743617902,0.0005559042387683074,0.6111111111111112,False,False,False,LO > pIPS
58,7Networks_LH_Limbic_TempPole_2,0.0026784282991558417,0.0027829730392844457,-0.00010454474012860406,0.00010454474012860406,-0.002089850488052678,0.0017825729272807856,0.05555555555555555,False,False,False,LO > pIPS
59,7Networks_LH_Limbic_TempPole_3,0.0027398455232679844,0.003386758345189854,-0.0006469128219218695,0.0006469128219218695,-0.0033290894604107537,0.0014171763159124865,0.5,False,False,False,LO > pIPS
60,7Networks_LH_Limbic_TempPole_4,-0.00046221817389065337,-0.0012017942320141576,0.0007395760581235043,0.0007395760581235043,-0.0005868094797367052,0.002152921165644744,0.5,False,False,False,pIPS > LO
61,7Networks_LH_Cont_Par_1,0.0026080009126461467,0.0007523358679601634,0.0018556650446859833,0.0018556650446859833,-0.002578491648337878,0.006309417535816714,0.6666666666666666,False,False,False,pIPS > LO
62,7Networks_LH_Cont_Par_2,0.006166699730630145,0.006329212719810008,-0.0001625129891798631,0.0001625129891798631,-0.004806888934274468,0.004452537007733519,0.1111111111111111,False,False,False,LO > pIPS
63,7Networks_LH_Cont_Par_3,0.008019030148713302,0.009988532598235907,-0.0019695024495226046,0.0019695024495226046,-0.006510207269140321,0.0021809799185983974,0.4444444444444444,False,False,False,LO > pIPS
64,7Networks_LH_Cont_Temp_1,0.005281594675911054,0.005760110413675151,-0.0004785157377640969,0.0004785157377640969,-0.0038622457362027882,0.002682250913740532,0.3333333333333333,False,False,False,LO > pIPS
65,7Networks_LH_Cont_OFC_1,0.0024491065510208435,0.004474822151046899,-0.0020257156000260553,0.0020257156000260553,-0.007116303360722194,0.0016163631005715528,0.3888888888888889,False,False,False,LO > pIPS
66,7Networks_LH_Cont_PFCl_1,0.0022457332557030583,0.002620389560724644,-0.0003746563050215858,0.0003746563050215858,-0.003997379499302443,0.0025675741472199814,0.4444444444444444,False,False,False,LO > pIPS
67,7Networks_LH_Cont_PFCl_2,0.001587782932028597,0.003377372923524753,-0.0017895899914961563,0.0017895899914961563,-0.005501456197667041,0.000939072257005865,0.4444444444444444,False,False,False,LO > pIPS
68,7Networks_LH_Cont_PFCl_3,0.003522038254405366,0.005131965336704051,-0.0016099270822986854,0.0016099270822986854,-0.004959672188243753,0.0011104070742679409,0.4444444444444444,False,False,False,LO > pIPS
69,7Networks_LH_Cont_PFCl_4,0.007147690029623118,0.009693802179192308,-0.00254611214956919,0.00254611214956919,-0.005932894008660888,0.0005636949086221608,0.5555555555555556,False,False,False,LO > pIPS
70,7Networks_LH_Cont_PFCl_5,0.009104276489113251,0.011873176949658632,-0.002768900460545381,0.002768900460545381,-0.005934247396318464,0.00013760477761807192,0.6666666666666666,False,False,False,LO > pIPS
71,7Networks_LH_Cont_pCun_1,-0.005633969209021183,-0.008675686560611455,0.003041717351590272,0.003041717351590272,-0.00268578669660997,0.007930485986335993,0.6111111111111112,False,False,False,pIPS > LO
72,7Networks_LH_Cont_Cing_1,4.906691815565991e-06,-0.00044802988769629144,0.0004529365795118574,0.0004529365795118574,-0.003502473443420023,0.0033985692992324645,0.6666666666666666,False,False,False,pIPS > LO
73,7Networks_LH_Cont_Cing_2,0.005276972780324394,0.005901648684931784,-0.0006246759046073897,0.0006246759046073897,-0.002419750101322237,0.000950089512157153,0.5555555555555556,False,False,False,LO > pIPS
74,7Networks_LH_Default_Temp_1,-5.423166117432182e-05,-0.0013172354667977362,0.0012630038056234145,0.0012630038056234145,-0.0023956531008948044,0.004111527619904665,0.6666666666666666,False,False,False,pIPS > LO
75,7Networks_LH_Default_Temp_2,0.0030872095574627587,2.2567718746518915e-05,0.00306464183871624,0.00306464183871624,-0.00011754569004321331,0.006180135240902452,0.6111111111111112,False,False,False,pIPS > LO
76,7Networks_LH_Default_Temp_3,0.0015026187769369133,-0.0012083404055023119,0.002710959182439225,0.002710959182439225,0.0001887660330679305,0.0049824359470942315,0.8333333333333334,True,True,True,pIPS > LO
77,7Networks_LH_Default_Temp_4,0.0018987917231050565,0.0013719725428630119,0.0005268191802420446,0.0005268191802420446,-0.004276802947006386,0.004682368646969544,0.4444444444444444,False,False,False,pIPS > LO
78,7Networks_LH_Default_Temp_5,0.0008174425644133311,0.0025204593926977607,-0.0017030168282844297,0.0017030168282844297,-0.0074652904838399805,0.003016227238999503,0.5,False,False,False,LO > pIPS
79,7Networks_LH_Default_Par_1,0.0018394545547182537,0.004343742106935973,-0.0025042875522177195,0.0025042875522177195,-0.008803564302754937,0.002818740866989932,0.5555555555555556,False,False,False,LO > pIPS
80,7Networks_LH_Default_Par_2,0.0015555658342539878,0.0011112946367817203,0.0004442711974722675,0.0004442711974722675,-0.0036651734621717573,0.0040576425708703625,0.3888888888888889,False,False,False,pIPS > LO
81,7Networks_LH_Default_Par_3,-0.0019207311157856924,-0.0018569144941526254,-6.381662163306703e-05,6.381662163306703e-05,-0.006007571609798776,0.005257292923911722,0.05555555555555555,False,False,False,LO > pIPS
82,7Networks_LH_Default_Par_4,-0.0006641089441304004,-0.0034868973049886304,0.00282278836085823,0.00282278836085823,-0.0021122434602216912,0.007555777807430491,0.6666666666666666,False,False,False,pIPS > LO
83,7Networks_LH_Default_PFC_1,0.0010572654937186638,0.000359021037237957,0.0006982444564807067,0.0006982444564807067,-0.004208905334131347,0.003987128360069321,0.8888888888888888,False,True,False,pIPS > LO
