ROI_ID,ROI_Name,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction
4,7Networks_LH_Vis_4,0.07947736732765204,0.028698337264358997,0.05077903006329304,0.05077903006329304,0.028030934439609863,0.06978380259889592,0.9444444444444444,True,True,True,pIPS > LO
5,7Networks_LH_Vis_5,0.05018652158064975,0.09112807849629058,-0.04094155691564083,0.04094155691564083,-0.056330937004855114,-0.026071384013630454,0.8888888888888888,True,True,True,LO > pIPS
6,7Networks_LH_Vis_6,0.07187733405994044,0.04569006115586186,0.02618727290407858,0.02618727290407858,0.011712827864782104,0.03849372231909202,0.8888888888888888,True,True,True,pIPS > LO
7,7Networks_LH_Vis_7,0.059394024364236325,0.02826787922013965,0.031126145144096676,0.031126145144096676,0.011145747444566546,0.049941426212252636,0.7777777777777778,True,True,True,pIPS > LO
8,7Networks_LH_Vis_8,0.12223819726043278,0.11575601974295245,0.006482177517480328,0.006482177517480328,-0.005853094067424531,0.019308894650182797,0.6111111111111112,False,False,False,pIPS > LO
9,7Networks_LH_Vis_9,0.07217074806491534,0.10469389996594852,-0.03252315190103318,0.03252315190103318,-0.05425397379892981,-0.011797003936953864,0.7222222222222222,True,False,False,LO > pIPS
10,7Networks_LH_Vis_10,0.09622366941120061,0.0407906937568138,0.05543297565438681,0.05543297565438681,0.03861532485979196,0.07190831289820684,0.9444444444444444,True,True,True,pIPS > LO
11,7Networks_LH_Vis_11,0.1298338899181949,0.14533353816821343,-0.015499648250018538,0.015499648250018538,-0.029996559649912838,0.000677227636980311,0.8333333333333334,False,True,False,LO > pIPS
12,7Networks_LH_Vis_12,0.10320079166235195,0.050445756629212864,0.05275503503313909,0.05275503503313909,0.03681841791969621,0.07086019130947535,1.0,True,True,True,pIPS > LO
13,7Networks_LH_Vis_13,0.08962333013510539,0.0017893858150475556,0.08783394432005782,0.08783394432005782,0.07253530287675354,0.10213448186534353,1.0,True,True,True,pIPS > LO
14,7Networks_LH_Vis_14,0.09259630460292101,0.014101300310964385,0.07849500429195662,0.07849500429195662,0.05949808627289409,0.09625112014085364,0.9444444444444444,True,True,True,pIPS > LO
15,7Networks_LH_SomMot_1,0.046489032502803534,0.038836575475417905,0.00765245702738563,0.00765245702738563,0.001959755360924949,0.013942008456473962,0.6111111111111112,True,False,False,pIPS > LO
16,7Networks_LH_SomMot_2,0.06466925638313922,0.05355765993913843,0.011111596444000796,0.011111596444000796,0.0001748045828814295,0.02512561583684548,0.5,True,False,False,pIPS > LO
17,7Networks_LH_SomMot_3,0.05387354435192214,0.042146034862121776,0.011727509489800364,0.011727509489800364,-0.00018272869250116243,0.030713339798643984,0.5555555555555556,False,False,False,pIPS > LO
18,7Networks_LH_SomMot_4,0.05835415547092756,0.043498902128905885,0.014855253342021674,0.014855253342021674,0.003299910468760776,0.03078964850541929,0.7777777777777778,True,True,True,pIPS > LO
19,7Networks_LH_SomMot_5,0.06215746266146501,0.04508115449506375,0.01707630816640126,0.01707630816640126,0.0036283905191036585,0.03775276130634463,0.7222222222222222,True,False,False,pIPS > LO
20,7Networks_LH_SomMot_6,0.06433226551032728,0.06306241525130139,0.001269850259025887,0.001269850259025887,-0.005316812715803585,0.008305363284630905,0.3333333333333333,False,False,False,pIPS > LO
21,7Networks_LH_SomMot_7,0.0774809927162197,0.08113233977928758,-0.0036513470630678835,0.0036513470630678835,-0.015351619157526239,0.006613970544033987,0.5555555555555556,False,False,False,LO > pIPS
22,7Networks_LH_SomMot_8,0.06518356145049135,0.06385645642876625,0.001327105021725103,0.001327105021725103,-0.012273518962966695,0.011473623885669632,0.3888888888888889,False,False,False,pIPS > LO
23,7Networks_LH_SomMot_9,0.08286631614383724,0.08190390426251623,0.0009624118813210125,0.0009624118813210125,-0.006739152807535401,0.00906704247463495,0.3333333333333333,False,False,False,pIPS > LO
24,7Networks_LH_SomMot_10,0.07999581615957949,0.08082645510633786,-0.0008306389467583747,0.0008306389467583747,-0.009419371017591195,0.008081670396495612,0.4444444444444444,False,False,False,LO > pIPS
25,7Networks_LH_SomMot_11,0.12391470910774337,0.11043113045808342,0.013483578649659947,0.013483578649659947,0.004157050429946847,0.023359062734784348,0.6111111111111112,True,False,False,pIPS > LO
26,7Networks_LH_SomMot_12,0.0825599592903422,0.08029776058780651,0.0022621987025356893,0.0022621987025356893,-0.00784684990325737,0.013265070871501741,0.3888888888888889,False,False,False,pIPS > LO
27,7Networks_LH_SomMot_13,0.0885019428614113,0.07300466914764708,0.01549727371376422,0.01549727371376422,0.007979949755180215,0.02373457657587198,0.8333333333333334,True,True,True,pIPS > LO
28,7Networks_LH_SomMot_14,0.06531952176656988,0.05710959936388665,0.008209922402683235,0.008209922402683235,-0.002582076374286165,0.023674087541358958,0.5,False,False,False,pIPS > LO
29,7Networks_LH_SomMot_15,0.08032061529552771,0.06898392716215716,0.011336688133370548,0.011336688133370548,0.002542032077003063,0.020793840677166973,0.6111111111111112,True,False,False,pIPS > LO
30,7Networks_LH_SomMot_16,0.07983844096048011,0.07112795324064791,0.008710487719832197,0.008710487719832197,-0.000417173778017359,0.01881990875376181,0.5,False,False,False,pIPS > LO
31,7Networks_LH_DorsAttn_Post_1,0.09178612898621294,0.12148742708894941,-0.029701298102736473,0.029701298102736473,-0.04223863921231692,-0.01859778829125896,0.9444444444444444,True,True,True,LO > pIPS
32,7Networks_LH_DorsAttn_Post_2,0.08716886738936107,0.08317279350012541,0.00399607388923566,0.00399607388923566,-0.007451252812623139,0.014550618907540207,0.5,False,False,False,pIPS > LO
33,7Networks_LH_DorsAttn_Post_3,0.15508214135964712,0.15739250638418728,-0.0023103650245401564,0.0023103650245401564,-0.026990916373001207,0.017359608494573173,0.2222222222222222,False,False,False,LO > pIPS
34,7Networks_LH_DorsAttn_Post_4,0.07551487866375181,0.07327620193569197,0.0022386767280598435,0.0022386767280598435,-0.011264391542257113,0.013544664402595828,0.6111111111111112,False,False,False,pIPS > LO
35,7Networks_LH_DorsAttn_Post_5,0.10445500620537335,0.11074945744540957,-0.00629445124003622,0.00629445124003622,-0.02186270179226995,0.007873978817628493,0.4444444444444444,False,False,False,LO > pIPS
