ROI_ID,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,Bootstrap_Significant,LOO_Reliability,LOO_Significant,Combined_Significant,ROI_Name,Direction
1,0.10923573139466737,0.10278664068563988,0.006449090709027494,0.006449090709027494,-0.010942597341674716,0.019961106882577663,False,0.6842105263157895,False,False,7Networks_LH_Vis_1,pIPS > LO
2,0.11810639422190816,0.13596269998111224,-0.017856305759204077,0.017856305759204077,-0.030009624587469995,-0.006487941143936237,True,0.7894736842105263,True,True,7Networks_LH_Vis_2,LO > pIPS
3,0.14056892144052605,0.21120185797151766,-0.07063293653099162,0.07063293653099162,-0.08903302241508898,-0.053278441511486696,True,1.0,True,True,7Networks_LH_Vis_3,LO > pIPS
4,0.07860854113670557,0.027603222939528917,0.05100531819717665,0.05100531819717665,0.029738295899924667,0.06904570879475949,True,0.9473684210526315,True,True,7Networks_LH_Vis_4,pIPS > LO
5,0.05295494659558723,0.10068890373957784,-0.04773395714399061,0.04773395714399061,-0.06295921512830413,-0.03246675156988203,True,0.9473684210526315,True,True,7Networks_LH_Vis_5,LO > pIPS
6,0.0707606530111087,0.04442841926663134,0.026332233744477365,0.026332233744477365,0.012630577514554679,0.03824844641417976,True,0.8947368421052632,True,True,7Networks_LH_Vis_6,pIPS > LO
7,0.058084520903465,0.03031617616254248,0.027768344740922518,0.027768344740922518,0.008145817562839702,0.046984759970004425,True,0.7368421052631579,False,False,7Networks_LH_Vis_7,pIPS > LO
8,0.1285976881259366,0.1360669071344953,-0.007469219008558681,0.007469219008558681,-0.020810568161112694,0.00619798577145527,False,0.5789473684210527,False,False,7Networks_LH_Vis_8,LO > pIPS
9,0.07627597686491515,0.11407894621554174,-0.03780296935062659,0.03780296935062659,-0.05710744639662537,-0.019437653287068805,True,0.7894736842105263,True,True,7Networks_LH_Vis_9,LO > pIPS
10,0.09476152265836534,0.03811422688886523,0.0566472957695001,0.0566472957695001,0.040336602619285455,0.07274081796027818,True,0.9473684210526315,True,True,7Networks_LH_Vis_10,pIPS > LO
11,0.12164512335469849,0.13627870233827516,-0.014633578983576673,0.014633578983576673,-0.02618230357766151,-0.002236607227180381,True,0.6842105263157895,False,False,7Networks_LH_Vis_11,LO > pIPS
12,0.10280124465689848,0.048334731021896005,0.054466513635002475,0.054466513635002475,0.03893337048908793,0.07175285575366087,True,1.0,True,True,7Networks_LH_Vis_12,pIPS > LO
13,0.08996793662050837,0.005510507935756131,0.08445742868475223,0.08445742868475223,0.07069951936627102,0.0972253577783704,True,1.0,True,True,7Networks_LH_Vis_13,pIPS > LO
14,0.13381636593686907,0.06654326730456792,0.06727309863230116,0.06727309863230116,0.05006249364722815,0.08383002767131026,True,0.9473684210526315,True,True,7Networks_LH_Vis_14,pIPS > LO
15,0.04630920928167669,0.037817511756561305,0.008491697525115388,0.008491697525115388,0.0028190278864808765,0.014536371149465838,True,0.631578947368421,False,False,7Networks_LH_SomMot_1,pIPS > LO
