subject,seed_roi,seed_hemi,target_roi,target_hemi,run_combo,value
sub-spaceloc1002,pIPS,right,aIPS,left,2to1,0.0003328376194760116
sub-spaceloc1002,pIPS,right,aIPS,right,1to2,0.008724557170601291
sub-spaceloc1002,pIPS,right,aIPS,right,2to1,-0.009209361977726666
sub-spaceloc1002,pIPS,right,LO,left,1to2,-0.07188918684026863
sub-spaceloc1002,pIPS,right,LO,left,2to1,0.022975802924392545
sub-spaceloc1002,pIPS,right,LO,right,1to2,-0.07242716151690233
sub-spaceloc1002,pIPS,right,LO,right,2to1,0.01571869722882646
sub-spaceloc1002,aIPS,left,pIPS,left,1to2,0.026331982580328317
sub-spaceloc1002,aIPS,left,pIPS,left,2to1,0.014384456123653805
sub-spaceloc1002,aIPS,left,pIPS,right,1to2,0.029327230675967493
sub-spaceloc1002,aIPS,left,pIPS,right,2to1,0.0003332823509920437
sub-spaceloc1002,aIPS,left,aIPS,right,1to2,0.03885020031864913
sub-spaceloc1002,aIPS,left,aIPS,right,2to1,0.02023673507393106
sub-spaceloc1002,aIPS,left,LO,left,1to2,-0.03300638023024906
sub-spaceloc1002,aIPS,left,LO,left,2to1,0.022727679928605735
sub-spaceloc1002,aIPS,left,LO,right,1to2,-0.03433821497146263
sub-spaceloc1002,aIPS,left,LO,right,2to1,0.014903271297108323
sub-spaceloc1002,aIPS,right,pIPS,left,1to2,0.02974797820380625
sub-spaceloc1002,aIPS,right,pIPS,left,2to1,0.01257304027570316
sub-spaceloc1002,aIPS,right,pIPS,right,1to2,0.00872232682083623
sub-spaceloc1002,aIPS,right,pIPS,right,2to1,-0.00921093217286893
sub-spaceloc1002,aIPS,right,aIPS,left,1to2,0.03886832418455975
sub-spaceloc1002,aIPS,right,aIPS,left,2to1,0.020237907813772372
sub-spaceloc1002,aIPS,right,LO,left,1to2,0.01470507458437895
sub-spaceloc1002,aIPS,right,LO,left,2to1,0.04967967674551941
sub-spaceloc1002,aIPS,right,LO,right,1to2,0.008466774092393487
sub-spaceloc1002,aIPS,right,LO,right,2to1,0.04080231731768955
sub-spaceloc1002,LO,left,pIPS,left,1to2,-0.028737546698034643
sub-spaceloc1002,LO,left,pIPS,left,2to1,0.054918959923335356
sub-spaceloc1002,LO,left,pIPS,right,1to2,-0.07200978073146917
sub-spaceloc1002,LO,left,pIPS,right,2to1,0.023012838051780584
sub-spaceloc1002,LO,left,aIPS,left,1to2,-0.03305262698711031
sub-spaceloc1002,LO,left,aIPS,left,2to1,0.02276021606738504
sub-spaceloc1002,LO,left,aIPS,right,1to2,0.014732711391894504
sub-spaceloc1002,LO,left,aIPS,right,2to1,0.049751806802740085
sub-spaceloc1002,LO,left,LO,right,1to2,0.1148440146628213
sub-spaceloc1002,LO,left,LO,right,2to1,0.12681370322018864
sub-spaceloc1002,LO,right,pIPS,left,1to2,-0.030192617984024592
sub-spaceloc1002,LO,right,pIPS,left,2to1,0.044873166593454764
