seed,target,t_stat,p_value,cohens_d,mean_diff,tool_mean,nontool_mean,se_diff,p_fdr
pIPS_left,LO_left,1.8479316373313945,0.07307717859637353,0.38805231216002156,0.012998520694632882,0.019355338242017364,0.006356817547384483,0.006935708004398147,0.1670751201140652
pIPS_right,LO_left,1.1179863914800048,0.27118807201260353,0.21668840821857627,0.007650846165528224,0.01731271087431259,0.009661864708784365,0.006747699356096663,0.27118807201260353
aIPS_left,LO_left,1.6670891849624432,0.10442195007129075,0.30170787747427436,0.011893122594074617,0.019778616090049675,0.007885493495975058,0.007034282945727668,0.1670751201140652
aIPS_right,LO_left,1.1831632169209434,0.2447190491053934,0.20452560757131072,0.007045823233274942,0.013371252596941885,0.006325429363666943,0.005871781085023466,0.27118807201260353
pIPS_left,LO_right,1.6761562643700003,0.10261953424673298,0.33835029807548334,0.011354769154165539,0.01837151618710612,0.00701674703294058,0.006679540333109545,0.1670751201140652
pIPS_right,LO_right,1.5117136871962902,0.1395841089786045,0.3107912995402634,0.01192254070072135,0.014870076444693335,0.0029475357439719863,0.007776461751115668,0.186112145304806
aIPS_left,LO_right,1.886756023607246,0.06751067483534745,0.38493640111460986,0.016690653287308392,0.022048059470720825,0.005357406183412434,0.008722487631706383,0.1670751201140652
aIPS_right,LO_right,2.162837488643996,0.037468754749805815,0.4075040353386327,0.015931892034373268,0.014517705103603954,-0.001414186930769314,0.007263170477514304,0.1670751201140652
