seed,target,t_stat,p_value,cohens_d,mean_diff,se_diff,n,df,p_fdr
pIPS_left,LO_left,1.8479316373313945,0.07307717859637353,0.31235745714761237,0.01299852069463288,0.006935708004398148,36,35,0.1670751201140652
pIPS_right,LO_left,1.1179863914800048,0.27118807201260353,0.1889741910975814,0.007650846165528227,0.006747699356096663,36,35,0.27118807201260353
aIPS_left,LO_left,1.6670891849624432,0.10442195007129075,0.2817895035365807,0.011893122594074617,0.007034282945727668,36,35,0.1670751201140652
aIPS_right,LO_left,1.1831632169209434,0.2447190491053934,0.1999910853638028,0.007045823233274944,0.005871781085023466,36,35,0.27118807201260353
pIPS_left,LO_right,1.6761562643700003,0.10261953424673298,0.2833221196844324,0.011354769154165535,0.006679540333109545,36,35,0.1670751201140652
pIPS_right,LO_right,1.5117136871962902,0.1395841089786045,0.2555262509330557,0.011922540700721351,0.007776461751115668,36,35,0.186112145304806
aIPS_left,LO_right,1.886756023607246,0.06751067483534745,0.31891997619726425,0.016690653287308385,0.008722487631706381,36,35,0.1670751201140652
aIPS_right,LO_right,2.162837488643996,0.037468754749805815,0.36558626116276255,0.015931892034373268,0.007263170477514304,36,35,0.1670751201140652
