subject,analysis_type,roi,hemisphere,status,n_sig_parcels,n_sig_voxels
sub-071,ppi,LO,right,success,0,0
sub-083,ppi,LO,right,success,2,3902
sub-085,ppi,LO,right,success,2,4763
sub-087,ppi,LO,right,success,0,0
sub-088,ppi,LO,right,success,0,0
sub-093,ppi,LO,right,success,0,0
sub-094,ppi,LO,right,success,0,0
sub-095,ppi,LO,right,success,0,0
sub-096,ppi,LO,right,success,0,0
sub-097,ppi,LO,right,success,3,3938
sub-107,ppi,LO,right,success,2,456
