subject,analysis_type,roi,hemisphere,status,threshold,n_sig_voxels
sub-071,fc,LO,right,success,1.764458656310035,65531
sub-083,fc,LO,right,success,2.009666919707252,37615
sub-085,fc,LO,right,success,2.0722010135640634,32171
sub-087,fc,LO,right,success,2.092200517653419,30997
sub-088,fc,LO,right,success,2.0075771808614267,38392
sub-093,fc,LO,right,success,1.7749383449544442,64424
sub-094,fc,LO,right,success,1.8782780170430673,51062
sub-095,fc,LO,right,success,1.7644898891438974,65531
sub-096,fc,LO,right,success,2.1151351928700937,28524
sub-097,fc,LO,right,success,2.1742074489583505,24970
sub-107,fc,LO,right,success,2.192955493926002,23844
sub-025,ppi,pIPS,left,success,2.1577699067970215,24199
sub-038,ppi,pIPS,left,success,2.287237139911951,17687
sub-057,ppi,pIPS,left,success,1.8659584183133289,52363
sub-059,ppi,pIPS,left,success,1.8869979743052923,49607
sub-064,ppi,pIPS,left,success,2.034234407795017,34399
sub-067,ppi,pIPS,left,success,2.957241441179571,2434
sub-068,ppi,pIPS,left,success,1.7176908315845876,73656
sub-071,ppi,pIPS,left,success,2.028842321941982,34202
sub-083,ppi,pIPS,left,success,2.3696184807192306,13414
sub-085,ppi,pIPS,left,success,2.1620204965143097,23814
sub-087,ppi,pIPS,left,success,2.040404422898759,33656
sub-088,ppi,pIPS,left,success,2.3081960998152318,17186
sub-093,ppi,pIPS,left,success,1.7416466357285592,68857
sub-094,ppi,pIPS,left,success,2.65344254027945,5792
sub-095,ppi,pIPS,left,success,1.7353929916922624,69292
sub-096,ppi,pIPS,left,success,2.2381115516444328,19079
sub-097,ppi,pIPS,left,success,1.8287947602237546,56505
sub-107,ppi,pIPS,left,success,2.069213658878936,31630
sub-025,ppi,pIPS,right,success,2.2562116091092985,18718
sub-038,ppi,pIPS,right,success,2.14072956767556,25956
sub-057,ppi,pIPS,right,success,1.6942992446988094,76833
sub-059,ppi,pIPS,right,success,1.9400792766761839,43661
sub-064,ppi,pIPS,right,success,2.300193624994488,16555
sub-067,ppi,pIPS,right,success,2.01680662919125,37045
sub-068,ppi,pIPS,right,success,1.910013805723414,47287
sub-071,ppi,pIPS,right,success,2.1599259531774493,24164
sub-083,ppi,pIPS,right,success,2.2633214908842048,18084
sub-085,ppi,pIPS,right,success,1.9021606208122803,46900
sub-087,ppi,pIPS,right,success,2.062038834460863,31915
sub-088,ppi,pIPS,right,success,2.4259085902482695,12158
sub-093,ppi,pIPS,right,success,1.6302364218803123,87391
sub-094,ppi,pIPS,right,success,2.4104483087431263,11771
sub-095,ppi,pIPS,right,success,1.7917091363349364,61104
sub-096,ppi,pIPS,right,success,2.057411816189625,31511
sub-097,ppi,pIPS,right,success,1.7963460474580697,60741
sub-107,ppi,pIPS,right,success,1.8740408759775586,51263
sub-025,ppi,LO,left,success,2.2789529151035217,17258
sub-038,ppi,LO,left,success,2.3143062945052963,16649
sub-057,ppi,LO,left,success,1.7372209812973156,70022
sub-059,ppi,LO,left,success,1.9664820519240416,41033
sub-064,ppi,LO,left,success,2.1342030910662304,26720
sub-067,ppi,LO,left,success,1.9833203298535527,39823
sub-068,ppi,LO,left,success,2.131356435400771,27244
sub-071,ppi,LO,left,success,2.0050723955467045,36429
sub-083,ppi,LO,left,success,2.3403012303871233,15447
sub-085,ppi,LO,left,success,2.0836769121916996,30025
sub-087,ppi,LO,left,success,2.0498984271907004,33063
sub-088,ppi,LO,left,success,2.233473587733811,20973
sub-093,ppi,LO,left,success,1.7258603252307174,71341
sub-094,ppi,LO,left,success,2.4383129717741343,11262
sub-095,ppi,LO,left,success,1.7995307758474481,60087
sub-096,ppi,LO,left,success,2.474217592401046,9638
sub-097,ppi,LO,left,success,2.083241929442303,30393
