hemisphere,n_subjects,orig_threshold,clean_threshold,orig_sig_voxels,clean_sig_voxels,percent_retained
left,18,2.5076141357411874,2.543165922163917,35416,31974,90.28122882313079
right,18,2.510918617247535,2.5408225059499276,35074,32192,91.78308718709015
