ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction
1,7Networks_LH_Vis_1,0.09625672517965238,0.06584884845910387,0.03040787672054851,0.03040787672054851,-0.020384519343173854,0.0668798772398279,0.7777777777777778,False,True,False,pIPS_clean > LO_clean
2,7Networks_LH_Vis_2,0.08939977642148733,0.0942978754432665,-0.004898099021779165,0.004898099021779165,-0.03166951099928054,0.02144806545176023,0.5555555555555556,False,False,False,LO_clean > pIPS_clean
3,7Networks_LH_Vis_3,0.025953458505682647,0.08405267369622986,-0.05809921519054721,0.05809921519054721,-0.0794727960814877,-0.036949396152178654,0.8333333333333334,True,True,True,LO_clean > pIPS_clean
4,7Networks_LH_Vis_4,0.11313291887442271,-0.026347908993355103,0.13948082786777782,0.13948082786777782,0.07819906980665918,0.19070202377430784,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
5,7Networks_LH_Vis_5,0.004728238615724776,0.09951761587419444,-0.09478937725846967,0.09478937725846967,-0.13270010249689224,-0.05818157745266541,0.8888888888888888,True,True,True,LO_clean > pIPS_clean
6,7Networks_LH_Vis_6,0.08059697370562288,0.008366245207273297,0.07223072849834958,0.07223072849834958,0.029078291713570553,0.1066573415430159,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
7,7Networks_LH_Vis_7,0.07609390343228976,-0.010444913887315325,0.08653881731960508,0.08653881731960508,0.034247816145782255,0.13569579669662438,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
8,7Networks_LH_Vis_8,0.10685043761299716,0.0773255622221364,0.029524875390860766,0.029524875390860766,0.002554702952814595,0.05884204153230204,0.6666666666666666,True,False,False,pIPS_clean > LO_clean
9,7Networks_LH_Vis_9,0.03103579102187521,0.10414120241896146,-0.07310541139708626,0.07310541139708626,-0.13110075721310244,-0.019011048441623466,0.6666666666666666,True,False,False,LO_clean > pIPS_clean
10,7Networks_LH_Vis_10,0.12776094095574486,-0.021242087952689163,0.14900302890843403,0.14900302890843403,0.09899014075700609,0.1964998262433154,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
11,7Networks_LH_Vis_11,0.09658655379381445,0.11623044622441132,-0.019643892430596874,0.019643892430596874,-0.0610619114090999,0.02613735040649769,0.6666666666666666,False,False,False,LO_clean > pIPS_clean
12,7Networks_LH_Vis_12,0.12864779577487045,-0.008966399796514047,0.1376141955713845,0.1376141955713845,0.10239736329013896,0.1725324813438217,1.0,True,True,True,pIPS_clean > LO_clean
13,7Networks_LH_Vis_13,0.1542596752858824,-0.07511857193377283,0.22937824721965525,0.22937824721965525,0.19000211220441593,0.26974481266354106,1.0,True,True,True,pIPS_clean > LO_clean
14,7Networks_LH_Vis_14,0.1518336528291305,-0.06276270876535112,0.21459636159448162,0.21459636159448162,0.16940603800402543,0.2593089051686951,1.0,True,True,True,pIPS_clean > LO_clean
15,7Networks_LH_SomMot_1,0.04051413506062494,0.022689032135531306,0.017825102925093636,0.017825102925093636,0.003783760340108228,0.03315318014420982,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
16,7Networks_LH_SomMot_2,0.05640054680407047,0.02928185667325225,0.02711869013081822,0.02711869013081822,0.004917998918487385,0.052056594404469546,0.6111111111111112,True,False,False,pIPS_clean > LO_clean
17,7Networks_LH_SomMot_3,0.04821001562393374,0.021230010574476585,0.026980005049457155,0.026980005049457155,0.0036940680351108326,0.05978760212504615,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
18,7Networks_LH_SomMot_4,0.05594434754716025,0.020888713628260627,0.035055633918899626,0.035055633918899626,0.010488487370053517,0.06355665568585712,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
19,7Networks_LH_SomMot_5,0.05915825363869468,0.018993832364988823,0.040164421273705855,0.040164421273705855,0.011593708379142403,0.07801454384655997,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
20,7Networks_LH_SomMot_6,0.05129016635732518,0.043428331044399075,0.007861835312926106,0.007861835312926106,-0.009646978225403774,0.024982990378824368,0.6111111111111112,False,False,False,pIPS_clean > LO_clean
21,7Networks_LH_SomMot_7,0.059185440031190716,0.05955945550360613,-0.00037401547241541766,0.00037401547241541766,-0.03459950100578781,0.028168031105047297,0.05555555555555555,False,False,False,LO_clean > pIPS_clean
22,7Networks_LH_SomMot_8,0.05253595910552475,0.04546986949733562,0.007066089608189129,0.007066089608189129,-0.032847503431710515,0.03677054207720276,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
23,7Networks_LH_SomMot_9,0.06440284879257281,0.057290607338978186,0.0071122414535946255,0.0071122414535946255,-0.017044831320850377,0.03103583944806208,0.5,False,False,False,pIPS_clean > LO_clean
24,7Networks_LH_SomMot_10,0.06199943170779281,0.059146320912986994,0.0028531107948058174,0.0028531107948058174,-0.023308607124878714,0.028834282397292542,0.3333333333333333,False,False,False,pIPS_clean > LO_clean
25,7Networks_LH_SomMot_11,0.11117324233055115,0.06581857553424521,0.04535466679630594,0.04535466679630594,0.016488448961172245,0.07337099136849348,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
26,7Networks_LH_SomMot_12,0.06619931415965159,0.056281010432737984,0.009918303726913609,0.009918303726913609,-0.014089990225167841,0.033980554055112085,0.5555555555555556,False,False,False,pIPS_clean > LO_clean
27,7Networks_LH_SomMot_13,0.0829158535020219,0.03875444487979015,0.044161408622231745,0.044161408622231745,0.0274995920940354,0.06296020393298628,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
28,7Networks_LH_SomMot_14,0.05686036352482107,0.03522020306748649,0.021640160457334585,0.021640160457334585,-0.001474043854331183,0.04878705551123454,0.7222222222222222,False,False,False,pIPS_clean > LO_clean
29,7Networks_LH_SomMot_15,0.07393178985350662,0.037269646211320326,0.0366621436421863,0.0366621436421863,0.015703370957635344,0.058967927498613584,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
30,7Networks_LH_SomMot_16,0.06976671930816439,0.042095774629463754,0.027670944678700633,0.027670944678700633,0.006336438632570208,0.04989207382313906,0.6666666666666666,True,False,False,pIPS_clean > LO_clean
31,7Networks_LH_DorsAttn_Post_1,0.046318991200274065,0.1111338757392433,-0.06481488453896923,0.06481488453896923,-0.09266121429164843,-0.040742223207618944,0.9444444444444444,True,True,True,LO_clean > pIPS_clean
32,7Networks_LH_DorsAttn_Post_2,0.07424823818210927,0.055849253898486495,0.01839898428362277,0.01839898428362277,-0.014123311547640089,0.046911125956749955,0.6111111111111112,False,False,False,pIPS_clean > LO_clean
33,7Networks_LH_DorsAttn_Post_3,0.12562998345432183,0.11164010916319159,0.013989874291130244,0.013989874291130244,-0.04612950153467762,0.06590018420700086,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
34,7Networks_LH_DorsAttn_Post_4,0.06107666281362375,0.05054726079106331,0.01052940202256044,0.01052940202256044,-0.02965598353637485,0.04215860645247934,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
35,7Networks_LH_DorsAttn_Post_5,0.07869097549054357,0.0842770298735963,-0.0055860543830527215,0.0055860543830527215,-0.05102169126686122,0.033124364550328876,0.3333333333333333,False,False,False,LO_clean > pIPS_clean
36,7Networks_LH_DorsAttn_Post_6,0.08983809464714593,0.09333835675432864,-0.003500262107182711,0.003500262107182711,-0.044982512159428244,0.034654368751540036,0.4444444444444444,False,False,False,LO_clean > pIPS_clean
37,7Networks_LH_DorsAttn_Post_7,0.07940278160903189,0.025996421903578773,0.05340635970545311,0.05340635970545311,0.029089036742354638,0.08045453516727623,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
38,7Networks_LH_DorsAttn_Post_8,0.10316530402956738,0.09432495907983846,0.00884034494972892,0.00884034494972892,-0.028628225082583305,0.04137866307929572,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
39,7Networks_LH_DorsAttn_Post_9,0.12190547792447938,0.007656920701265335,0.11424855722321405,0.11424855722321405,0.06972448545922008,0.15677090036656913,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
40,7Networks_LH_DorsAttn_Post_10,0.11161176860332489,0.024194130208343267,0.08741763839498162,0.08741763839498162,0.06109012852215934,0.11524180026543844,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
41,7Networks_LH_DorsAttn_FEF_1,0.0681804624489612,0.05834226879394717,0.009838193655014031,0.009838193655014031,-0.016907089576125144,0.03717031299084839,0.6111111111111112,False,False,False,pIPS_clean > LO_clean
42,7Networks_LH_DorsAttn_FEF_2,0.07727910283332069,0.02138191321864724,0.05589718961467345,0.05589718961467345,0.030058912815163943,0.08227292175611688,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
43,7Networks_LH_DorsAttn_PrCv_1,0.045088870437919266,0.057586715194500156,-0.01249784475658089,0.01249784475658089,-0.03452789831272741,0.008322447005775745,0.6666666666666666,False,False,False,LO_clean > pIPS_clean
44,7Networks_LH_SalVentAttn_ParOper_1,0.056531209809084736,0.0344514099156691,0.022079799893415637,0.022079799893415637,-0.005740687697349738,0.05379419015047864,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
45,7Networks_LH_SalVentAttn_ParOper_2,0.06092529014373819,0.015347875370126631,0.04557741477361156,0.04557741477361156,0.014371270909517387,0.07494423927920353,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
46,7Networks_LH_SalVentAttn_ParOper_3,0.050159986454269126,0.0244900520839211,0.025669934370348025,0.025669934370348025,0.00079098758093702,0.05098603296533435,0.6111111111111112,True,False,False,pIPS_clean > LO_clean
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.033476694124854274,0.015203750883099727,0.018272943241754547,0.018272943241754547,0.0046272368395875695,0.03145823948774098,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
48,7Networks_LH_SalVentAttn_FrOperIns_2,0.02652884432528582,0.032961440531329975,-0.006432596206044156,0.006432596206044156,-0.03401090246625244,0.031056577429020123,0.7222222222222222,False,False,False,LO_clean > pIPS_clean
49,7Networks_LH_SalVentAttn_FrOperIns_3,0.04094430820421419,0.01396061710288955,0.02698369110132464,0.02698369110132464,-0.0007177029587587112,0.06669849648298824,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
50,7Networks_LH_SalVentAttn_FrOperIns_4,0.044887767690751285,0.02537011043427305,0.019517657256478235,0.019517657256478235,-0.007203415722405122,0.05157641569546993,0.6111111111111112,False,False,False,pIPS_clean > LO_clean
51,7Networks_LH_SalVentAttn_PFCl_1,0.038352360379778676,0.023939230595715344,0.014413129784063332,0.014413129784063332,-0.013509092270720027,0.038295984036974706,0.7222222222222222,False,False,False,pIPS_clean > LO_clean
52,7Networks_LH_SalVentAttn_Med_1,0.03965662202487389,0.051419776346948415,-0.011763154322074525,0.011763154322074525,-0.040091836054085034,0.010875428612861364,0.6111111111111112,False,False,False,LO_clean > pIPS_clean
53,7Networks_LH_SalVentAttn_Med_2,0.07430315959370798,0.021573159403892025,0.052730000189815954,0.052730000189815954,0.005831365531129354,0.08706323850330792,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
54,7Networks_LH_SalVentAttn_Med_3,0.05929687241506246,0.049683046992868185,0.009613825422194272,0.009613825422194272,-0.01133641933556646,0.032626510931489355,0.5,False,False,False,pIPS_clean > LO_clean
55,7Networks_LH_Limbic_OFC_1,0.020696269943275385,0.023218420806289133,-0.002522150863013748,0.002522150863013748,-0.028077809192796444,0.016097715336622458,0.3888888888888889,False,False,False,LO_clean > pIPS_clean
56,7Networks_LH_Limbic_OFC_2,0.013707723183971312,0.017990753083722666,-0.004283029899751354,0.004283029899751354,-0.01779930694812922,0.008302198742927015,0.5,False,False,False,LO_clean > pIPS_clean
57,7Networks_LH_Limbic_TempPole_1,0.016203909504434302,0.018796510037241712,-0.0025926005328074098,0.0025926005328074098,-0.015364321453509747,0.015995532522275525,0.6666666666666666,False,False,False,LO_clean > pIPS_clean
58,7Networks_LH_Limbic_TempPole_2,0.014274305896833539,0.025507814354366727,-0.011233508457533188,0.011233508457533188,-0.017706516740953603,-0.004340801771387406,0.8333333333333334,True,True,True,LO_clean > pIPS_clean
59,7Networks_LH_Limbic_TempPole_3,0.011384570337314572,0.018032293818477128,-0.0066477234811625555,0.0066477234811625555,-0.014532607267675404,0.0019632853771327017,0.6111111111111112,False,False,False,LO_clean > pIPS_clean
60,7Networks_LH_Limbic_TempPole_4,0.008408498885627422,0.019136751264644165,-0.010728252379016742,0.010728252379016742,-0.03856001465594292,0.009571927109694402,0.5,False,False,False,LO_clean > pIPS_clean
61,7Networks_LH_Cont_Par_1,0.04878445794909365,0.03065956114894814,0.018124896800145507,0.018124896800145507,-0.01603192423095202,0.05218846079401878,0.6111111111111112,False,False,False,pIPS_clean > LO_clean
62,7Networks_LH_Cont_Par_2,0.07058296130142278,0.06758251937571913,0.003000441925703645,0.003000441925703645,-0.04280070109719721,0.04377615287764149,0.3888888888888889,False,False,False,pIPS_clean > LO_clean
63,7Networks_LH_Cont_Par_3,0.06580022034338778,0.07509524305351079,-0.009295022710123002,0.009295022710123002,-0.05644868049291997,0.03145930695205196,0.4444444444444444,False,False,False,LO_clean > pIPS_clean
64,7Networks_LH_Cont_Temp_1,0.042802550131455064,0.04064052370894286,0.0021620264225122032,0.0021620264225122032,-0.024111418501060043,0.025275045315760896,0.2777777777777778,False,False,False,pIPS_clean > LO_clean
65,7Networks_LH_Cont_OFC_1,0.029651063804825146,0.01912385828068687,0.010527205524138276,0.010527205524138276,-0.0055869068057897145,0.02651786665729659,0.6111111111111112,False,False,False,pIPS_clean > LO_clean
66,7Networks_LH_Cont_PFCl_1,0.022080299522106845,0.013051895567009019,0.009028403955097826,0.009028403955097826,-0.0033329109224723642,0.023646961179393754,0.5555555555555556,False,False,False,pIPS_clean > LO_clean
67,7Networks_LH_Cont_PFCl_2,0.03400553294664456,0.026973090134561062,0.0070324428120834975,0.0070324428120834975,-0.018226037091679043,0.03668448812483497,0.4444444444444444,False,False,False,pIPS_clean > LO_clean
68,7Networks_LH_Cont_PFCl_3,0.03827037432024048,0.026741780327736504,0.011528593992503978,0.011528593992503978,-0.009337171274819407,0.034757943039100306,0.5555555555555556,False,False,False,pIPS_clean > LO_clean
69,7Networks_LH_Cont_PFCl_4,0.04596164613030851,0.0642946008592844,-0.018332954728975892,0.018332954728975892,-0.04618455531696479,0.010727033376719599,0.7222222222222222,False,False,False,LO_clean > pIPS_clean
70,7Networks_LH_Cont_PFCl_5,0.05459080124273896,0.08270949301206404,-0.028118691769325077,0.028118691769325077,-0.06642978456155914,0.005055265035480257,0.6111111111111112,False,False,False,LO_clean > pIPS_clean
71,7Networks_LH_Cont_pCun_1,0.1426285362492005,-0.028107300374863878,0.17073583662406439,0.17073583662406439,0.130631941086742,0.21388091041913462,1.0,True,True,True,pIPS_clean > LO_clean
72,7Networks_LH_Cont_Cing_1,0.06899957586493757,0.012820857072559496,0.056178718792378075,0.056178718792378075,0.02993304770271708,0.09290368310693238,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
73,7Networks_LH_Cont_Cing_2,0.03108267191176613,0.03194737515877932,-0.0008647032470131925,0.0008647032470131925,-0.012718610219437527,0.01075195271276041,0.16666666666666666,False,False,False,LO_clean > pIPS_clean
74,7Networks_LH_Default_Temp_1,0.014289419380171845,0.021365882152976055,-0.00707646277280421,0.00707646277280421,-0.017514482763282206,0.004487894773046715,0.7222222222222222,False,False,False,LO_clean > pIPS_clean
75,7Networks_LH_Default_Temp_2,0.01854671039068813,0.03299634933743315,-0.014449638946745023,0.014449638946745023,-0.035727246953562525,0.003513120124423746,0.5555555555555556,False,False,False,LO_clean > pIPS_clean
76,7Networks_LH_Default_Temp_3,0.030093131095377937,0.03358372916570968,-0.003490598070331745,0.003490598070331745,-0.035547845751150615,0.023111585620143964,0.4444444444444444,False,False,False,LO_clean > pIPS_clean
77,7Networks_LH_Default_Temp_4,0.042640329288486906,0.046800882076948054,-0.0041605527884611485,0.0041605527884611485,-0.032711220070915356,0.019957985897457932,0.3888888888888889,False,False,False,LO_clean > pIPS_clean
78,7Networks_LH_Default_Temp_5,0.04481721299493478,0.05975192443778118,-0.014934711442846395,0.014934711442846395,-0.03963698732162204,0.008400503820222283,0.6111111111111112,False,False,False,LO_clean > pIPS_clean
79,7Networks_LH_Default_Par_1,0.09079295854705076,0.035795674866272345,0.054997283680778414,0.054997283680778414,0.02304588904565511,0.0877448172690088,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
80,7Networks_LH_Default_Par_2,0.12177618510193294,0.006056070211343467,0.11572011489058948,0.11572011489058948,0.08714712047690733,0.14461160409264268,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
81,7Networks_LH_Default_Par_3,0.051815043138857514,0.01085033148734106,0.04096471165151645,0.04096471165151645,0.009603052817854202,0.07503798543831282,0.6111111111111112,True,False,False,pIPS_clean > LO_clean
82,7Networks_LH_Default_Par_4,0.07170719490386546,0.0027458864755721558,0.0689613084282933,0.0689613084282933,0.04449818073610206,0.09452049873006116,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
83,7Networks_LH_Default_PFC_1,0.019056492135860026,0.02814404875971377,-0.009087556623853743,0.009087556623853743,-0.024509277503562365,0.0067025074832296515,0.6666666666666666,False,False,False,LO_clean > pIPS_clean
84,7Networks_LH_Default_PFC_2,0.032051623520803534,0.007422151742503047,0.024629471778300487,0.024629471778300487,0.007787630466433864,0.04271589478804445,0.6666666666666666,True,False,False,pIPS_clean > LO_clean
85,7Networks_LH_Default_PFC_3,0.019560938591085788,0.022140941944801144,-0.0025800033537153565,0.0025800033537153565,-0.015954958497443134,0.013101098886302977,0.6666666666666666,False,False,False,LO_clean > pIPS_clean
86,7Networks_LH_Default_PFC_4,0.02666933477545778,0.009505108050588105,0.017164226724869676,0.017164226724869676,0.005937538085466561,0.030474485177546737,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
87,7Networks_LH_Default_PFC_5,0.03411298105493188,0.02394864436549445,0.01016433668943743,0.01016433668943743,-0.013496983998144663,0.040761139397121324,0.4444444444444444,False,False,False,pIPS_clean > LO_clean
88,7Networks_LH_Default_PFC_6,0.027932764194297813,0.0020828808062813347,0.025849883388016477,0.025849883388016477,-0.0023096103062319644,0.061704655833212496,0.5555555555555556,False,False,False,pIPS_clean > LO_clean
89,7Networks_LH_Default_PFC_7,0.016522970606779888,0.018339091187549963,-0.0018161205807700753,0.0018161205807700753,-0.019503687637107865,0.015733849390461623,0.2222222222222222,False,False,False,LO_clean > pIPS_clean
90,7Networks_LH_Default_PFC_8,0.025790943841760356,0.0312663774109549,-0.005475433569194544,0.005475433569194544,-0.020159157672120877,0.009863823244167071,0.5555555555555556,False,False,False,LO_clean > pIPS_clean
91,7Networks_LH_Default_PFC_9,0.027962644325776234,0.02235275341404809,0.005609890911728144,0.005609890911728144,-0.012156616419088094,0.023794100054591476,0.5555555555555556,False,False,False,pIPS_clean > LO_clean
92,7Networks_LH_Default_PFC_10,0.04089374798867437,0.05482029195667969,-0.013926543968005314,0.013926543968005314,-0.036727324771668964,0.008671868303402636,0.6111111111111112,False,False,False,LO_clean > pIPS_clean
93,7Networks_LH_Default_PFC_11,0.053264145377195544,0.03939488687966433,0.013869258497531213,0.013869258497531213,-0.003708049532077794,0.03396239014885697,0.5,False,False,False,pIPS_clean > LO_clean
94,7Networks_LH_Default_PFC_12,0.06361787147923476,0.011815234320238233,0.05180263715899652,0.05180263715899652,0.0320303945200673,0.07224519762546858,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
95,7Networks_LH_Default_PFC_13,0.048845620179134935,0.03537754398874111,0.013468076190393828,0.013468076190393828,-0.010343304548748874,0.043600590888591875,0.5,False,False,False,pIPS_clean > LO_clean
96,7Networks_LH_Default_pCunPCC_1,0.11912679299712181,-0.014680928809361326,0.13380772180648315,0.13380772180648315,0.10139572237256088,0.16676418387796732,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
97,7Networks_LH_Default_pCunPCC_2,0.09949168562889099,-0.015239825789144056,0.11473151141803505,0.11473151141803505,0.07666681554401295,0.16215574336383723,1.0,True,True,True,pIPS_clean > LO_clean
98,7Networks_LH_Default_pCunPCC_3,0.06457357149985102,0.021188817840690415,0.0433847536591606,0.0433847536591606,0.022466714397564327,0.06351057443017553,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
99,7Networks_LH_Default_pCunPCC_4,0.09037267044186592,0.00448892524258958,0.08588374519927634,0.08588374519927634,0.05661158474071675,0.1189288644656901,1.0,True,True,True,pIPS_clean > LO_clean
100,7Networks_LH_Default_PHC_1,0.05684848274621698,0.041159294442170195,0.015689188304046787,0.015689188304046787,-0.015674994796669724,0.04058884414456163,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
101,7Networks_RH_Vis_1,0.032476660847249955,0.09431718786557515,-0.061840527018325195,0.061840527018325195,-0.0878956254843312,-0.04035688305221913,0.9444444444444444,True,True,True,LO_clean > pIPS_clean
102,7Networks_RH_Vis_2,0.06753594759437773,0.06079976193399893,0.006736185660378799,0.006736185660378799,-0.038458743214141576,0.03923767911554831,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
103,7Networks_RH_Vis_3,0.07595301895505852,0.12434075524409612,-0.0483877362890376,0.0483877362890376,-0.08227144311078721,-0.016012519059909733,0.7777777777777778,True,True,True,LO_clean > pIPS_clean
104,7Networks_RH_Vis_4,0.11293891755243142,-0.018844917623533144,0.13178383517596456,0.13178383517596456,0.0747272899814157,0.17791203536455413,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
105,7Networks_RH_Vis_5,0.028466563827047747,0.07271287238432302,-0.044246308557275266,0.044246308557275266,-0.08592710598604753,-0.007188999068198944,0.7222222222222222,True,False,False,LO_clean > pIPS_clean
106,7Networks_RH_Vis_6,0.04413518594163987,0.05208834069263604,-0.007953154750996172,0.007953154750996172,-0.04679049975756142,0.03034748548590058,0.4444444444444444,False,False,False,LO_clean > pIPS_clean
107,7Networks_RH_Vis_7,0.08270859604494439,0.006813282949022121,0.07589531309592228,0.07589531309592228,0.03684603598343933,0.1087403129126566,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
108,7Networks_RH_Vis_8,0.0039375277507739765,0.12706078868359327,-0.12312326093281929,0.12312326093281929,-0.1484734207230051,-0.09591688526027914,1.0,True,True,True,LO_clean > pIPS_clean
109,7Networks_RH_Vis_9,0.146370444032881,-0.05645186769672566,0.20282231172960666,0.20282231172960666,0.14801450805324645,0.25529874015289045,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
110,7Networks_RH_Vis_10,0.09764743989540471,0.011877272536771165,0.08577016735863355,0.08577016735863355,0.050639665003270946,0.12045811871454741,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
111,7Networks_RH_Vis_11,0.08900219139953454,0.12457231370111306,-0.03557012230157852,0.03557012230157852,-0.07545080134231183,0.006718680893795348,0.7777777777777778,False,True,False,LO_clean > pIPS_clean
112,7Networks_RH_Vis_12,0.12024860787722799,-0.038856021076854735,0.15910462895408273,0.15910462895408273,0.11313981258750168,0.20132794770179313,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
113,7Networks_RH_Vis_13,0.1502409362130695,-0.04429200658988622,0.19453294280295572,0.19453294280295572,0.15159593395267923,0.23807507786356533,1.0,True,True,True,pIPS_clean > LO_clean
114,7Networks_RH_Vis_14,0.13033372329341042,-0.06633191369473934,0.19666563698814976,0.19666563698814976,0.15221310689683176,0.23915598158621126,1.0,True,True,True,pIPS_clean > LO_clean
115,7Networks_RH_Vis_15,0.1285924849410852,0.043233363203600876,0.0853591217374843,0.0853591217374843,0.05938246822915971,0.11074461990728095,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
116,7Networks_RH_SomMot_1,0.050001191389229566,0.021935586584731936,0.02806560480449763,0.02806560480449763,0.008723943294414007,0.04753589128570942,0.6666666666666666,True,False,False,pIPS_clean > LO_clean
117,7Networks_RH_SomMot_2,0.05984453013580707,0.03523154204918279,0.02461298808662428,0.02461298808662428,0.0006419183052558833,0.04768607691577118,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
118,7Networks_RH_SomMot_3,0.04929992898056904,0.01397764095519152,0.03532228802537753,0.03532228802537753,0.006898540367708642,0.07624646591915128,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
119,7Networks_RH_SomMot_4,0.06083121813005871,0.01916836359952059,0.041662854530538126,0.041662854530538126,0.01421364309822416,0.07819372186527794,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
120,7Networks_RH_SomMot_5,0.05969870866586765,0.007586465268913243,0.0521122433969544,0.0521122433969544,0.02255611979764783,0.08563930702318126,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
121,7Networks_RH_SomMot_6,0.06007274447215928,0.01034782909684711,0.04972491537531217,0.04972491537531217,0.01913826275591014,0.08489645227996838,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
122,7Networks_RH_SomMot_7,0.05334915862315231,0.03312942282193237,0.02021973580121994,0.02021973580121994,-0.0015118663794257603,0.04119575846966149,0.7222222222222222,False,False,False,pIPS_clean > LO_clean
123,7Networks_RH_SomMot_8,0.053633018758975796,0.02976319099414266,0.023869827764833138,0.023869827764833138,-0.023396225172715886,0.05904057711822032,0.8333333333333334,False,True,False,pIPS_clean > LO_clean
124,7Networks_RH_SomMot_9,0.06270981104009682,0.04740861407481134,0.01530119696528548,0.01530119696528548,-0.016759596312315096,0.044836895074048595,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
