ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction
88,7Networks_LH_Default_PFC_6,0.04943852069787222,0.003686514701382832,0.04575200599648939,0.04575200599648939,-0.004087805851737877,0.10921178023577417,0.5555555555555556,False,False,False,pIPS_clean > LO_clean
89,7Networks_LH_Default_PFC_7,0.02924419576421204,0.03245856847353965,-0.0032143727093276106,0.0032143727093276106,-0.03451980112762443,0.027847521045064785,0.2222222222222222,False,False,False,LO_clean > pIPS_clean
90,7Networks_LH_Default_PFC_8,0.04564768821550496,0.05533872108133611,-0.009691032865831152,0.009691032865831152,-0.03567992508339965,0.01745809423746372,0.5555555555555556,False,False,False,LO_clean > pIPS_clean
91,7Networks_LH_Default_PFC_9,0.04949140588632956,0.03956239542309381,0.00992901046323575,0.00992901046323575,-0.021516135255023012,0.04211345142405558,0.5555555555555556,False,False,False,pIPS_clean > LO_clean
92,7Networks_LH_Default_PFC_10,0.07237831502420232,0.09702706541005239,-0.02464875038585007,0.02464875038585007,-0.06500411464012196,0.01534843947504885,0.6111111111111112,False,False,False,LO_clean > pIPS_clean
93,7Networks_LH_Default_PFC_11,0.09427282367645223,0.06972546350383062,0.024547360172621616,0.024547360172621616,-0.00656291952580124,0.06011042504222461,0.5,False,False,False,pIPS_clean > LO_clean
94,7Networks_LH_Default_PFC_12,0.11259800261811452,0.020911919150864072,0.09168608346725045,0.09168608346725045,0.05669096375233151,0.1278676064167584,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
95,7Networks_LH_Default_PFC_13,0.086452425095814,0.06261512210396655,0.023837302991847442,0.023837302991847442,-0.018306733714599645,0.07716918741343681,0.5,False,False,False,pIPS_clean > LO_clean
96,7Networks_LH_Default_pCunPCC_1,0.21084388141083507,-0.025983944795329735,0.2368278262061648,0.2368278262061648,0.1794614555266563,0.29515784757162356,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
97,7Networks_LH_Default_pCunPCC_2,0.17609147898918745,-0.0269731429896354,0.20306462197882286,0.20306462197882286,0.1356934788389609,0.28700131568820747,1.0,True,True,True,pIPS_clean > LO_clean
98,7Networks_LH_Default_pCunPCC_3,0.11428950707938232,0.037502332461398946,0.07678717461798337,0.07678717461798337,0.03976409627887487,0.11240809633659382,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
99,7Networks_LH_Default_pCunPCC_4,0.1599516291006476,0.007945000429361948,0.15200662867128567,0.15200662867128567,0.10019749511631276,0.2104935654260002,1.0,True,True,True,pIPS_clean > LO_clean
100,7Networks_LH_Default_PHC_1,0.10061678362162284,0.07284830874720372,0.027768474874419122,0.027768474874419122,-0.02774335362242425,0.0718386622027639,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
101,7Networks_RH_Vis_1,0.05904847426772709,0.17148579611922743,-0.11243732185150035,0.11243732185150035,-0.15981022815332946,-0.07337615100403472,0.9444444444444444,True,True,True,LO_clean > pIPS_clean
102,7Networks_RH_Vis_2,0.12279263198977762,0.11054502169817981,0.012247610291597807,0.012247610291597807,-0.06992498766207544,0.07134123475554235,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
103,7Networks_RH_Vis_3,0.13809639810010635,0.22607410044381107,-0.08797770234370472,0.08797770234370472,-0.14958444201961307,-0.029113671018017637,0.7777777777777778,True,True,True,LO_clean > pIPS_clean
104,7Networks_RH_Vis_4,0.20534348645896616,-0.034263486588242,0.23960697304720815,0.23960697304720815,0.13586779996621035,0.32347642793555287,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
105,7Networks_RH_Vis_5,0.051757388776450364,0.1322052225169509,-0.08044783374050055,0.08044783374050055,-0.15623110179281363,-0.013070907396725272,0.7222222222222222,True,False,False,LO_clean > pIPS_clean
106,7Networks_RH_Vis_6,0.08024579262116327,0.0947060739866109,-0.014460281365447636,0.014460281365447636,-0.08507363592283891,0.055177246338000904,0.4444444444444444,False,False,False,LO_clean > pIPS_clean
107,7Networks_RH_Vis_7,0.15037926553626235,0.012387787180040181,0.13799147835622216,0.13799147835622216,0.06699279269716236,0.1977096598411938,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
108,7Networks_RH_Vis_8,0.007159141365043455,0.23101961578835123,-0.22386047442330778,0.22386047442330778,-0.2699516740418274,-0.17439433683687108,1.0,True,True,True,LO_clean > pIPS_clean
109,7Networks_RH_Vis_9,0.2661280800597836,-0.10263975944859198,0.3687678395083756,0.3687678395083756,0.2691172873695389,0.4641795275507098,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
110,7Networks_RH_Vis_10,0.1775407998098267,0.02159504097594745,0.15594575883387926,0.15594575883387926,0.09207211818776526,0.21901476129917707,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
111,7Networks_RH_Vis_11,0.1618221661809718,0.22649511582020546,-0.06467294963923365,0.06467294963923365,-0.13718327516783962,0.012215783443264181,0.7777777777777778,False,True,False,LO_clean > pIPS_clean
112,7Networks_RH_Vis_12,0.2186338325040507,-0.07064731104882672,0.28928114355287743,0.28928114355287743,0.2057087501590938,0.36605081400326017,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
113,7Networks_RH_Vis_13,0.27316533856921726,-0.08053092107252036,0.3536962596417376,0.3536962596417376,0.2756289708230531,0.4328637779337551,1.0,True,True,True,pIPS_clean > LO_clean
114,7Networks_RH_Vis_14,0.23697040598801888,-0.12060347944498054,0.3575738854329994,0.3575738854329994,0.2767511034487849,0.43482905742947486,1.0,True,True,True,pIPS_clean > LO_clean
115,7Networks_RH_Vis_15,0.23380451807470032,0.0786061149156378,0.15519840315906253,0.15519840315906253,0.10796812405301763,0.20135385437687436,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
116,7Networks_RH_SomMot_1,0.09091125707132636,0.03988288469951254,0.05102837237181382,0.05102837237181382,0.015861715080752726,0.08642889324674435,0.6666666666666666,True,False,False,pIPS_clean > LO_clean
117,7Networks_RH_SomMot_2,0.10880823661055816,0.06405734918033217,0.044750887430226,0.044750887430226,0.0011671241913741818,0.08670195802867471,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
118,7Networks_RH_SomMot_3,0.08963623451012545,0.025413892645802724,0.06422234186432273,0.06422234186432273,0.01254280066856109,0.13862993803482035,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
119,7Networks_RH_SomMot_4,0.1106022147819249,0.03485157018094636,0.07575064460097855,0.07575064460097855,0.025842987451316544,0.14217040339141435,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
120,7Networks_RH_SomMot_5,0.10854310666521381,0.013793573216205817,0.094749533449008,0.094749533449008,0.041011126904814184,0.15570783095123855,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
121,7Networks_RH_SomMot_6,0.10922317176756217,0.018814234721540177,0.090408937046022,0.090408937046022,0.034796841374382,0.1543571859635787,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
122,7Networks_RH_SomMot_7,0.09699847022391327,0.060235314221695084,0.03676315600221818,0.03676315600221818,-0.0027488479625921818,0.07490137903574799,0.7222222222222222,False,False,False,pIPS_clean > LO_clean
123,7Networks_RH_SomMot_8,0.09751457956177399,0.054114892716622905,0.04339968684515109,0.04339968684515109,-0.042538591223119634,0.10734650385130963,0.8333333333333334,False,True,False,pIPS_clean > LO_clean
124,7Networks_RH_SomMot_9,0.11401783825472145,0.08619748013602054,0.027820358118700914,0.027820358118700914,-0.030471993295118176,0.0815216274073609,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
125,7Networks_RH_SomMot_10,0.11497343617557274,0.08211850151043344,0.03285493466513929,0.03285493466513929,-0.030146886618111633,0.0826430378876851,0.7222222222222222,False,False,False,pIPS_clean > LO_clean
126,7Networks_RH_SomMot_11,0.10599498194877545,0.06990788734960127,0.03608709459917418,0.03608709459917418,-0.011901162828158727,0.07775095610578327,0.7777777777777778,False,True,False,pIPS_clean > LO_clean
127,7Networks_RH_SomMot_12,0.14479195379247561,0.08139719692707964,0.06339475686539597,0.06339475686539597,0.011648391533379454,0.11158472238428345,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
128,7Networks_RH_SomMot_13,0.19343480016245979,0.07822546830419635,0.11520933185826343,0.11520933185826343,0.0652278025547569,0.16716711922322927,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
129,7Networks_RH_SomMot_14,0.14736364586184708,0.072707383225512,0.07465626263633508,0.07465626263633508,0.030538172822097448,0.11823491123269743,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
130,7Networks_RH_SomMot_15,0.1799693489165016,0.06864264729724381,0.11132670161925778,0.11132670161925778,0.06411706517459909,0.161040765096932,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
131,7Networks_RH_SomMot_16,0.11344921389462963,0.046313493841826175,0.06713572005280345,0.06713572005280345,0.030238099603189267,0.10862828992457689,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
132,7Networks_RH_SomMot_17,0.14324931409021818,0.038896973639952356,0.10435234045026583,0.10435234045026583,0.06411908441129127,0.14687865227225672,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
133,7Networks_RH_SomMot_18,0.1270577682163378,0.0684811678983158,0.05857660031802199,0.05857660031802199,0.019046589839177997,0.09800679490735707,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
134,7Networks_RH_SomMot_19,0.14754322442141435,0.06570853807991635,0.081834686341498,0.081834686341498,0.03963252745046636,0.12502812073187364,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
135,7Networks_RH_DorsAttn_Post_1,0.09401456537571817,0.18032724997310925,-0.08631268459739108,0.08631268459739108,-0.15571411705641724,-0.028886012526022,0.7222222222222222,True,False,False,LO_clean > pIPS_clean
136,7Networks_RH_DorsAttn_Post_2,0.1671499950867709,0.13328287198979655,0.033867123096974344,0.033867123096974344,-0.010721458178577817,0.07960261525633272,0.5,False,False,False,pIPS_clean > LO_clean
137,7Networks_RH_DorsAttn_Post_3,0.11050885355081218,0.05519824094877508,0.055310612602037096,0.055310612602037096,0.0010049248984696363,0.10271952168385708,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
138,7Networks_RH_DorsAttn_Post_4,0.12279332116848289,0.11666139728869436,0.006131923879788531,0.006131923879788531,-0.0708434455675269,0.07418037224513926,0.2777777777777778,False,False,False,pIPS_clean > LO_clean
139,7Networks_RH_DorsAttn_Post_5,0.13869744226938543,0.11544357260896089,0.023253869660424545,0.023253869660424545,-0.06305562922345327,0.09418662399232308,0.6111111111111112,False,False,False,pIPS_clean > LO_clean
140,7Networks_RH_DorsAttn_Post_6,0.20566240028299454,0.049424604383400725,0.1562377958995938,0.1562377958995938,0.08069137834962635,0.2312394807966556,0.8888888888888888,True,True,True,pIPS_clean > LO_clean
141,7Networks_RH_DorsAttn_Post_7,0.15874219888990562,0.22820265794342198,-0.06946045905351636,0.06946045905351636,-0.1608946067516249,0.014638606623529999,0.7222222222222222,False,False,False,LO_clean > pIPS_clean
142,7Networks_RH_DorsAttn_Post_8,0.2305297387970818,0.15149557807793218,0.07903416071914962,0.07903416071914962,0.00972611045775309,0.1416255580955138,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
143,7Networks_RH_DorsAttn_Post_9,0.22762148443496577,0.019230437417975452,0.20839104701699032,0.20839104701699032,0.13628328726579889,0.27309440532840323,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
144,7Networks_RH_DorsAttn_Post_10,0.19562412843559726,0.033027495309296544,0.1625966331263007,0.1625966331263007,0.12231248918617363,0.2020204588347536,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
145,7Networks_RH_DorsAttn_FEF_1,0.13466883206156763,0.09076248948471709,0.04390634257685054,0.04390634257685054,-0.0009027238490736363,0.086401373956992,0.6666666666666666,False,False,False,pIPS_clean > LO_clean
146,7Networks_RH_DorsAttn_FEF_2,0.15274065908872417,0.07142493990485109,0.08131571918387308,0.08131571918387308,0.03742268556173926,0.12470478410103508,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
147,7Networks_RH_DorsAttn_PrCv_1,0.07921492299911637,0.08211019605332326,-0.0028952730542068927,0.0028952730542068927,-0.04713736446644872,0.045037798951567995,0.3333333333333333,False,False,False,LO_clean > pIPS_clean
148,7Networks_RH_SalVentAttn_TempOccPar_1,0.12298475432378998,0.09352427379303417,0.02946048053075581,0.02946048053075581,-0.02897255638651909,0.0875660231115878,0.7222222222222222,False,False,False,pIPS_clean > LO_clean
149,7Networks_RH_SalVentAttn_TempOccPar_2,0.11122515246347345,0.07483028843199273,0.03639486403148072,0.03639486403148072,-0.018154202287809635,0.09388142702789418,0.7222222222222222,False,False,False,pIPS_clean > LO_clean
150,7Networks_RH_SalVentAttn_TempOccPar_3,0.11559187575723182,0.05252389500689018,0.06306798075034165,0.06306798075034165,0.01258174093872909,0.11696163576444363,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
151,7Networks_RH_SalVentAttn_PrC_1,0.09501527430433199,0.11018209413371291,-0.015166819829380923,0.015166819829380923,-0.08032393584150181,0.03876928508168818,0.5,False,False,False,LO_clean > pIPS_clean
152,7Networks_RH_SalVentAttn_FrOperIns_1,0.03487028176849236,0.04325029230911763,-0.008380010540625267,0.008380010540625267,-0.05564721777912854,0.02693513375436509,0.3888888888888889,False,False,False,LO_clean > pIPS_clean
153,7Networks_RH_SalVentAttn_FrOperIns_2,0.06475380894662144,0.034916602743018,0.029837206203603445,0.029837206203603445,0.0008615790854554545,0.05844965642859036,0.6111111111111112,True,False,False,pIPS_clean > LO_clean
154,7Networks_RH_SalVentAttn_FrOperIns_3,0.04548157440648981,0.07379602339833673,-0.028314448991846916,0.028314448991846916,-0.08729364707268708,0.04912913729427273,0.7222222222222222,False,False,False,LO_clean > pIPS_clean
155,7Networks_RH_SalVentAttn_FrOperIns_4,0.07813421477836491,0.03086414383348036,0.04727007094488454,0.04727007094488454,0.0020797753540769087,0.1033736745594069,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
156,7Networks_RH_SalVentAttn_Med_1,0.07747446549021528,0.0784878911817389,-0.0010134256915236284,0.0010134256915236284,-0.05513800580861181,0.04134256466799836,0.2222222222222222,False,False,False,LO_clean > pIPS_clean
157,7Networks_RH_SalVentAttn_Med_2,0.14779442093438563,0.032461801487387996,0.11533261944699763,0.11533261944699763,0.02741153064099218,0.17857201529356326,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
158,7Networks_RH_SalVentAttn_Med_3,0.10464876284587636,0.08368090590029345,0.02096785694558291,0.02096785694558291,-0.02635131186024854,0.07439912945053272,0.5,False,False,False,pIPS_clean > LO_clean
159,7Networks_RH_Limbic_OFC_1,0.02230176982008891,0.03253029726417436,-0.010228527444085454,0.010228527444085454,-0.035298464209196356,0.011388262647093453,0.4444444444444444,False,False,False,LO_clean > pIPS_clean
160,7Networks_RH_Limbic_OFC_2,0.03128177725070272,0.05390582323977436,-0.02262404598907164,0.02262404598907164,-0.07182265519554891,0.012354835293742544,0.5555555555555556,False,False,False,LO_clean > pIPS_clean
161,7Networks_RH_Limbic_OFC_3,0.03324736464731018,0.021571125846939272,0.011676238800370907,0.011676238800370907,-0.006749454075517454,0.032701596951657634,0.6111111111111112,False,False,False,pIPS_clean > LO_clean
162,7Networks_RH_Limbic_TempPole_1,0.020615262887205273,0.03652994866680454,-0.01591468577959927,0.01591468577959927,-0.035058923112698724,0.008668447138548727,0.7777777777777778,False,True,False,LO_clean > pIPS_clean
163,7Networks_RH_Limbic_TempPole_2,0.021702169976902726,0.03561009208417745,-0.013907922107274727,0.013907922107274727,-0.03193518743530436,0.006479506805360363,0.7222222222222222,False,False,False,LO_clean > pIPS_clean
164,7Networks_RH_Limbic_TempPole_3,0.03748351282374272,0.04284815606425945,-0.005364643240516727,0.005364643240516727,-0.03019741090952945,0.02605346810293727,0.6111111111111112,False,False,False,LO_clean > pIPS_clean
165,7Networks_RH_Cont_Par_1,0.10701710974440126,0.04495414029195364,0.062062969452447624,0.062062969452447624,0.023555776687583452,0.09814150358057526,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
166,7Networks_RH_Cont_Par_2,0.10293293368033672,0.09520620088836144,0.007726732791975277,0.007726732791975277,-0.06363187507359364,0.06501403255764418,0.4444444444444444,False,False,False,pIPS_clean > LO_clean
167,7Networks_RH_Cont_Par_3,0.14716117972075327,0.16591702173981399,-0.01875584201906072,0.01875584201906072,-0.10272001780832944,0.059089119158064175,0.3888888888888889,False,False,False,LO_clean > pIPS_clean
168,7Networks_RH_Cont_Temp_1,0.08409683362138691,0.09421486040633727,-0.010118026784950357,0.010118026784950357,-0.06431346928061091,0.03780798780887072,0.3888888888888889,False,False,False,LO_clean > pIPS_clean
169,7Networks_RH_Cont_PFCv_1,0.04464274394617527,0.065135014375126,-0.020492270428950736,0.020492270428950736,-0.04483691791444073,0.0025964699829034545,0.6111111111111112,False,False,False,LO_clean > pIPS_clean
170,7Networks_RH_Cont_PFCl_1,0.03770896586391945,0.050920814068780906,-0.01321184820486146,0.01321184820486146,-0.035010895585979813,0.006703252463149818,0.5,False,False,False,LO_clean > pIPS_clean
171,7Networks_RH_Cont_PFCl_2,0.04710725466297418,0.05137538619696927,-0.004268131533995093,0.004268131533995093,-0.04403545622328163,0.043713529675380364,0.3333333333333333,False,False,False,LO_clean > pIPS_clean
172,7Networks_RH_Cont_PFCl_3,0.051520874752013814,0.050834666154431996,0.000686208597581818,0.000686208597581818,-0.03899295585855563,0.047525183230078726,0.0,False,False,False,pIPS_clean > LO_clean
