ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Difference,Abs_Difference
71,7Networks_LH_Cont_pCun_1,0.14262852,-0.028107302,0.17073582,0.17073582
72,7Networks_LH_Cont_Cing_1,0.06899958,0.012820858,0.056178723,0.056178723
73,7Networks_LH_Cont_Cing_2,0.03108267,0.031947374,-0.00086470507,0.00086470507
74,7Networks_LH_Default_Temp_1,0.014289417,0.021365883,-0.0070764655,0.0070764655
75,7Networks_LH_Default_Temp_2,0.018546712,0.032996353,-0.014449641,0.014449641
76,7Networks_LH_Default_Temp_3,0.03009313,0.033583727,-0.003490597,0.003490597
77,7Networks_LH_Default_Temp_4,0.04264033,0.046800885,-0.004160557,0.004160557
78,7Networks_LH_Default_Temp_5,0.044817213,0.059751928,-0.014934715,0.014934715
79,7Networks_LH_Default_Par_1,0.090792954,0.035795677,0.054997277,0.054997277
80,7Networks_LH_Default_Par_2,0.12177617,0.006056071,0.1157201,0.1157201
81,7Networks_LH_Default_Par_3,0.05181504,0.010850331,0.040964708,0.040964708
82,7Networks_LH_Default_Par_4,0.0717072,0.002745887,0.06896131,0.06896131
83,7Networks_LH_Default_PFC_1,0.019056492,0.028144049,-0.009087557,0.009087557
84,7Networks_LH_Default_PFC_2,0.032051627,0.0074221515,0.024629476,0.024629476
85,7Networks_LH_Default_PFC_3,0.019560939,0.02214094,-0.002580002,0.002580002
86,7Networks_LH_Default_PFC_4,0.026669333,0.009505107,0.017164227,0.017164227
87,7Networks_LH_Default_PFC_5,0.034112982,0.023948647,0.010164335,0.010164335
88,7Networks_LH_Default_PFC_6,0.027932767,0.0020828806,0.025849886,0.025849886
89,7Networks_LH_Default_PFC_7,0.016522966,0.01833909,-0.0018161237,0.0018161237
90,7Networks_LH_Default_PFC_8,0.025790943,0.031266376,-0.0054754335,0.0054754335
91,7Networks_LH_Default_PFC_9,0.027962646,0.022352753,0.0056098923,0.0056098923
92,7Networks_LH_Default_PFC_10,0.04089375,0.05482029,-0.013926543,0.013926543
93,7Networks_LH_Default_PFC_11,0.053264145,0.03939488,0.013869263,0.013869263
94,7Networks_LH_Default_PFC_12,0.06361788,0.011815234,0.051802643,0.051802643
95,7Networks_LH_Default_PFC_13,0.048845626,0.03537754,0.013468087,0.013468087
96,7Networks_LH_Default_pCunPCC_1,0.1191268,-0.014680929,0.13380772,0.13380772
97,7Networks_LH_Default_pCunPCC_2,0.099491686,-0.015239824,0.114731506,0.114731506
98,7Networks_LH_Default_pCunPCC_3,0.06457356,0.021188818,0.043384746,0.043384746
99,7Networks_LH_Default_pCunPCC_4,0.090372674,0.004488925,0.08588375,0.08588375
100,7Networks_LH_Default_PHC_1,0.056848485,0.0411593,0.015689187,0.015689187
101,7Networks_RH_Vis_1,0.032476656,0.09431718,-0.061840527,0.061840527
102,7Networks_RH_Vis_2,0.067535944,0.060799763,0.0067361817,0.0067361817
103,7Networks_RH_Vis_3,0.075953014,0.12434076,-0.048387744,0.048387744
104,7Networks_RH_Vis_4,0.11293892,-0.018844917,0.13178384,0.13178384
105,7Networks_RH_Vis_5,0.028466562,0.072712876,-0.044246316,0.044246316
106,7Networks_RH_Vis_6,0.044135183,0.052088343,-0.0079531595,0.0079531595
107,7Networks_RH_Vis_7,0.0827086,0.0068132826,0.07589532,0.07589532
108,7Networks_RH_Vis_8,0.0039375275,0.12706079,-0.12312326,0.12312326
109,7Networks_RH_Vis_9,0.14637046,-0.056451872,0.20282233,0.20282233
110,7Networks_RH_Vis_10,0.09764743,0.011877272,0.08577016,0.08577016
111,7Networks_RH_Vis_11,0.08900219,0.124572314,-0.035570122,0.035570122
112,7Networks_RH_Vis_12,0.12024861,-0.03885602,0.15910463,0.15910463
113,7Networks_RH_Vis_13,0.15024093,-0.044292014,0.19453295,0.19453295
114,7Networks_RH_Vis_14,0.13033372,-0.06633191,0.19666563,0.19666563
115,7Networks_RH_Vis_15,0.12859249,0.043233365,0.08535913,0.08535913
116,7Networks_RH_SomMot_1,0.050001193,0.021935588,0.028065605,0.028065605
117,7Networks_RH_SomMot_2,0.059844535,0.035231538,0.024612997,0.024612997
118,7Networks_RH_SomMot_3,0.04929993,0.013977642,0.035322286,0.035322286
119,7Networks_RH_SomMot_4,0.060831215,0.019168364,0.04166285,0.04166285
120,7Networks_RH_SomMot_5,0.05969871,0.0075864666,0.05211224,0.05211224
121,7Networks_RH_SomMot_6,0.060072746,0.010347829,0.049724918,0.049724918
122,7Networks_RH_SomMot_7,0.053349156,0.033129424,0.020219732,0.020219732
123,7Networks_RH_SomMot_8,0.053633023,0.029763196,0.023869827,0.023869827
124,7Networks_RH_SomMot_9,0.06270981,0.04740861,0.015301198,0.015301198
125,7Networks_RH_SomMot_10,0.063235395,0.045165174,0.018070221,0.018070221
126,7Networks_RH_SomMot_11,0.058297243,0.038449336,0.019847907,0.019847907
127,7Networks_RH_SomMot_12,0.079635575,0.04476846,0.034867115,0.034867115
128,7Networks_RH_SomMot_13,0.106389135,0.043024004,0.06336513,0.06336513
129,7Networks_RH_SomMot_14,0.08105001,0.03998906,0.041060947,0.041060947
130,7Networks_RH_SomMot_15,0.09898314,0.037753455,0.061229683,0.061229683
131,7Networks_RH_SomMot_16,0.06239707,0.025472421,0.03692465,0.03692465
132,7Networks_RH_SomMot_17,0.07878712,0.021393336,0.05739378,0.05739378
133,7Networks_RH_SomMot_18,0.06988177,0.037664637,0.03221713,0.03221713
134,7Networks_RH_SomMot_19,0.08114877,0.036139693,0.04500908,0.04500908
135,7Networks_RH_DorsAttn_Post_1,0.051708005,0.09917999,-0.047471985,0.047471985
136,7Networks_RH_DorsAttn_Post_2,0.0919325,0.07330558,0.01862692,0.01862692
137,7Networks_RH_DorsAttn_Post_3,0.06077987,0.030359037,0.030420832,0.030420832
138,7Networks_RH_DorsAttn_Post_4,0.067536324,0.06416377,0.0033725575,0.0033725575
139,7Networks_RH_DorsAttn_Post_5,0.0762836,0.063493975,0.012789622,0.012789622
140,7Networks_RH_DorsAttn_Post_6,0.11311432,0.027183527,0.085930794,0.085930794
141,7Networks_RH_DorsAttn_Post_7,0.0873082,0.12551145,-0.038203254,0.038203254
142,7Networks_RH_DorsAttn_Post_8,0.12679134,0.08332258,0.043468766,0.043468766
143,7Networks_RH_DorsAttn_Post_9,0.12519182,0.010576738,0.11461508,0.11461508
144,7Networks_RH_DorsAttn_Post_10,0.10759327,0.01816512,0.08942815,0.08942815
145,7Networks_RH_DorsAttn_FEF_1,0.07406786,0.049919367,0.024148494,0.024148494
146,7Networks_RH_DorsAttn_FEF_2,0.08400736,0.039283715,0.044723645,0.044723645
147,7Networks_RH_DorsAttn_PrCv_1,0.043568205,0.045160607,-0.0015924014,0.0015924014
148,7Networks_RH_SalVentAttn_TempOccPar_1,0.067641616,0.051438347,0.01620327,0.01620327
