ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_pvalue,pIPS_pvalue_corrected,LO_pvalue,LO_pvalue_corrected,pIPS_LOO_Reliability,LO_LOO_Reliability,pIPS_Bootstrap_Significant_FDR,LO_Bootstrap_Significant_FDR,pIPS_LOO_Significant,LO_LOO_Significant,pIPS_Combined_Significant,LO_Combined_Significant,Both_Networks_Significant
37,7Networks_LH_DorsAttn_Post_7,0.07940278160903189,0.025996421903578773,0.0,0.0,0.0002,0.0003448275862068966,1.0,0.8888888888888888,True,True,True,True,True,True,True
38,7Networks_LH_DorsAttn_Post_8,0.10316530402956738,0.09432495907983846,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,True,True,True,True,True,True,True
39,7Networks_LH_DorsAttn_Post_9,0.12190547792447938,0.007656920701265335,0.0,0.0,0.6614,0.6818556701030928,1.0,0.3888888888888889,True,False,True,False,True,False,False
40,7Networks_LH_DorsAttn_Post_10,0.11161176860332489,0.024194130208343267,0.0,0.0,0.0112,0.015135135135135135,1.0,0.6666666666666666,True,True,True,False,True,False,False
41,7Networks_LH_DorsAttn_FEF_1,0.0681804624489612,0.05834226879394717,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,True,True,True,True,True,True,True
42,7Networks_LH_DorsAttn_FEF_2,0.07727910283332069,0.02138191321864724,0.0,0.0,0.0136,0.01813333333333333,1.0,0.7222222222222222,True,True,True,False,True,False,False
43,7Networks_LH_DorsAttn_PrCv_1,0.045088870437919266,0.057586715194500156,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True
44,7Networks_LH_SalVentAttn_ParOper_1,0.056531209809084736,0.0344514099156691,0.0,0.0,0.0,0.0,0.9444444444444444,0.8888888888888888,True,True,True,True,True,True,True
45,7Networks_LH_SalVentAttn_ParOper_2,0.06092529014373819,0.015347875370126631,0.0,0.0,0.1052,0.12232558139534884,1.0,0.6666666666666666,True,False,True,False,True,False,False
46,7Networks_LH_SalVentAttn_ParOper_3,0.050159986454269126,0.0244900520839211,0.0,0.0,0.0186,0.024313725490196076,0.8888888888888888,0.7777777777777778,True,True,True,True,True,True,True
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.033476694124854274,0.015203750883099727,0.0,0.0,0.0584,0.06870588235294117,1.0,0.6666666666666666,True,False,True,False,True,False,False
48,7Networks_LH_SalVentAttn_FrOperIns_2,0.02652884432528582,0.032961440531329975,0.0022,0.0023655913978494624,0.0,0.0,0.7222222222222222,0.8888888888888888,True,True,False,True,False,True,False
49,7Networks_LH_SalVentAttn_FrOperIns_3,0.04094430820421419,0.01396061710288955,0.0,0.0,0.0022,0.0032835820895522386,0.8333333333333334,0.7777777777777778,True,True,True,True,True,True,True
50,7Networks_LH_SalVentAttn_FrOperIns_4,0.044887767690751285,0.02537011043427305,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True,True,True,True,True,True,True
51,7Networks_LH_SalVentAttn_PFCl_1,0.038352360379778676,0.023939230595715344,0.0,0.0,0.0116,0.015570469798657716,0.9444444444444444,0.7222222222222222,True,True,True,False,True,False,False
52,7Networks_LH_SalVentAttn_Med_1,0.03965662202487389,0.051419776346948415,0.0,0.0,0.0,0.0,0.9444444444444444,0.9444444444444444,True,True,True,True,True,True,True
53,7Networks_LH_SalVentAttn_Med_2,0.07430315959370798,0.021573159403892025,0.0,0.0,0.2324,0.261123595505618,1.0,0.5,True,False,True,False,True,False,False
54,7Networks_LH_SalVentAttn_Med_3,0.05929687241506246,0.049683046992868185,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,True,True,True,True,True,True,True
55,7Networks_LH_Limbic_OFC_1,0.020696269943275385,0.023218420806289133,0.0,0.0,0.0,0.0,0.8888888888888888,0.7777777777777778,True,True,True,True,True,True,True
56,7Networks_LH_Limbic_OFC_2,0.013707723183971312,0.017990753083722666,0.0,0.0,0.0006,0.0009677419354838709,0.8888888888888888,0.8333333333333334,True,True,True,True,True,True,True
57,7Networks_LH_Limbic_TempPole_1,0.016203909504434302,0.018796510037241712,0.0,0.0,0.0,0.0,0.8333333333333334,0.9444444444444444,True,True,True,True,True,True,True
58,7Networks_LH_Limbic_TempPole_2,0.014274305896833539,0.025507814354366727,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,True,True,True,True,True,True,True
59,7Networks_LH_Limbic_TempPole_3,0.011384570337314572,0.018032293818477128,0.0036,0.0038095238095238095,0.0,0.0,0.7222222222222222,0.9444444444444444,True,True,False,True,False,True,False
60,7Networks_LH_Limbic_TempPole_4,0.008408498885627422,0.019136751264644165,0.0582,0.05878787878787879,0.0004,0.0006557377049180328,0.6111111111111112,0.7222222222222222,False,True,False,False,False,False,False
61,7Networks_LH_Cont_Par_1,0.04878445794909365,0.03065956114894814,0.0,0.0,0.0412,0.04963855421686747,0.8333333333333334,0.7222222222222222,True,True,True,False,True,False,False
62,7Networks_LH_Cont_Par_2,0.07058296130142278,0.06758251937571913,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,True,True,True,True,True,True,True
63,7Networks_LH_Cont_Par_3,0.06580022034338778,0.07509524305351079,0.0,0.0,0.0,0.0,0.9444444444444444,0.9444444444444444,True,True,True,True,True,True,True
64,7Networks_LH_Cont_Temp_1,0.042802550131455064,0.04064052370894286,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True,True,True,True,True,True,True
65,7Networks_LH_Cont_OFC_1,0.029651063804825146,0.01912385828068687,0.0,0.0,0.0028,0.004057971014492754,0.8888888888888888,0.7222222222222222,True,True,True,False,True,False,False
66,7Networks_LH_Cont_PFCl_1,0.022080299522106845,0.013051895567009019,0.0,0.0,0.0,0.0,0.8333333333333334,0.7777777777777778,True,True,True,True,True,True,True
67,7Networks_LH_Cont_PFCl_2,0.03400553294664456,0.026973090134561062,0.0002,0.0002185792349726776,0.0,0.0,0.8333333333333334,0.8888888888888888,True,True,True,True,True,True,True
68,7Networks_LH_Cont_PFCl_3,0.03827037432024048,0.026741780327736504,0.0,0.0,0.0,0.0,0.9444444444444444,0.7777777777777778,True,True,True,True,True,True,True
69,7Networks_LH_Cont_PFCl_4,0.04596164613030851,0.0642946008592844,0.0,0.0,0.0,0.0,0.9444444444444444,0.8888888888888888,True,True,True,True,True,True,True
70,7Networks_LH_Cont_PFCl_5,0.05459080124273896,0.08270949301206404,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True
71,7Networks_LH_Cont_pCun_1,0.1426285362492005,-0.028107300374863878,0.0,0.0,0.0346,0.04245398773006135,1.0,0.7222222222222222,True,True,True,False,True,False,False
72,7Networks_LH_Cont_Cing_1,0.06899957586493757,0.012820857072559496,0.0,0.0,0.0588,0.0687719298245614,1.0,0.5555555555555556,True,False,True,False,True,False,False
73,7Networks_LH_Cont_Cing_2,0.03108267191176613,0.03194737515877932,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,True,True,True,True,True,True,True
