ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Dorsal_Connected,Ventral_Connected,Both_Connected,Dorsal_Only,Ventral_Only,Neither
71,7Networks_LH_Cont_pCun_1,0.14262852,-0.028107302,True,False,False,True,False,False
72,7Networks_LH_Cont_Cing_1,0.06899958,0.012820858,True,True,True,False,False,False
73,7Networks_LH_Cont_Cing_2,0.03108267,0.031947374,True,True,True,False,False,False
74,7Networks_LH_Default_Temp_1,0.014289417,0.021365883,True,True,True,False,False,False
75,7Networks_LH_Default_Temp_2,0.018546712,0.032996353,True,True,True,False,False,False
76,7Networks_LH_Default_Temp_3,0.03009313,0.033583727,True,True,True,False,False,False
77,7Networks_LH_Default_Temp_4,0.04264033,0.046800885,True,True,True,False,False,False
78,7Networks_LH_Default_Temp_5,0.044817213,0.059751928,True,True,True,False,False,False
79,7Networks_LH_Default_Par_1,0.090792954,0.035795677,True,True,True,False,False,False
80,7Networks_LH_Default_Par_2,0.12177617,0.006056071,True,True,True,False,False,False
81,7Networks_LH_Default_Par_3,0.05181504,0.010850331,True,True,True,False,False,False
82,7Networks_LH_Default_Par_4,0.0717072,0.002745887,True,True,True,False,False,False
83,7Networks_LH_Default_PFC_1,0.019056492,0.028144049,True,True,True,False,False,False
84,7Networks_LH_Default_PFC_2,0.032051627,0.0074221515,True,True,True,False,False,False
85,7Networks_LH_Default_PFC_3,0.019560939,0.02214094,True,True,True,False,False,False
86,7Networks_LH_Default_PFC_4,0.026669333,0.009505107,True,True,True,False,False,False
87,7Networks_LH_Default_PFC_5,0.034112982,0.023948647,True,True,True,False,False,False
88,7Networks_LH_Default_PFC_6,0.027932767,0.0020828806,True,True,True,False,False,False
89,7Networks_LH_Default_PFC_7,0.016522966,0.01833909,True,True,True,False,False,False
90,7Networks_LH_Default_PFC_8,0.025790943,0.031266376,True,True,True,False,False,False
91,7Networks_LH_Default_PFC_9,0.027962646,0.022352753,True,True,True,False,False,False
92,7Networks_LH_Default_PFC_10,0.04089375,0.05482029,True,True,True,False,False,False
93,7Networks_LH_Default_PFC_11,0.053264145,0.03939488,True,True,True,False,False,False
94,7Networks_LH_Default_PFC_12,0.06361788,0.011815234,True,True,True,False,False,False
95,7Networks_LH_Default_PFC_13,0.048845626,0.03537754,True,True,True,False,False,False
96,7Networks_LH_Default_pCunPCC_1,0.1191268,-0.014680929,True,False,False,True,False,False
97,7Networks_LH_Default_pCunPCC_2,0.099491686,-0.015239824,True,False,False,True,False,False
98,7Networks_LH_Default_pCunPCC_3,0.06457356,0.021188818,True,True,True,False,False,False
99,7Networks_LH_Default_pCunPCC_4,0.090372674,0.004488925,True,True,True,False,False,False
100,7Networks_LH_Default_PHC_1,0.056848485,0.0411593,True,True,True,False,False,False
101,7Networks_RH_Vis_1,0.032476656,0.09431718,True,True,True,False,False,False
102,7Networks_RH_Vis_2,0.067535944,0.060799763,True,True,True,False,False,False
103,7Networks_RH_Vis_3,0.075953014,0.12434076,True,True,True,False,False,False
104,7Networks_RH_Vis_4,0.11293892,-0.018844917,True,False,False,True,False,False
105,7Networks_RH_Vis_5,0.028466562,0.072712876,True,True,True,False,False,False
106,7Networks_RH_Vis_6,0.044135183,0.052088343,True,True,True,False,False,False
107,7Networks_RH_Vis_7,0.0827086,0.0068132826,True,True,True,False,False,False
108,7Networks_RH_Vis_8,0.0039375275,0.12706079,True,True,True,False,False,False
109,7Networks_RH_Vis_9,0.14637046,-0.056451872,True,False,False,True,False,False
110,7Networks_RH_Vis_10,0.09764743,0.011877272,True,True,True,False,False,False
111,7Networks_RH_Vis_11,0.08900219,0.124572314,True,True,True,False,False,False
112,7Networks_RH_Vis_12,0.12024861,-0.03885602,True,False,False,True,False,False
113,7Networks_RH_Vis_13,0.15024093,-0.044292014,True,False,False,True,False,False
114,7Networks_RH_Vis_14,0.13033372,-0.06633191,True,False,False,True,False,False
115,7Networks_RH_Vis_15,0.12859249,0.043233365,True,True,True,False,False,False
116,7Networks_RH_SomMot_1,0.050001193,0.021935588,True,True,True,False,False,False
117,7Networks_RH_SomMot_2,0.059844535,0.035231538,True,True,True,False,False,False
118,7Networks_RH_SomMot_3,0.04929993,0.013977642,True,True,True,False,False,False
119,7Networks_RH_SomMot_4,0.060831215,0.019168364,True,True,True,False,False,False
120,7Networks_RH_SomMot_5,0.05969871,0.0075864666,True,True,True,False,False,False
121,7Networks_RH_SomMot_6,0.060072746,0.010347829,True,True,True,False,False,False
122,7Networks_RH_SomMot_7,0.053349156,0.033129424,True,True,True,False,False,False
123,7Networks_RH_SomMot_8,0.053633023,0.029763196,True,True,True,False,False,False
124,7Networks_RH_SomMot_9,0.06270981,0.04740861,True,True,True,False,False,False
125,7Networks_RH_SomMot_10,0.063235395,0.045165174,True,True,True,False,False,False
126,7Networks_RH_SomMot_11,0.058297243,0.038449336,True,True,True,False,False,False
127,7Networks_RH_SomMot_12,0.079635575,0.04476846,True,True,True,False,False,False
128,7Networks_RH_SomMot_13,0.106389135,0.043024004,True,True,True,False,False,False
129,7Networks_RH_SomMot_14,0.08105001,0.03998906,True,True,True,False,False,False
130,7Networks_RH_SomMot_15,0.09898314,0.037753455,True,True,True,False,False,False
131,7Networks_RH_SomMot_16,0.06239707,0.025472421,True,True,True,False,False,False
132,7Networks_RH_SomMot_17,0.07878712,0.021393336,True,True,True,False,False,False
133,7Networks_RH_SomMot_18,0.06988177,0.037664637,True,True,True,False,False,False
134,7Networks_RH_SomMot_19,0.08114877,0.036139693,True,True,True,False,False,False
135,7Networks_RH_DorsAttn_Post_1,0.051708005,0.09917999,True,True,True,False,False,False
136,7Networks_RH_DorsAttn_Post_2,0.0919325,0.07330558,True,True,True,False,False,False
137,7Networks_RH_DorsAttn_Post_3,0.06077987,0.030359037,True,True,True,False,False,False
138,7Networks_RH_DorsAttn_Post_4,0.067536324,0.06416377,True,True,True,False,False,False
139,7Networks_RH_DorsAttn_Post_5,0.0762836,0.063493975,True,True,True,False,False,False
140,7Networks_RH_DorsAttn_Post_6,0.11311432,0.027183527,True,True,True,False,False,False
141,7Networks_RH_DorsAttn_Post_7,0.0873082,0.12551145,True,True,True,False,False,False
142,7Networks_RH_DorsAttn_Post_8,0.12679134,0.08332258,True,True,True,False,False,False
143,7Networks_RH_DorsAttn_Post_9,0.12519182,0.010576738,True,True,True,False,False,False
144,7Networks_RH_DorsAttn_Post_10,0.10759327,0.01816512,True,True,True,False,False,False
145,7Networks_RH_DorsAttn_FEF_1,0.07406786,0.049919367,True,True,True,False,False,False
146,7Networks_RH_DorsAttn_FEF_2,0.08400736,0.039283715,True,True,True,False,False,False
147,7Networks_RH_DorsAttn_PrCv_1,0.043568205,0.045160607,True,True,True,False,False,False
148,7Networks_RH_SalVentAttn_TempOccPar_1,0.067641616,0.051438347,True,True,True,False,False,False
149,7Networks_RH_SalVentAttn_TempOccPar_2,0.06117383,0.04115666,True,True,True,False,False,False
150,7Networks_RH_SalVentAttn_TempOccPar_3,0.063575536,0.028888144,True,True,True,False,False,False
151,7Networks_RH_SalVentAttn_PrC_1,0.0522584,0.060600147,True,True,True,False,False,False
152,7Networks_RH_SalVentAttn_FrOperIns_1,0.019178653,0.023787662,True,True,True,False,False,False
153,7Networks_RH_SalVentAttn_FrOperIns_2,0.035614595,0.019204132,True,True,True,False,False,False
154,7Networks_RH_SalVentAttn_FrOperIns_3,0.025014868,0.040587816,True,True,True,False,False,False
155,7Networks_RH_SalVentAttn_FrOperIns_4,0.04297382,0.016975278,True,True,True,False,False,False
156,7Networks_RH_SalVentAttn_Med_1,0.042610954,0.043168336,True,True,True,False,False,False
157,7Networks_RH_SalVentAttn_Med_2,0.08128692,0.017853996,True,True,True,False,False,False
158,7Networks_RH_SalVentAttn_Med_3,0.057556823,0.046024494,True,True,True,False,False,False
159,7Networks_RH_Limbic_OFC_1,0.012265974,0.017891668,True,True,True,False,False,False
160,7Networks_RH_Limbic_OFC_2,0.017204978,0.029648202,True,True,True,False,False,False
161,7Networks_RH_Limbic_OFC_3,0.018286051,0.011864119,True,True,True,False,False,False
162,7Networks_RH_Limbic_TempPole_1,0.011338394,0.020091472,True,True,True,False,False,False
163,7Networks_RH_Limbic_TempPole_2,0.011936193,0.019585554,True,True,True,False,False,False
164,7Networks_RH_Limbic_TempPole_3,0.020615932,0.023566484,True,True,True,False,False,False
165,7Networks_RH_Cont_Par_1,0.058859408,0.024724774,True,True,True,False,False,False
166,7Networks_RH_Cont_Par_2,0.056613114,0.05236341,True,True,True,False,False,False
167,7Networks_RH_Cont_Par_3,0.08093865,0.09125437,True,True,True,False,False,False
168,7Networks_RH_Cont_Temp_1,0.046253256,0.051818177,True,True,True,False,False,False
169,7Networks_RH_Cont_PFCv_1,0.024553511,0.035824258,True,True,True,False,False,False
170,7Networks_RH_Cont_PFCl_1,0.02073993,0.028006444,True,True,True,False,False,False
171,7Networks_RH_Cont_PFCl_2,0.025908992,0.028256463,True,True,True,False,False,False
172,7Networks_RH_Cont_PFCl_3,0.028336482,0.027959066,True,True,True,False,False,False
173,7Networks_RH_Cont_PFCl_4,0.042183656,0.074814886,True,True,True,False,False,False
174,7Networks_RH_Cont_PFCl_5,0.02944053,0.032064106,True,True,True,False,False,False
175,7Networks_RH_Cont_PFCl_6,0.031074272,0.03422582,True,True,True,False,False,False
176,7Networks_RH_Cont_PFCl_7,0.05518122,0.06509644,True,True,True,False,False,False
177,7Networks_RH_Cont_pCun_1,0.14319132,-0.02169879,True,False,False,True,False,False
178,7Networks_RH_Cont_Cing_1,0.061705556,0.023917608,True,True,True,False,False,False
179,7Networks_RH_Cont_Cing_2,0.028689865,0.031969424,True,True,True,False,False,False
180,7Networks_RH_Cont_PFCmp_1,0.025809957,0.04206954,True,True,True,False,False,False
181,7Networks_RH_Cont_PFCmp_2,0.045074016,0.046907358,True,True,True,False,False,False
182,7Networks_RH_Default_Par_1,0.123087406,0.006870507,True,True,True,False,False,False
183,7Networks_RH_Default_Par_2,0.06571576,0.023995137,True,True,True,False,False,False
184,7Networks_RH_Default_Par_3,0.06178959,0.03281403,True,True,True,False,False,False
185,7Networks_RH_Default_Temp_1,0.0108702965,0.02286095,True,True,True,False,False,False
186,7Networks_RH_Default_Temp_2,0.022796135,0.03503941,True,True,True,False,False,False
187,7Networks_RH_Default_Temp_3,0.035193313,0.044044785,True,True,True,False,False,False
188,7Networks_RH_Default_Temp_4,0.04112514,0.06381659,True,True,True,False,False,False
189,7Networks_RH_Default_Temp_5,0.042540375,0.055509713,True,True,True,False,False,False
190,7Networks_RH_Default_PFCv_1,0.026621548,0.03353997,True,True,True,False,False,False
191,7Networks_RH_Default_PFCdPFCm_1,0.026493834,0.013898666,True,True,True,False,False,False
192,7Networks_RH_Default_PFCdPFCm_2,0.027073734,-0.0013078892,True,False,False,True,False,False
193,7Networks_RH_Default_PFCdPFCm_3,0.020744022,0.008373533,True,True,True,False,False,False
194,7Networks_RH_Default_PFCdPFCm_4,0.016303198,0.019052468,True,True,True,False,False,False
195,7Networks_RH_Default_PFCdPFCm_5,0.028792653,0.020235855,True,True,True,False,False,False
196,7Networks_RH_Default_PFCdPFCm_6,0.05122688,0.02437332,True,True,True,False,False,False
197,7Networks_RH_Default_PFCdPFCm_7,0.061325178,0.019755244,True,True,True,False,False,False
198,7Networks_RH_Default_pCunPCC_1,0.12935358,-0.01571742,True,False,False,True,False,False
199,7Networks_RH_Default_pCunPCC_2,0.0927712,0.004692999,True,True,True,False,False,False
200,7Networks_RH_Default_pCunPCC_3,0.09955293,0.019938717,True,True,True,False,False,False
