ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_CI_Lower,pIPS_CI_Upper,LO_CI_Lower,LO_CI_Upper,Dorsal_Significant,Ventral_Significant,Significant_Both,Significant_Dorsal_Only,Significant_Ventral_Only,Significant_Neither
1,7Networks_LH_Vis_1,0.09625672517965238,0.06584884845910387,0.07763339193382611,0.11519464678389743,0.04013600127881444,0.10181056732932726,True,True,True,False,False,False
2,7Networks_LH_Vis_2,0.08939977642148733,0.0942978754432665,0.0758724117780932,0.10202735449290937,0.07250986288870788,0.11507708474010639,True,True,True,False,False,False
3,7Networks_LH_Vis_3,0.025953458505682647,0.08405267369622986,0.014795977608365422,0.037408839408049566,0.0610471571304111,0.10832807462558977,True,True,True,False,False,False
4,7Networks_LH_Vis_4,0.11313291887442271,-0.026347908993355103,0.08807010176177653,0.13936625486757193,-0.06672970218997863,0.02251934775461753,True,False,False,True,False,False
5,7Networks_LH_Vis_5,0.004728238615724776,0.09951761587419444,-0.008439201032484156,0.01581109601797329,0.07084248301107436,0.12860483643469506,False,True,False,False,True,False
6,7Networks_LH_Vis_6,0.08059697370562288,0.008366245207273297,0.062478099209773874,0.10022224887895087,-0.01824732452061855,0.0469613324656772,True,False,False,True,False,False
7,7Networks_LH_Vis_7,0.07609390343228976,-0.010444913887315325,0.05471714332363465,0.09997537969611585,-0.04555977400806215,0.026327847741130325,True,False,False,True,False,False
8,7Networks_LH_Vis_8,0.10685043761299716,0.0773255622221364,0.08699853274350365,0.12864132427300015,0.054801071127359234,0.10059135115265638,True,True,True,False,False,False
9,7Networks_LH_Vis_9,0.03103579102187521,0.10414120241896146,0.013937245710985736,0.04963138971167306,0.06306592663297325,0.14750597101843188,True,True,True,False,False,False
10,7Networks_LH_Vis_10,0.12776094095574486,-0.021242087952689163,0.10059422073989278,0.1579397243292381,-0.05725139242131263,0.02332330353157077,True,False,False,True,False,False
11,7Networks_LH_Vis_11,0.09658655379381445,0.11623044622441132,0.07796517474473351,0.11758076287806032,0.08001036620181468,0.15019425274286832,True,True,True,False,False,False
12,7Networks_LH_Vis_12,0.12864779577487045,-0.008966399796514047,0.09871451188292768,0.16379971619074543,-0.03200562195270323,0.014968632263157306,True,False,False,True,False,False
