ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Y_Coordinate,Anatomical_Division
b'17Networks_LH_VisCent_ExStr_4',Wang_b'17Networks_LH_VisCent_ExStr_4',b'17Networks_LH_VisCent_ExStr_4',-0.6606335687915068,-21.862908962576483,5.824747078912232e-84,True,-0.6606335687915068,0.001051387157038397,-0.6606335687915068,-0.6979878999167655,-0.6331747180693907,-87,Occipital
b'17Networks_LH_VisCent_ExStr_3',Wang_b'17Networks_LH_VisCent_ExStr_3',b'17Networks_LH_VisCent_ExStr_3',-1.6113213467636436,-42.20301910572645,7.704786975595446e-205,True,-1.6113213467636436,0.0013566757098130587,-1.6113213467636436,-1.6258880968971758,-1.5585625005020927,-87,Occipital
b'17Networks_LH_VisCent_ExStr_2',Wang_b'17Networks_LH_VisCent_ExStr_2',b'17Networks_LH_VisCent_ExStr_2',-2.360988027907349,-42.82755289733305,2.9676448769917166e-205,True,-2.360988027907349,0.0019944531788781716,-2.360988027907349,-2.4827434621645814,-2.267866672438201,-87,Occipital
b'17Networks_LH_VisCent_Striate_1',Wang_b'17Networks_LH_VisCent_Striate_1',b'17Networks_LH_VisCent_Striate_1',-1.887721293241147,-62.97542766352448,3.42625e-319,True,-1.887721293241147,0.0010379674245001595,-1.887721293241147,-1.9253207394798366,-1.8576098442885818,-87,Occipital
b'17Networks_LH_VisPeri_ExStrInf_2',Wang_b'17Networks_LH_VisPeri_ExStrInf_2',b'17Networks_LH_VisPeri_ExStrInf_2',0.6945976681622867,18.356985558566166,2.6751014999288217e-58,True,0.6945976681622869,0.0016657395750354442,0.6945976681622867,0.6269095406876013,0.7639880083219762,-87,Occipital
b'17Networks_RH_VisCent_ExStr_5',Wang_b'17Networks_RH_VisCent_ExStr_5',b'17Networks_RH_VisCent_ExStr_5',-1.2979489095720407,-33.36554117330297,4.067667367261696e-173,True,-1.2979489095720405,0.001124378025797309,-1.2979489095720407,-1.3382440076971407,-1.251350760917419,-83,Occipital
b'17Networks_RH_DorsAttnA_ParOcc_1',Wang_b'17Networks_RH_DorsAttnA_ParOcc_1',b'17Networks_RH_DorsAttnA_ParOcc_1',0.2897915133689478,9.877942263089027,5.395191717042773e-22,True,0.28979151336894776,0.0009405085746372171,0.2897915133689478,0.2444605987258458,0.3677603009590065,-83,Occipital
b'17Networks_RH_DorsAttnA_TempOcc_1',Wang_b'17Networks_RH_DorsAttnA_TempOcc_1',b'17Networks_RH_DorsAttnA_TempOcc_1',6.4908798905322325,142.158538678689,0.0,True,6.490879890532233,0.001320829225234686,6.4908798905322325,6.415446011261975,6.501631213307627,-83,Occipital
b'17Networks_RH_VisPeri_ExStrSup_3',Wang_b'17Networks_RH_VisPeri_ExStrSup_3',b'17Networks_RH_VisPeri_ExStrSup_3',1.4249296417150539,18.169354844533757,5.281319123076927e-56,True,1.4249296417150537,0.00365657931630735,1.4249296417150539,1.1975278616277203,1.470076775564106,-83,Occipital
b'17Networks_RH_VisPeri_ExStrSup_2',Wang_b'17Networks_RH_VisPeri_ExStrSup_2',b'17Networks_RH_VisPeri_ExStrSup_2',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-83,Occipital
b'17Networks_RH_VisPeri_ExStrInf_2',Wang_b'17Networks_RH_VisPeri_ExStrInf_2',b'17Networks_RH_VisPeri_ExStrInf_2',0.15787363473462224,4.731853782092298,3.1542735019986835e-06,True,0.15787363473462224,0.0017206176330472854,0.15787363473462224,0.09243505257747966,0.20834638912736014,-83,Occipital
b'17Networks_RH_VisPeri_StriCal_1',Wang_b'17Networks_RH_VisPeri_StriCal_1',b'17Networks_RH_VisPeri_StriCal_1',-0.025219388376382927,-3.6310676107685382,0.00030123638513291316,True,-0.025219388376382927,0.0002522700024405131,-0.025219388376382927,-0.0348355280532594,-0.01764246487429143,-83,Occipital
b'17Networks_RH_VisCent_ExStr_1',Wang_b'17Networks_RH_VisCent_ExStr_1',b'17Networks_RH_VisCent_ExStr_1',2.803761097369479,60.09446144320723,0.0,True,2.803761097369479,0.0013005207464695174,2.803761097369479,2.7315654556893643,2.8677373181302457,-83,Occipital
b'17Networks_RH_VisCent_ExStr_2',Wang_b'17Networks_RH_VisCent_ExStr_2',b'17Networks_RH_VisCent_ExStr_2',3.9038949070966256,53.34205936931364,9.750382586109869e-246,True,3.9038949070966256,0.002800386579446777,3.9038949070966256,3.8081637640463883,3.996313262825194,-83,Occipital
b'17Networks_RH_VisCent_Striate_1',Wang_b'17Networks_RH_VisCent_Striate_1',b'17Networks_RH_VisCent_Striate_1',-0.05404129817260051,-5.476220821231577,5.5064083815670916e-08,True,-0.05404129817260049,0.00031332062544694376,-0.05404129817260051,-0.06751194172279573,-0.04358055788277538,-83,Occipital
b'17Networks_RH_VisCent_ExStr_4',Wang_b'17Networks_RH_VisCent_ExStr_4',b'17Networks_RH_VisCent_ExStr_4',0.013703611062849742,2.450976560985629,0.014498004111175414,True,0.013703611062849742,0.00021456603641791764,0.013703611062849742,0.00709532879974015,0.016470144464673535,-83,Occipital
b'17Networks_RH_VisPeri_ExStrSup_1',Wang_b'17Networks_RH_VisPeri_ExStrSup_1',b'17Networks_RH_VisPeri_ExStrSup_1',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-83,Occipital
b'17Networks_RH_VisCent_ExStr_3',Wang_b'17Networks_RH_VisCent_ExStr_3',b'17Networks_RH_VisCent_ExStr_3',0.004368289445096684,1.3404195849213418,0.1804057016615902,False,0.004368289445096684,0.00010174122494138559,0.004368289445096684,0.0,0.007261673605140724,-83,Occipital
b'17Networks_RH_VisPeri_ExStrInf_1',Wang_b'17Networks_RH_VisPeri_ExStrInf_1',b'17Networks_RH_VisPeri_ExStrInf_1',1.6431616615671543,26.520970947273778,5.681372954353334e-106,True,1.6431616615671547,0.0024153380706057603,1.6431616615671543,1.5318158353566536,1.7370869064768857,-83,Occipital
b'17Networks_LH_ContA_IPS_3',Wang_b'17Networks_LH_ContA_IPS_3',b'17Networks_LH_ContA_IPS_3',1.3435842846289234,24.265864948742774,4.283710008485409e-81,True,1.3435842846289232,0.0027445549764887633,1.3435842846289234,1.2478823719812726,1.3945177842380936,-67,Post. Parietal/Temporal
b'17Networks_LH_ContA_IPS_2',Wang_b'17Networks_LH_ContA_IPS_2',b'17Networks_LH_ContA_IPS_2',0.00692266599304544,1.415843025797233,0.15754705964268675,False,0.006922665993045442,0.00023606392628304062,0.00692266599304544,0.0,0.013807101202439923,-67,Post. Parietal/Temporal
b'17Networks_LH_ContA_IPS_1',Wang_b'17Networks_LH_ContA_IPS_1',b'17Networks_LH_ContA_IPS_1',0.22413708644181843,9.181130872338752,5.701791657884867e-19,True,0.2241370864418185,0.0009605086607105072,0.22413708644181843,0.17866946171110823,0.25640263930425256,-67,Post. Parietal/Temporal
b'17Networks_RH_ContA_IPS_2',Wang_b'17Networks_RH_ContA_IPS_2',b'17Networks_RH_ContA_IPS_2',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-63,Post. Parietal/Temporal
