ROI_ID,ROI_Name,pIPS_Mean,LO_Mean,pIPS_SE,LO_SE,Difference,Abs_Difference,t_statistic,p_value,Effect_Size,p_FDR,Significant_FDR
13,7Networks_LH_Vis_13,0.089794755,0.010978635,0.02068550305502121,0.01901533610336188,0.078816116,0.078816116,9.214613490199271,3.096664906788865e-08,2.1719053,4.158013348333167e-06,True
3,7Networks_LH_Vis_3,0.14527513,0.22154932,0.011982971886292043,0.01587249929636077,-0.07627419,0.07627419,-6.785802709804687,2.3481973367030313e-06,-1.5994291,6.709135247722946e-05,True
71,7Networks_LH_Cont_pCun_1,0.11140205,0.03856032,0.020704089770258328,0.01517753835578497,0.07284173,0.07284173,6.459619561732999,4.457966595661442e-06,1.522547,0.00011144916489153604,True
113,7Networks_RH_Vis_13,0.102452666,0.030144993,0.021456274000581057,0.016026843899311013,0.072307676,0.072307676,5.830246672010115,1.5984973978948395e-05,1.3742026,0.00022835677112783417,True
109,7Networks_RH_Vis_9,0.08794592,0.020110583,0.01890174416407572,0.0229860714259665,0.06783534,0.06783534,5.6374293379501355,2.3880014844639835e-05,1.3287547,0.00031840019792853114,True
177,7Networks_RH_Cont_pCun_1,0.11272252,0.047024183,0.019705688823937743,0.013227862178836732,0.06569834,0.06569834,5.427152984819837,3.71855615362421e-05,1.2791922,0.000420731259427405,True
14,7Networks_LH_Vis_14,0.13543908,0.0698363,0.017777280368558187,0.01706253963501532,0.06560278,0.06560278,5.836002355521571,1.5795714411677613e-05,1.3755589,0.00022835677112783417,True
114,7Networks_RH_Vis_14,0.07916474,0.01930691,0.014446111626826918,0.013621820547540119,0.059857834,0.059857834,7.801626477939176,3.497729745577733e-07,1.838861,2.3318198303851553e-05,True
108,7Networks_RH_Vis_8,0.058268473,0.115951926,0.008912658138036158,0.012591585108122827,-0.057683453,0.057683453,-9.034827675970437,4.1580133483331676e-08,-2.129529,4.158013348333167e-06,True
105,7Networks_RH_Vis_5,0.112742364,0.17014758,0.009409337422583725,0.012117104248330124,-0.05740522,0.05740522,-7.24325314301688,9.791539568411407e-07,-1.7072515,3.9461045642930015e-05,True
198,7Networks_RH_Default_pCunPCC_1,0.10253615,0.046503372,0.018770403056955997,0.015005312970409173,0.056032777,0.056032777,6.127786210551252,8.684082851068181e-06,1.444333,0.0001736816570213636,True
112,7Networks_RH_Vis_12,0.08163723,0.026802104,0.015648159660399688,0.01606944258582374,0.05483513,0.05483513,5.903774139061238,1.3733126942029519e-05,1.391533,0.00022835677112783417,True
96,7Networks_LH_Default_pCunPCC_1,0.09434937,0.039819278,0.019364919843200934,0.01683242434053058,0.05453009,0.05453009,7.239266244249736,9.865261410732504e-07,1.7063113,3.9461045642930015e-05,True
12,7Networks_LH_Vis_12,0.103243686,0.048831616,0.020796927626740635,0.015554937215823912,0.05441207,0.05441207,5.434206870879769,3.663410182913972e-05,1.2808551,0.000420731259427405,True
97,7Networks_LH_Default_pCunPCC_2,0.07953125,0.028052157,0.023285222847149026,0.01445784754615909,0.051479094,0.051479094,4.328702049033936,0.00040452772312663573,1.0202848,0.0031117517163587365,True
10,7Networks_LH_Vis_10,0.089963004,0.040288437,0.01727479294915907,0.021045424522812637,0.049674567,0.049674567,4.633726888281016,0.00020637325981142003,1.0921799,0.001719777165095167,True
80,7Networks_LH_Default_Par_2,0.100948155,0.051868767,0.011340849076557453,0.009924404291200013,0.04907939,0.04907939,5.918411445433864,1.3325322075996898e-05,1.3949829,0.00022835677112783417,True
5,7Networks_LH_Vis_5,0.05298775,0.10202148,0.0060039624082181674,0.012610733321976401,-0.049033727,0.049033727,-6.358089394377222,5.458395333395673e-06,-1.4986166,0.0001212976740754594,True
9,7Networks_LH_Vis_9,0.06922338,0.11717741,0.007189493237816773,0.016086437960994113,-0.04795403,0.04795403,-3.7740686221272757,0.0013893996662102525,-0.8895565,0.00712512649338591,True
104,7Networks_RH_Vis_4,0.07866943,0.03282586,0.014451562522071646,0.018972674173473782,0.045843568,0.045843568,3.6413383274991897,0.0018672907782554934,0.8582718,0.008748426280424432,True
4,7Networks_LH_Vis_4,0.07435278,0.03009996,0.013739713890991644,0.019633169183753355,0.04425282,0.04425282,3.4470619257288075,0.0028754166576339096,0.81248033,0.012501811554930041,True
115,7Networks_RH_Vis_15,0.1583449,0.11615521,0.014374938899609868,0.01057726052730314,0.042189687,0.042189687,3.3255061818750455,0.003763249258978453,0.78382957,0.015215691114527448,True
182,7Networks_RH_Default_Par_1,0.09617372,0.054610126,0.011649266506871894,0.009237582943962371,0.041563593,0.041563593,6.813363698773517,2.225858662060762e-06,1.6059256,6.709135247722946e-05,True
33,7Networks_LH_DorsAttn_Post_3,0.195418,0.15474086,0.01951221537371805,0.012716794171752284,0.040677145,0.040677145,2.7985234239043515,0.011874232953872446,0.65961814,0.03492421457021307,True
39,7Networks_LH_DorsAttn_Post_9,0.109723315,0.07082531,0.01406579160655805,0.014612221206876396,0.038898006,0.038898006,3.825908552422993,0.001237818507585789,0.9017753,0.006973133760756818,True
143,7Networks_RH_DorsAttn_Post_9,0.104418926,0.06783,0.011777953101506493,0.014270016430590645,0.03658893,0.03658893,3.9442548105653015,0.0009508716652516114,0.9296696,0.0057628585772824936,True
199,7Networks_RH_Default_pCunPCC_2,0.081548594,0.04650726,0.019549017890342135,0.013414770282980859,0.035041332,0.035041332,3.7924006342151055,0.001333787082734002,0.89387745,0.00712512649338591,True
99,7Networks_LH_Default_pCunPCC_4,0.07879179,0.044178676,0.016367281279647237,0.0158011915359909,0.034613114,0.034613114,5.418598041991954,3.786581334846645e-05,1.2771758,0.000420731259427405,True
135,7Networks_RH_DorsAttn_Post_1,0.10293533,0.13552193,0.00997262651027942,0.010171761951875146,-0.032586604,0.032586604,-3.66861780866349,0.001757269199089952,-0.86470145,0.008572044873609522,True
144,7Networks_RH_DorsAttn_Post_10,0.09774532,0.06535164,0.011560468534651393,0.010238825568973563,0.03239368,0.03239368,5.086825667302698,7.696518769922284e-05,1.1989765,0.0007330017876116461,True
82,7Networks_LH_Default_Par_4,0.061862443,0.031171277,0.014012638968120406,0.011246191691072945,0.030691165,0.030691165,5.202051377976863,6.007896279484719e-05,1.226135,0.000632410134682602,True
40,7Networks_LH_DorsAttn_Post_10,0.11057206,0.08003466,0.012268176433925077,0.012452404386377848,0.030537404,0.030537404,4.170877594510157,0.0005741981676358251,0.9830855,0.004199714236338046,True
37,7Networks_LH_DorsAttn_Post_7,0.12657164,0.09648671,0.012575964849046647,0.011778286411187496,0.03008493,0.03008493,3.136666532043528,0.005702619483729381,0.73931944,0.019664205116308214,True
140,7Networks_RH_DorsAttn_Post_6,0.10166092,0.071687125,0.009184561920116715,0.00838558699306248,0.029973798,0.029973798,3.3206401217750954,0.003803922778631862,0.78268236,0.015215691114527448,True
110,7Networks_RH_Vis_10,0.08016103,0.05113533,0.013792996434740858,0.016728501800554373,0.029025696,0.029025696,4.0060586896241945,0.0008285731253619706,0.9442374,0.005523820835746471,True
31,7Networks_LH_DorsAttn_Post_1,0.09900443,0.12764256,0.011423581667223888,0.010036451040990645,-0.028638124,0.028638124,-4.054445414525539,0.0007439453293714938,-0.9556423,0.005130657443941337,True
42,7Networks_LH_DorsAttn_FEF_2,0.08585754,0.057353076,0.015765170160516657,0.011511522435316062,0.028504465,0.028504465,3.8196642321232037,0.0012551640769362272,0.9003036,0.006973133760756818,True
107,7Networks_RH_Vis_7,0.06882856,0.04049088,0.012085518455533854,0.014876294775373984,0.02833768,0.02833768,3.32825515142857,0.0037404611891187025,0.7844772,0.015215691114527448,True
111,7Networks_RH_Vis_11,0.11357687,0.1404309,0.010104335967328664,0.011915078413551947,-0.02685403,0.02685403,-3.1747125495686532,0.005245992983649027,-0.7482862,0.019306484065767227,True
200,7Networks_RH_Default_pCunPCC_3,0.09228353,0.06550608,0.014600124629376576,0.014829028044046788,0.026777454,0.026777454,3.0888743408525046,0.006331498856964234,0.72805494,0.02137114352580058,True
6,7Networks_LH_Vis_6,0.06995481,0.043276552,0.012771838983609781,0.01637005886032227,0.02667826,0.02667826,2.9467475116412936,0.008627247033783668,0.6945549,0.02614317282964748,True
130,7Networks_RH_SomMot_15,0.10126441,0.07511662,0.015274022107393339,0.013701916573165792,0.02614779,0.02614779,4.34425579972524,0.0003908272094470878,1.0239506,0.0031117517163587365,True
45,7Networks_LH_SalVentAttn_ParOper_2,0.06886545,0.043541767,0.01474056081758667,0.009932530210294848,0.025323682,0.025323682,3.5195705159274118,0.0024479848889167478,0.82957065,0.01087993283962999,True
94,7Networks_LH_Default_PFC_12,0.06295385,0.038102258,0.013888064047525062,0.012564631465252305,0.024851594,0.024851594,5.140963919303765,6.849790197675993e-05,1.2117364,0.0006849790197675993,True
120,7Networks_RH_SomMot_5,0.0544278,0.029761111,0.012720781068321217,0.008184952512542443,0.024666687,0.024666687,3.2782469207203992,0.0041770586757506585,0.7726901,0.016380622257845718,True
121,7Networks_RH_SomMot_6,0.05883252,0.034740403,0.012882303794375955,0.00832630231113457,0.024092115,0.024092115,3.3720798852569653,0.003394995000945848,0.7948069,0.01444678723806744,True
7,7Networks_LH_Vis_7,0.055148393,0.031134907,0.010799434504977903,0.014815068350894176,0.024013486,0.024013486,2.0877146121284937,0.051309238431928514,0.49207905,0.11530165939759217,False
72,7Networks_LH_Cont_Cing_1,0.06673184,0.043658227,0.016977113218414205,0.009659343613262528,0.023073614,0.023073614,2.4234141549354278,0.026138024552697908,0.5712039,0.0687842751386787,False
103,7Networks_RH_Vis_3,0.116506815,0.1393642,0.010377457611705198,0.011079295842032379,-0.022857383,0.022857383,-3.0831408788381216,0.006411343057740174,-0.72670317,0.02137114352580058,True
79,7Networks_LH_Default_Par_1,0.09581932,0.07306368,0.01758712121306396,0.01411333524131254,0.022755638,0.022755638,2.663282952941578,0.015837693572654684,0.62774175,0.04404111525950196,True
11,7Networks_LH_Vis_11,0.12005654,0.14280091,0.008915430590869943,0.011980080638469386,-0.022744372,0.022744372,-2.959977431471158,0.008383319209470863,-0.6976733,0.02581037235975098,True
132,7Networks_RH_SomMot_17,0.07914297,0.056421474,0.0103699461789197,0.009984735052742149,0.0227215,0.0227215,4.767673194027182,0.00015388811101301134,1.123751,0.0013381574870696637,True
141,7Networks_RH_DorsAttn_Post_7,0.1271984,0.149581,0.012620559975084565,0.01383141080279667,-0.022382602,0.022382602,-2.2324709468444763,0.03852629144816202,-0.52619827,0.09172926535276671,False
19,7Networks_LH_SomMot_5,0.06878814,0.046718225,0.018741018817334767,0.01044729453627761,0.022069916,0.022069916,2.1289464745116122,0.04732203500010644,0.5017977,0.11005124418629406,False
101,7Networks_RH_Vis_1,0.06964297,0.091546826,0.008050111653772177,0.007539705992848698,-0.021903858,0.021903858,-3.6277429453163665,0.001924653781693375,-0.8550675,0.008748426280424432,True
128,7Networks_RH_SomMot_13,0.107309066,0.08559407,0.012881603844045847,0.013239922006807623,0.021714993,0.021714993,3.2190898022314385,0.004758462836244557,0.7587466,0.01795646353299833,True
134,7Networks_RH_SomMot_19,0.08795418,0.066686206,0.013556910623765113,0.010665591011330026,0.021267973,0.021267973,3.6761500089596866,0.0017280439750738303,0.86647683,0.008572044873609522,True
27,7Networks_LH_SomMot_13,0.09510159,0.0739344,0.01474799276883285,0.012533378982137038,0.021167189,0.021167189,3.912280720179772,0.0010210875203247151,0.9221336,0.006006397178380677,True
18,7Networks_LH_SomMot_4,0.06310613,0.042669762,0.016363235412903975,0.010034818678193932,0.020436365,0.020436365,2.56247794166402,0.019581810813390166,0.6039817,0.05221816216904044,False
146,7Networks_RH_DorsAttn_FEF_2,0.09398208,0.07424278,0.013661585247124103,0.010482088648413594,0.0197393,0.0197393,2.9776628444072917,0.00806765875666198,0.70184195,0.025611615100514223,True
157,7Networks_RH_SalVentAttn_Med_2,0.07365184,0.054012645,0.011065372043768491,0.01699030202609947,0.019639198,0.019639198,1.8857124275875605,0.07557850786037323,0.44446683,0.1574552247091109,False
81,7Networks_LH_Default_Par_3,0.052061055,0.03248181,0.01672977863302468,0.009958641177920577,0.019579247,0.019579247,2.0707438240784164,0.05303718577090761,0.48807904,0.11786041282423913,False
53,7Networks_LH_SalVentAttn_Med_2,0.07168704,0.052537624,0.011762405486847968,0.01781628956619856,0.019149419,0.019149419,1.8342235957618591,0.08320688029475204,0.43233082,0.16809470766616574,False
119,7Networks_RH_SomMot_4,0.062374208,0.043584906,0.01536864445262933,0.009131122122569283,0.018789303,0.018789303,2.3144970210050952,0.03265479620432315,0.54553217,0.08267037013752696,False
183,7Networks_RH_Default_Par_2,0.06589321,0.047208022,0.013502875141992913,0.01061067268622327,0.018685188,0.018685188,3.068196398321289,0.006624099493719666,0.72318053,0.021718358995802184,True
150,7Networks_RH_SalVentAttn_TempOccPar_3,0.069054596,0.050603483,0.0121949149660404,0.008621318128352028,0.018451113,0.018451113,2.9842770594101586,0.007952590651142783,0.7034011,0.025611615100514223,True
129,7Networks_RH_SomMot_14,0.08553076,0.06747601,0.01339258467782911,0.011149985697532078,0.018054746,0.018054746,3.1692501697960975,0.005309283118085988,0.7469992,0.019306484065767227,True
25,7Networks_LH_SomMot_11,0.12988017,0.111993864,0.01562916955498454,0.015713040526407634,0.01788631,0.01788631,2.276655184215962,0.03525223115895299,0.5366129,0.08813057789738248,False
118,7Networks_RH_SomMot_3,0.053175543,0.035322476,0.016020126427278472,0.008409194719519847,0.017853066,0.017853066,1.982400503232228,0.06291119589548011,0.4672563,0.13529289439888195,False
49,7Networks_LH_SalVentAttn_FrOperIns_3,0.051225416,0.03337742,0.01947654440072896,0.009602358768133548,0.017847996,0.017847996,1.6688351542932047,0.11245036424253296,0.39334813,0.2121704985708169,False
197,7Networks_RH_Default_PFCdPFCm_7,0.06363863,0.046039853,0.01215514513861517,0.00939284115729465,0.017598774,0.017598774,3.632863065107913,0.001902847654909495,0.85627437,0.008748426280424432,True
46,7Networks_LH_SalVentAttn_ParOper_3,0.05974236,0.042479932,0.013317289166250102,0.011500752259418595,0.017262429,0.017262429,2.9596996750770157,0.008388371016919069,0.69760776,0.02581037235975098,True
2,7Networks_LH_Vis_2,0.117726214,0.13447335,0.010071034911635534,0.010611709364795214,-0.01674714,0.01674714,-2.6680269629782756,0.015679456829038353,-0.6288599,0.04404111525950196,True
131,7Networks_RH_SomMot_16,0.066299535,0.049773622,0.011557543101220428,0.00810773918833735,0.016525913,0.016525913,2.897661550252606,0.00959372146628967,0.68298566,0.028637974526237817,True
137,7Networks_RH_DorsAttn_Post_3,0.0696357,0.05358383,0.009904754403544516,0.009140145413882207,0.016051866,0.016051866,3.9692724332890443,0.000899323750915277,0.9355664,0.0057628585772824936,True
155,7Networks_RH_SalVentAttn_FrOperIns_4,0.047637764,0.031609274,0.012751296851577443,0.007313450253541948,0.01602849,0.01602849,2.3708504279667015,0.0291144693341709,0.5588147,0.07562199827057377,False
17,7Networks_LH_SomMot_3,0.058351506,0.04232572,0.017873741899521154,0.009799455038193695,0.016025785,0.016025785,1.7122081160740388,0.10403226402937121,0.4035716,0.20385109337574223,False
88,7Networks_LH_Default_PFC_6,0.029590346,0.013605952,0.016085872189176613,0.0090519790207752,0.015984394,0.015984394,1.8579419248447508,0.07961246482386511,0.437921,0.16247441800788798,False
50,7Networks_LH_SalVentAttn_FrOperIns_4,0.058295313,0.042336706,0.016204238148662998,0.008575717945429853,0.015958607,0.015958607,1.7480739496224165,0.09748682222269653,0.41202512,0.19497364444539306,False
98,7Networks_LH_Default_pCunPCC_3,0.064035535,0.049081884,0.013565545908423739,0.01420125891660056,0.0149536505,0.0149536505,3.95219739592571,0.0009341931211056811,0.93154156,0.0057628585772824936,True
188,7Networks_RH_Default_Temp_4,0.057127897,0.0720575,0.009968621666266126,0.01246232419526865,-0.014929604,0.014929604,-2.017474686283798,0.05880846373009355,-0.47552356,0.12784448636976858,False
165,7Networks_RH_Cont_Par_1,0.05925838,0.04465443,0.009980108885297856,0.0095192697925005,0.01460395,0.01460395,3.1387840087873533,0.0056762152795733715,0.7398187,0.019664205116308214,True
44,7Networks_LH_SalVentAttn_ParOper_1,0.072408035,0.0578624,0.0174071442410043,0.010658404341823456,0.014545634,0.014545634,1.5984881402192899,0.12733991337366193,0.3767674,0.23152711522483987,False
29,7Networks_LH_SomMot_15,0.081878446,0.06748679,0.012073765443397529,0.009853205924776731,0.014391653,0.014391653,3.2249464803406305,0.004697532602308042,0.7601269,0.01795646353299833,True
16,7Networks_LH_SomMot_2,0.06744173,0.05325166,0.01694056025673077,0.011553163070155952,0.01419007,0.01419007,1.9582005080408613,0.06588969832588112,0.46155247,0.14019084750187474,False
133,7Networks_RH_SomMot_18,0.07941669,0.0653359,0.012881493595459054,0.010115269379505801,0.014080793,0.014080793,2.569249491649588,0.019306039194944166,0.60557777,0.052178484310659905,False
192,7Networks_RH_Default_PFCdPFCm_2,0.026685363,0.012625751,0.014480623707694361,0.007933272936336958,0.014059612,0.014059612,1.6909438451857606,0.10808913296729891,0.3985593,0.20588406279485505,False
127,7Networks_RH_SomMot_12,0.08385632,0.07007527,0.012421357871552638,0.013908075447988418,0.013781048,0.013781048,2.208413372673448,0.04042465120380547,0.5205276,0.09511682636189522,False
84,7Networks_LH_Default_PFC_2,0.033783127,0.020025244,0.012062277369725592,0.011208637091066079,0.013757883,0.013757883,4.16022204497266,0.0005879599930873264,0.98057353,0.004199714236338046,True
173,7Networks_RH_Cont_PFCl_4,0.070241824,0.08392534,0.010322661500148142,0.009137031959605546,-0.013683513,0.013683513,-2.571409115542777,0.019218864700313372,-0.6060868,0.052178484310659905,False
70,7Networks_LH_Cont_PFCl_5,0.086050935,0.099311635,0.011854504079550616,0.013956238696893494,-0.0132607,0.0132607,-1.5063155568108995,0.14933444543420044,-0.35504183,0.2666686525610722,False
28,7Networks_LH_SomMot_14,0.06934271,0.056700736,0.014721353633558762,0.008539492310945964,0.012641974,0.012641974,1.6544839883201656,0.11536116495451938,0.3899656,0.21562834570938202,False
116,7Networks_RH_SomMot_1,0.052768677,0.04017984,0.012128430795002806,0.009743150486670045,0.012588836,0.012588836,2.703963142631342,0.01452884086263299,0.63733053,0.04211258221053041,True
178,7Networks_RH_Cont_Cing_1,0.06255571,0.050100137,0.01501568488396985,0.011359710985941447,0.012455571,0.012455571,2.2603686402921115,0.036427929440918966,0.53277373,0.08884860839248529,False
30,7Networks_LH_SomMot_16,0.08229584,0.06998591,0.013639406479094014,0.011398965465321431,0.012309931,0.012309931,2.662772758404149,0.015854801493420705,0.6276217,0.04404111525950196,True
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.039553512,0.028659146,0.013035390366940463,0.012079377865641512,0.010894366,0.010894366,3.7795271336817993,0.001372602806129732,0.8908429,0.00712512649338591,True
15,7Networks_LH_SomMot_1,0.047942318,0.037115503,0.01308859684771119,0.011824308786372278,0.010826815,0.010826815,3.139441635032309,0.005668039239965876,0.73997337,0.019664205116308214,True
