ROI,Analysis,Subject1,Subject2,Dice
pIPS,fc,sub-085,sub-088,0.8314930498998607
pIPS,fc,sub-085,sub-093,0.8493855516471195
pIPS,fc,sub-085,sub-094,0.8291533801389358
pIPS,fc,sub-085,sub-095,0.8248997682892827
pIPS,fc,sub-085,sub-096,0.8130665917117822
pIPS,fc,sub-085,sub-097,0.7942995906340133
pIPS,fc,sub-085,sub-107,0.8280941982484408
pIPS,fc,sub-087,sub-088,0.8060666051186386
pIPS,fc,sub-087,sub-093,0.8087213485094547
pIPS,fc,sub-087,sub-094,0.7960827529248506
pIPS,fc,sub-087,sub-095,0.7758827804430947
pIPS,fc,sub-087,sub-096,0.7616934766587888
pIPS,fc,sub-087,sub-097,0.7609949216812052
pIPS,fc,sub-087,sub-107,0.8018841492472263
pIPS,fc,sub-088,sub-093,0.8660707460945946
pIPS,fc,sub-088,sub-094,0.8581882350313278
pIPS,fc,sub-088,sub-095,0.8245211189608391
pIPS,fc,sub-088,sub-096,0.8121682780836305
pIPS,fc,sub-088,sub-097,0.8122002845345084
pIPS,fc,sub-088,sub-107,0.8608445105034573
pIPS,fc,sub-093,sub-094,0.875558197912538
pIPS,fc,sub-093,sub-095,0.8546368546733815
pIPS,fc,sub-093,sub-096,0.8432107957405256
pIPS,fc,sub-093,sub-097,0.8240643661393992
pIPS,fc,sub-093,sub-107,0.8684700754813142
pIPS,fc,sub-094,sub-095,0.8283656048692465
pIPS,fc,sub-094,sub-096,0.8175906986247021
pIPS,fc,sub-094,sub-097,0.8168080012321076
pIPS,fc,sub-094,sub-107,0.8568693455818573
pIPS,fc,sub-095,sub-096,0.8336227616650322
pIPS,fc,sub-095,sub-097,0.7811448301279253
pIPS,fc,sub-095,sub-107,0.8301095826532991
pIPS,fc,sub-096,sub-097,0.7836913448426369
pIPS,fc,sub-096,sub-107,0.8116038189663957
pIPS,fc,sub-097,sub-107,0.8086013696270536
LO,fc,sub-025,sub-038,0.6308477356255505
LO,fc,sub-025,sub-057,0.6488513624650474
LO,fc,sub-025,sub-059,0.6414528575179786
LO,fc,sub-025,sub-064,0.6334987118145012
LO,fc,sub-025,sub-067,0.6409787585856016
LO,fc,sub-025,sub-068,0.6345242878891637
LO,fc,sub-025,sub-071,0.6271575659899961
LO,fc,sub-025,sub-083,0.6351788269798175
LO,fc,sub-025,sub-085,0.6260992039191672
LO,fc,sub-025,sub-087,0.6267277181674069
LO,fc,sub-025,sub-088,0.6316963523587321
LO,fc,sub-025,sub-093,0.6387589485379952
LO,fc,sub-025,sub-094,0.6336268526327563
LO,fc,sub-025,sub-095,0.6380296042972866
LO,fc,sub-025,sub-096,0.6249341429458632
LO,fc,sub-025,sub-097,0.5845956507078014
LO,fc,sub-025,sub-107,0.61479774249878
LO,fc,sub-038,sub-057,0.8238092820851235
LO,fc,sub-038,sub-059,0.8042669441914921
LO,fc,sub-038,sub-064,0.79889476507634
LO,fc,sub-038,sub-067,0.8275970313235723
LO,fc,sub-038,sub-068,0.8022227488151659
LO,fc,sub-038,sub-071,0.8029625613207657
LO,fc,sub-038,sub-083,0.7902531992866522
LO,fc,sub-038,sub-085,0.7784187807112096
LO,fc,sub-038,sub-087,0.7475088920386168
LO,fc,sub-038,sub-088,0.8038059960864038
LO,fc,sub-038,sub-093,0.8122248708499266
LO,fc,sub-038,sub-094,0.7880739158845046
LO,fc,sub-038,sub-095,0.7927816613621285
LO,fc,sub-038,sub-096,0.784998714385415
LO,fc,sub-038,sub-097,0.719326327135543
LO,fc,sub-038,sub-107,0.7617736607674777
LO,fc,sub-057,sub-059,0.8795749833636969
LO,fc,sub-057,sub-064,0.854230276099678
LO,fc,sub-057,sub-067,0.9128047514225194
LO,fc,sub-057,sub-068,0.8728794667249481
LO,fc,sub-057,sub-071,0.8888035337046284
LO,fc,sub-057,sub-083,0.8524357431619367
LO,fc,sub-057,sub-085,0.8227335617646786
LO,fc,sub-057,sub-087,0.7696053531308
LO,fc,sub-057,sub-088,0.8753709198813057
LO,fc,sub-057,sub-093,0.8861332828622335
LO,fc,sub-057,sub-094,0.8482701384211119
LO,fc,sub-057,sub-095,0.8751134989569169
LO,fc,sub-057,sub-096,0.8554610679972517
LO,fc,sub-057,sub-097,0.7517029386450265
LO,fc,sub-057,sub-107,0.8245649529895747
LO,fc,sub-059,sub-064,0.829059513366268
LO,fc,sub-059,sub-067,0.8875228005801274
LO,fc,sub-059,sub-068,0.8487160497694326
LO,fc,sub-059,sub-071,0.8650748430923072
LO,fc,sub-059,sub-083,0.8343995364267459
LO,fc,sub-059,sub-085,0.8040794468707977
LO,fc,sub-059,sub-087,0.7556979574850015
LO,fc,sub-059,sub-088,0.8483938743637854
LO,fc,sub-059,sub-093,0.8617066761679953
LO,fc,sub-059,sub-094,0.8208630245447348
LO,fc,sub-059,sub-095,0.8574422196368189
LO,fc,sub-059,sub-096,0.8373712803422985
LO,fc,sub-059,sub-097,0.7361561050497297
LO,fc,sub-059,sub-107,0.8045741317399535
LO,fc,sub-064,sub-067,0.8542699694337018
LO,fc,sub-064,sub-068,0.8310040587888389
LO,fc,sub-064,sub-071,0.831929321784844
LO,fc,sub-064,sub-083,0.8089371755639484
LO,fc,sub-064,sub-085,0.802620257440047
LO,fc,sub-064,sub-087,0.7558082352175893
LO,fc,sub-064,sub-088,0.8302479388759701
LO,fc,sub-064,sub-093,0.8315175115186162
LO,fc,sub-064,sub-094,0.809624666318548
LO,fc,sub-064,sub-095,0.8135678285892526
LO,fc,sub-064,sub-096,0.7950998185117968
LO,fc,sub-064,sub-097,0.7235900863707257
LO,fc,sub-064,sub-107,0.7854298812417254
LO,fc,sub-067,sub-068,0.8949092409591914
LO,fc,sub-067,sub-071,0.9061360996094694
LO,fc,sub-067,sub-083,0.858550887234257
LO,fc,sub-067,sub-085,0.8228121616744858
LO,fc,sub-067,sub-087,0.7719462845553882
LO,fc,sub-067,sub-088,0.8839050019221734
LO,fc,sub-067,sub-093,0.8934644743946725
LO,fc,sub-067,sub-094,0.8471377853445137
LO,fc,sub-067,sub-095,0.8787052238323616
LO,fc,sub-067,sub-096,0.8659068456181779
LO,fc,sub-067,sub-097,0.7574741321324473
LO,fc,sub-067,sub-107,0.8304613347732864
LO,fc,sub-068,sub-071,0.8560291485723261
LO,fc,sub-068,sub-083,0.8281109785092466
LO,fc,sub-068,sub-085,0.8014641009132747
LO,fc,sub-068,sub-087,0.7593886748089609
LO,fc,sub-068,sub-088,0.850019134232267
LO,fc,sub-068,sub-093,0.8629122748312977
LO,fc,sub-068,sub-094,0.8227667304872953
LO,fc,sub-068,sub-095,0.8358703357022119
LO,fc,sub-068,sub-096,0.8235438279297421
LO,fc,sub-068,sub-097,0.7331451008966341
LO,fc,sub-068,sub-107,0.8015154664048522
LO,fc,sub-071,sub-083,0.8346472863352691
LO,fc,sub-071,sub-085,0.8055206082169489
LO,fc,sub-071,sub-087,0.7432883040110506
LO,fc,sub-071,sub-088,0.8560751650177848
LO,fc,sub-071,sub-093,0.8655900719589209
LO,fc,sub-071,sub-094,0.8286902499906859
LO,fc,sub-071,sub-095,0.8586828092595706
LO,fc,sub-071,sub-096,0.8412295788719736
LO,fc,sub-071,sub-097,0.7374834529540373
LO,fc,sub-071,sub-107,0.8053711512638696
LO,fc,sub-083,sub-085,0.7885134102261913
LO,fc,sub-083,sub-087,0.7543546481673268
LO,fc,sub-083,sub-088,0.8259712019626155
LO,fc,sub-083,sub-093,0.8356444667438451
LO,fc,sub-083,sub-094,0.8023494444837591
LO,fc,sub-083,sub-095,0.8264879165415792
LO,fc,sub-083,sub-096,0.8116311670571266
LO,fc,sub-083,sub-097,0.714228042949417
LO,fc,sub-083,sub-107,0.7798277314349373
LO,fc,sub-085,sub-087,0.7314301104228387
LO,fc,sub-085,sub-088,0.7967152480332691
LO,fc,sub-085,sub-093,0.811010489004458
LO,fc,sub-085,sub-094,0.7871128057923825
LO,fc,sub-085,sub-095,0.7894988944422134
LO,fc,sub-085,sub-096,0.782959320738906
LO,fc,sub-085,sub-097,0.725122805113035
LO,fc,sub-085,sub-107,0.765130885509314
LO,fc,sub-087,sub-088,0.7587792810985461
LO,fc,sub-087,sub-093,0.7610699516497795
LO,fc,sub-087,sub-094,0.7470047641493104
LO,fc,sub-087,sub-095,0.7525925699215981
LO,fc,sub-087,sub-096,0.7338724570881595
LO,fc,sub-087,sub-097,0.671196419210452
LO,fc,sub-087,sub-107,0.7207776611334055
LO,fc,sub-088,sub-093,0.8508678186800015
LO,fc,sub-088,sub-094,0.8186369489893445
LO,fc,sub-088,sub-095,0.836212365309224
LO,fc,sub-088,sub-096,0.825072283700461
LO,fc,sub-088,sub-097,0.7320519665420894
LO,fc,sub-088,sub-107,0.7969214597867484
LO,fc,sub-093,sub-094,0.8326810773733738
LO,fc,sub-093,sub-095,0.856886388662155
LO,fc,sub-093,sub-096,0.8427756304067734
LO,fc,sub-093,sub-097,0.7428247876690783
LO,fc,sub-093,sub-107,0.8046043124429572
LO,fc,sub-094,sub-095,0.8125408605317797
LO,fc,sub-094,sub-096,0.7989598680808297
LO,fc,sub-094,sub-097,0.7303794377527282
LO,fc,sub-094,sub-107,0.7825645635333448
LO,fc,sub-095,sub-096,0.8397836428559706
LO,fc,sub-095,sub-097,0.7202223752222211
LO,fc,sub-095,sub-107,0.785384852149593
LO,fc,sub-096,sub-097,0.731893685095946
LO,fc,sub-096,sub-107,0.7791852477394057
LO,fc,sub-097,sub-107,0.7055915282676624
