Comparison,Mean Dice,Std Dev,95% CI Lower,95% CI Upper,N
pIPS vs LO,0.9045684515403912,0.05642441531058937,0.8860222077322892,0.9231146953484932,38
pIPS between subjects,0.8221312670610519,0.05004306291791308,0.8183743275004165,0.8258882066216873,684
LO between subjects,0.7823058549137155,0.07122476008198586,0.7769587178032691,0.787652992024162,684
