Subject1,Subject2,Dice
sub-025,sub-038,0.42646066500686414
sub-025,sub-057,0.5308633084104807
sub-025,sub-059,0.5122129462630365
sub-025,sub-064,0.4880147036110339
sub-025,sub-067,0.45644191686306657
sub-025,sub-068,0.5094807902313114
sub-025,sub-071,0.41547478636534124
sub-025,sub-083,0.44802396610199985
sub-025,sub-085,0.485887286777872
sub-025,sub-087,0.48698341715002474
sub-025,sub-088,0.45057071343617416
sub-025,sub-093,0.5445101232850807
sub-025,sub-094,0.40314021445852705
sub-025,sub-095,0.5139495315991226
sub-025,sub-096,0.39833950185055517
sub-025,sub-097,0.5106689826902105
sub-025,sub-107,0.4951893269650279
sub-038,sub-057,0.5270373090820457
sub-038,sub-059,0.5004965531239353
sub-038,sub-064,0.4873457354331076
sub-038,sub-067,0.45170203883119064
sub-038,sub-068,0.5123943933439699
sub-038,sub-071,0.429201684502215
sub-038,sub-083,0.4637696938354269
sub-038,sub-085,0.49176579491825134
sub-038,sub-087,0.4940000156964926
sub-038,sub-088,0.4669844040187062
sub-038,sub-093,0.530368334350775
sub-038,sub-094,0.4328721966221275
sub-038,sub-095,0.4932518628297131
sub-038,sub-096,0.4028213245280542
sub-038,sub-097,0.5067801459018738
sub-038,sub-107,0.49689110582575546
sub-057,sub-059,0.7051539865700027
sub-057,sub-064,0.666572715402447
sub-057,sub-067,0.5695042269222432
sub-057,sub-068,0.7014602517005701
sub-057,sub-071,0.5513753092712006
sub-057,sub-083,0.5540594415936829
sub-057,sub-085,0.6554176446947678
sub-057,sub-087,0.6433350220742563
sub-057,sub-088,0.5574661036918158
sub-057,sub-093,0.8088733760310343
sub-057,sub-094,0.48211276554600957
sub-057,sub-095,0.7434480299518631
sub-057,sub-096,0.46813832477637585
sub-057,sub-097,0.7001898814523906
sub-057,sub-107,0.661350597700624
sub-059,sub-064,0.6328292724085237
sub-059,sub-067,0.5647336171769416
sub-059,sub-068,0.671367482750881
sub-059,sub-071,0.5139316911436527
sub-059,sub-083,0.5286184709756433
sub-059,sub-085,0.6141833052987035
sub-059,sub-087,0.6002115016617988
sub-059,sub-088,0.525868782499677
sub-059,sub-093,0.7247778849244616
sub-059,sub-094,0.46207831382806086
sub-059,sub-095,0.6721456539869669
sub-059,sub-096,0.46111811524504037
sub-059,sub-097,0.6644303923114202
sub-059,sub-107,0.6201649959200896
sub-064,sub-067,0.5305059362316324
sub-064,sub-068,0.6345469460257936
sub-064,sub-071,0.48905738280375394
sub-064,sub-083,0.49223546133607526
sub-064,sub-085,0.5958111867855002
sub-064,sub-087,0.5760421231513416
sub-064,sub-088,0.5151632941387533
sub-064,sub-093,0.6719790315607437
sub-064,sub-094,0.4561168243521185
sub-064,sub-095,0.623313029977308
sub-064,sub-096,0.4381034183728248
sub-064,sub-097,0.6223161250266418
sub-064,sub-107,0.5870596607757087
sub-067,sub-068,0.5538467702622388
sub-067,sub-071,0.44029772600662637
sub-067,sub-083,0.47771178806179304
sub-067,sub-085,0.5198774061252839
sub-067,sub-087,0.5175423558805828
sub-067,sub-088,0.45350226125064874
sub-067,sub-093,0.6001239458808266
sub-067,sub-094,0.4227781543704084
sub-067,sub-095,0.5481247904253398
sub-067,sub-096,0.4069109543041666
sub-067,sub-097,0.5544551143756418
sub-067,sub-107,0.5348128058317907
sub-068,sub-071,0.5217415579385214
sub-068,sub-083,0.522740232826604
sub-068,sub-085,0.6164102692329331
sub-068,sub-087,0.6119946706915989
sub-068,sub-088,0.5387627574721108
sub-068,sub-093,0.727201505824897
sub-068,sub-094,0.46991283438533216
sub-068,sub-095,0.6648192636460137
sub-068,sub-096,0.4544117757953714
sub-068,sub-097,0.6663744705146208
sub-068,sub-107,0.6184471608446426
sub-071,sub-083,0.4363056061294034
sub-071,sub-085,0.4779486942062032
sub-071,sub-087,0.4792411517466831
sub-071,sub-088,0.457550063299675
sub-071,sub-093,0.5584006498488199
sub-071,sub-094,0.4022784255495241
sub-071,sub-095,0.5182202035494995
sub-071,sub-096,0.3967388380521062
sub-071,sub-097,0.4991399924487142
sub-071,sub-107,0.501465271743015
sub-083,sub-085,0.5083238540289605
sub-083,sub-087,0.5121728951472377
sub-083,sub-088,0.4717693733649798
sub-083,sub-093,0.5603671155634204
sub-083,sub-094,0.41756527636486945
sub-083,sub-095,0.5240301760268231
sub-083,sub-096,0.4082981332606622
sub-083,sub-097,0.5163984965287092
sub-083,sub-107,0.5192657937537006
sub-085,sub-087,0.579567093101798
sub-085,sub-088,0.5048284036256715
sub-085,sub-093,0.6677876202974629
sub-085,sub-094,0.4452550464863054
sub-085,sub-095,0.6190018148820327
sub-085,sub-096,0.4379293816903659
sub-085,sub-097,0.6160372426186295
sub-085,sub-107,0.5870533028516424
sub-087,sub-088,0.5241762508434452
sub-087,sub-093,0.6714445347695939
sub-087,sub-094,0.4465612244474249
sub-087,sub-095,0.6190947160202858
sub-087,sub-096,0.4291151324154088
sub-087,sub-097,0.6040389963479809
sub-087,sub-107,0.589895864800178
sub-088,sub-093,0.5664391786652716
sub-088,sub-094,0.43945991367785797
sub-088,sub-095,0.5242043628928396
sub-088,sub-096,0.4079132895304782
sub-088,sub-097,0.5261938659781376
sub-088,sub-107,0.5289701479263629
sub-093,sub-094,0.4788540070646913
sub-093,sub-095,0.7690604615224594
sub-093,sub-096,0.47640144549184016
sub-093,sub-097,0.7315957444098896
sub-093,sub-107,0.6806466339053143
sub-094,sub-095,0.44247039528347554
sub-094,sub-096,0.3819707045681749
sub-094,sub-097,0.4584596040401607
sub-094,sub-107,0.45352675115113483
sub-095,sub-096,0.4558424799547623
sub-095,sub-097,0.674074633588192
sub-095,sub-107,0.6252112801352193
sub-096,sub-097,0.459185099831882
sub-096,sub-107,0.4383242252691515
sub-097,sub-107,0.6123926158338164
