Analysis,Group,N,Mean,Std,CI_Lower,CI_Upper
fc,"Within-subject, between-ROI",18,0.914417284581077,0.0523332838622262,0.888392554778502,0.9404420143836519
fc,"Between-subject, within-pIPS",18,0.8299650460904495,0.03319686629566429,0.8134566328612836,0.8464734593196155
fc,"Between-subject, within-LO",18,0.7885434056820686,0.049170922757481014,0.7640912810595131,0.8129955303046241
