Analysis,Group,N,Mean,Std,CI_Lower,CI_Upper
ppi,"Within-subject, between-ROI",18,0.8123843994492688,0.08127666128740846,0.7719664666700312,0.8528023322285063
ppi,"Between-subject, within-pIPS",18,0.5251888772637264,0.06671744736064214,0.4920110712378469,0.558366683289606
ppi,"Between-subject, within-LO",18,0.5346557281074448,0.05957763382029665,0.505028467824451,0.5642829883904386
