Subject,Dice
sub-025,0.7674455995593915
sub-038,0.899425918673404
sub-057,0.9702415817218755
sub-059,0.9560665247389702
sub-064,0.87882524063566
sub-067,0.9832330632510148
sub-068,0.9223561901609068
sub-071,0.9687855576529878
sub-083,0.9506661882324058
sub-084,0.9378697615445705
sub-085,0.8597204693123919
sub-087,0.9085664496506638
sub-088,0.9604717255577685
sub-093,0.9522793362048232
sub-094,0.8893559809880891
sub-095,0.9449348008559235
sub-096,0.9090432734333489
sub-097,0.868616087341087
sub-107,0.8694771344886736
