Comparison_Type,Category,Dice
pIPS_across_subjects,Within_ROI,0.8444688455893063
pIPS_across_subjects,Within_ROI,0.8078445032743486
pIPS_across_subjects,Within_ROI,0.8769392015383682
pIPS_across_subjects,Within_ROI,0.8882311107694082
pIPS_across_subjects,Within_ROI,0.8751913055058871
pIPS_across_subjects,Within_ROI,0.8387146409733646
pIPS_across_subjects,Within_ROI,0.8260717651656208
pIPS_across_subjects,Within_ROI,0.8210023111488647
pIPS_across_subjects,Within_ROI,0.8750296770483698
pIPS_across_subjects,Within_ROI,0.8497954386304634
pIPS_across_subjects,Within_ROI,0.878078226271937
pIPS_across_subjects,Within_ROI,0.8403449200656384
pIPS_across_subjects,Within_ROI,0.7979008438569991
pIPS_across_subjects,Within_ROI,0.8687657646384752
pIPS_across_subjects,Within_ROI,0.8810867908845328
pIPS_across_subjects,Within_ROI,0.8755052260180886
pIPS_across_subjects,Within_ROI,0.8377540902330194
pIPS_across_subjects,Within_ROI,0.8220098840639876
pIPS_across_subjects,Within_ROI,0.8228187488828492
pIPS_across_subjects,Within_ROI,0.868336093629237
pIPS_across_subjects,Within_ROI,0.8459466302322239
pIPS_across_subjects,Within_ROI,0.8246887404737505
pIPS_across_subjects,Within_ROI,0.7998874920510688
pIPS_across_subjects,Within_ROI,0.8446371594534893
pIPS_across_subjects,Within_ROI,0.8532418927484361
pIPS_across_subjects,Within_ROI,0.8409886379524935
pIPS_across_subjects,Within_ROI,0.8185143667697199
pIPS_across_subjects,Within_ROI,0.8078399109540978
pIPS_across_subjects,Within_ROI,0.7979433421165804
pIPS_across_subjects,Within_ROI,0.8426359726442727
pIPS_across_subjects,Within_ROI,0.8376385633165853
pIPS_across_subjects,Within_ROI,0.8000754801709291
pIPS_across_subjects,Within_ROI,0.8618895071595145
pIPS_across_subjects,Within_ROI,0.8726034242432212
pIPS_across_subjects,Within_ROI,0.8663393637769857
pIPS_across_subjects,Within_ROI,0.8341721632508768
pIPS_across_subjects,Within_ROI,0.8190364082890728
pIPS_across_subjects,Within_ROI,0.8125989736921541
pIPS_across_subjects,Within_ROI,0.8587562787660296
pIPS_across_subjects,Within_ROI,0.78044104021249
pIPS_across_subjects,Within_ROI,0.8314930498998607
pIPS_across_subjects,Within_ROI,0.8493855516471195
pIPS_across_subjects,Within_ROI,0.8291533801389358
pIPS_across_subjects,Within_ROI,0.8248997682892827
pIPS_across_subjects,Within_ROI,0.8130665917117822
pIPS_across_subjects,Within_ROI,0.7942995906340133
pIPS_across_subjects,Within_ROI,0.8280941982484408
pIPS_across_subjects,Within_ROI,0.8060666051186386
pIPS_across_subjects,Within_ROI,0.8087213485094547
pIPS_across_subjects,Within_ROI,0.7960827529248506
pIPS_across_subjects,Within_ROI,0.7758827804430947
pIPS_across_subjects,Within_ROI,0.7616934766587888
pIPS_across_subjects,Within_ROI,0.7609949216812052
pIPS_across_subjects,Within_ROI,0.8018841492472263
pIPS_across_subjects,Within_ROI,0.8660707460945946
pIPS_across_subjects,Within_ROI,0.8581882350313278
pIPS_across_subjects,Within_ROI,0.8245211189608391
pIPS_across_subjects,Within_ROI,0.8121682780836305
pIPS_across_subjects,Within_ROI,0.8122002845345084
