Subject,Analysis,Dice
sub-025,ppi,0.707160125142207
sub-038,ppi,0.7987782352888176
sub-057,ppi,0.9275380627163028
sub-059,ppi,0.8801469250560932
sub-064,ppi,0.6038172913989908
sub-067,ppi,0.765159018894496
sub-068,ppi,0.8257466467796315
sub-071,ppi,0.8304740087813218
sub-083,ppi,0.7644725911766544
sub-085,ppi,0.8298403662580723
sub-087,ppi,0.867005935497964
sub-088,ppi,0.8273083740667132
sub-093,ppi,0.9516660849758445
sub-094,ppi,0.732464683738811
sub-095,ppi,0.8933959666229089
sub-096,ppi,0.757659004104097
sub-097,ppi,0.8599669967902869
sub-107,ppi,0.8003188727976227
