ROI,fc,ppi,Difference
LO,0.7885434056820685,0.5346557281074448,-0.2538876775746237
pIPS,0.8299650460904495,0.5251888772637264,-0.3047761688267231
pIPS vs LO,0.914417284581077,0.8123843994492688,-0.1020328851318082
