ROI,Analysis,Mean Dice,Std Dev,95% CI Lower,95% CI Upper,N
pIPS vs LO,fc,0.914417284581077,0.05385050482939851,0.776910845990795,0.800175965373342,18
pIPS,fc,0.8299650460904495,0.04915748450243339,0.8221133478435214,0.8378167443373776,153
LO,fc,0.7885434056820685,0.07282849579339506,0.776910845990795,0.800175965373342,153
pIPS vs LO,ppi,0.8123843994492688,0.08363299449538483,0.5202159953575194,0.5490954608573702,18
pIPS,ppi,0.5251888772637264,0.10129691502098272,0.5090091882877761,0.5413685662396768,153
LO,ppi,0.5346557281074448,0.09040349190080654,0.5202159953575194,0.5490954608573702,153
