ROI,Analysis,Mean Dice,Std Dev,95% CI Lower,95% CI Upper,N
pIPS,fc,0.8299650460904497,0.04915748450243339,0.8221133478435216,0.8378167443373779,153
LO,fc,0.7885434056820686,0.07282849579339509,0.7769108459907951,0.8001759653733421,153
