ROI,Analysis,Mean Dice,Std Dev,95% CI Lower,95% CI Upper,N
pIPS,ppi,0.5251888772637264,0.10129691502098272,0.5090091882877761,0.5413685662396768,153
LO,ppi,0.5346557281074448,0.09040349190080654,0.5202159953575194,0.5490954608573702,153
