ROI,Dice
LO,0.6308477356255505
LO,0.6488513624650474
LO,0.6414528575179786
LO,0.6334987118145012
LO,0.6409787585856016
LO,0.6345242878891637
LO,0.6271575659899961
LO,0.6351788269798175
LO,0.6347168227730794
LO,0.6260992039191672
LO,0.6267277181674069
LO,0.6316963523587321
LO,0.6387589485379952
LO,0.6336268526327563
LO,0.6380296042972866
LO,0.6249341429458632
LO,0.5845956507078014
LO,0.61479774249878
LO,0.8238092820851235
LO,0.8042669441914921
LO,0.79889476507634
LO,0.8275970313235723
LO,0.8022227488151659
LO,0.8029625613207657
LO,0.7902531992866522
LO,0.8003429215360554
LO,0.7784187807112096
LO,0.7475088920386168
LO,0.8038059960864038
LO,0.8122248708499266
LO,0.7880739158845046
LO,0.7927816613621285
LO,0.784998714385415
LO,0.719326327135543
LO,0.7617736607674777
LO,0.8795749833636969
LO,0.854230276099678
LO,0.9128047514225194
LO,0.8728794667249481
LO,0.8888035337046284
LO,0.8524357431619367
LO,0.8641914036476148
LO,0.8227335617646786
LO,0.7696053531308
LO,0.8753709198813057
LO,0.8861332828622335
LO,0.8482701384211119
LO,0.8751134989569169
LO,0.8554610679972517
LO,0.7517029386450265
LO,0.8245649529895747
LO,0.829059513366268
LO,0.8875228005801274
LO,0.8487160497694326
LO,0.8650748430923072
LO,0.8343995364267459
LO,0.8362457264419036
LO,0.8040794468707977
LO,0.7556979574850015
LO,0.8483938743637854
LO,0.8617066761679953
LO,0.8208630245447348
LO,0.8574422196368189
LO,0.8373712803422985
LO,0.7361561050497297
LO,0.8045741317399535
LO,0.8542699694337018
LO,0.8310040587888389
LO,0.831929321784844
LO,0.8089371755639484
LO,0.8238710793057461
LO,0.802620257440047
LO,0.7558082352175893
LO,0.8302479388759701
LO,0.8315175115186162
LO,0.809624666318548
LO,0.8135678285892526
LO,0.7950998185117968
LO,0.7235900863707257
LO,0.7854298812417254
LO,0.8949092409591914
LO,0.9061360996094694
LO,0.858550887234257
LO,0.8710986253593157
LO,0.8228121616744858
LO,0.7719462845553882
LO,0.8839050019221734
LO,0.8934644743946725
LO,0.8471377853445137
LO,0.8787052238323616
LO,0.8659068456181779
LO,0.7574741321324473
LO,0.8304613347732864
LO,0.8560291485723261
LO,0.8281109785092466
LO,0.8449320046247867
LO,0.8014641009132747
LO,0.7593886748089609
LO,0.850019134232267
LO,0.8629122748312977
LO,0.8227667304872953
LO,0.8358703357022119
LO,0.8235438279297421
LO,0.7331451008966341
LO,0.8015154664048522
LO,0.8346472863352691
LO,0.8486526251457157
LO,0.8055206082169489
LO,0.7432883040110506
LO,0.8560751650177848
LO,0.8655900719589209
LO,0.8286902499906859
LO,0.8586828092595706
LO,0.8412295788719736
LO,0.7374834529540373
LO,0.8053711512638696
LO,0.8193533714892165
LO,0.7885134102261913
LO,0.7543546481673268
LO,0.8259712019626155
LO,0.8356444667438451
LO,0.8023494444837591
LO,0.8264879165415792
LO,0.8116311670571266
LO,0.714228042949417
LO,0.7798277314349373
LO,0.7979937720897718
LO,0.7514761165629302
LO,0.8349670265861111
LO,0.8462780031550279
LO,0.8122291871804983
LO,0.8304288359369911
LO,0.8191305706917498
LO,0.7251046720621694
LO,0.7902775158984556
LO,0.7314301104228387
LO,0.7967152480332691
LO,0.811010489004458
LO,0.7871128057923825
LO,0.7894988944422134
LO,0.782959320738906
LO,0.725122805113035
LO,0.765130885509314
LO,0.7587792810985461
LO,0.7610699516497795
LO,0.7470047641493104
LO,0.7525925699215981
LO,0.7338724570881595
LO,0.671196419210452
LO,0.7207776611334055
LO,0.8508678186800015
LO,0.8186369489893445
LO,0.836212365309224
LO,0.825072283700461
LO,0.7320519665420894
LO,0.7969214597867484
LO,0.8326810773733738
LO,0.856886388662155
LO,0.8427756304067734
LO,0.7428247876690783
LO,0.8046043124429572
LO,0.8125408605317797
LO,0.7989598680808297
LO,0.7303794377527282
LO,0.7825645635333448
LO,0.8397836428559706
LO,0.7202223752222211
LO,0.785384852149593
LO,0.731893685095946
LO,0.7791852477394057
LO,0.7055915282676624
