Comparison,Hemisphere,Mean Dice,Std Dev,95% CI Lower,95% CI Upper,N
pIPS vs LO,left,0.9105003636275946,0.044521074515911224,0.889041892596901,0.9319588346582881,19
pIPS vs LO,right,0.8986365394531878,0.06699172600193654,0.8663475610909303,0.9309255178154453,19
