ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,p_value_corrected,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
61,7Networks_LH_Cont_Par_2,Cont_Par,-0.1633237986857429,-4.948356130620941,1.130165672591586e-06,True,-0.1633237986857429,0.001699878376069675,-0.1633237986857429,-0.22647651840553412,-0.10441055575920347,,Frontal,L,Cont_Par,Frontal,"(0, 'Cont_Par', 0)"
166,7Networks_RH_Cont_Par_3,Cont_Par,-0.3706719566870614,-6.667667812233191,8.099557278532386e-11,True,-0.37067195668706143,0.0026966296831283376,-0.3706719566870614,-0.4761196241877152,-0.269185201965323,,Frontal,R,Cont_Par,Frontal,"(0, 'Cont_Par', 1)"
165,7Networks_RH_Cont_Par_2,Cont_Par,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,R,Cont_Par,Frontal,"(0, 'Cont_Par', 1)"
164,7Networks_RH_Cont_Par_1,Cont_Par,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,R,Cont_Par,Frontal,"(0, 'Cont_Par', 1)"
63,7Networks_LH_Cont_Temp_1,Cont_Temp,0.007225831036352829,1.731902210364152,0.08373467788085763,False,0.007225831036352829,0.00015826031774172106,0.007225831036352829,0.0,0.016765076564892373,,Frontal,L,Cont_Temp,Frontal,"(0, 'Cont_Temp', 0)"
167,7Networks_RH_Cont_Temp_1,Cont_Temp,0.13660810420030572,5.703083029850299,1.692724362928442e-08,True,0.13660810420030567,0.0008746537012453713,0.13660810420030572,0.0925219868556833,0.1899694779592067,,Frontal,R,Cont_Temp,Frontal,"(0, 'Cont_Temp', 1)"
70,7Networks_LH_Cont_pCun_1,Cont_pCun,-0.02360071935116656,-2.010637469517795,0.04532578587491212,True,-0.02360071935116656,0.0007027314125292485,-0.02360071935116656,-0.047326561229177576,-0.005760292736891259,,Frontal,L,Cont_pCun,Frontal,"(0, 'Cont_pCun', 0)"
176,7Networks_RH_Cont_pCun_1,Cont_pCun,0.004951566284449313,0.9999999999999998,0.31806607532074294,False,0.0049515662844493115,0.0002768009701781181,0.004951566284449313,0.0,0.01485469885334794,,Frontal,R,Cont_pCun,Frontal,"(0, 'Cont_pCun', 1)"
94,7Networks_LH_Default_PFC_13,Default_PFC,-0.5413275071945793,-11.95494339359118,4.734631731577568e-30,True,-0.5413275071945793,0.0017300843842627755,-0.5413275071945793,-0.6336428535787497,-0.4581295445726397,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
93,7Networks_LH_Default_PFC_12,Default_PFC,-0.14715121846692647,-6.367085661251272,3.132287224703198e-10,True,-0.1471512184669265,0.0007880866017821467,-0.14715121846692647,-0.19477793730402476,-0.10413850672900236,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
