Subject1,Subject2,Dice
sub-025,sub-038,0.7191731187306915
sub-025,sub-057,0.8066479400749064
sub-025,sub-059,0.7833892148644873
sub-025,sub-064,0.758720822009605
sub-025,sub-067,0.7252904783461597
sub-025,sub-068,0.7509078781590455
sub-025,sub-071,0.5833936324167872
sub-025,sub-083,0.7661814109742441
sub-025,sub-085,0.773776087033811
sub-025,sub-087,0.7660472347671577
sub-025,sub-088,0.7578931447801263
sub-025,sub-093,0.8139902516137532
sub-025,sub-094,0.6769562691892789
sub-025,sub-095,0.7737656595431098
sub-025,sub-096,0.6601749321383946
sub-025,sub-097,0.7645375867248408
sub-025,sub-107,0.7744931234935488
sub-038,sub-057,0.8552415854952261
sub-038,sub-059,0.8192391486509134
sub-038,sub-064,0.7796465222348917
sub-038,sub-067,0.7738443217494858
sub-038,sub-068,0.7827876121891518
sub-038,sub-071,0.6207162770748446
sub-038,sub-083,0.7780516557710856
sub-038,sub-085,0.8141152403682237
sub-038,sub-087,0.7796009497820463
sub-038,sub-088,0.7647016274864377
sub-038,sub-093,0.8595685367630753
sub-038,sub-094,0.7152736613317526
sub-038,sub-095,0.8243097643097643
sub-038,sub-096,0.6875307225954449
sub-038,sub-097,0.8061032058974799
sub-038,sub-107,0.8087030426653068
sub-057,sub-059,0.9264319809069212
sub-057,sub-064,0.8753031591546191
sub-057,sub-067,0.8603006752452542
sub-057,sub-068,0.8750705904498964
sub-057,sub-071,0.6788888888888889
sub-057,sub-083,0.869688742976198
sub-057,sub-085,0.9130395274875057
sub-057,sub-087,0.8740517835872359
sub-057,sub-088,0.8528482527525132
sub-057,sub-093,0.9758311585158289
sub-057,sub-094,0.7713004484304933
sub-057,sub-095,0.9231690879137338
sub-057,sub-096,0.7369470050183293
sub-057,sub-097,0.9108066971080669
sub-057,sub-107,0.9117824773413897
sub-059,sub-064,0.8437182137349477
sub-059,sub-067,0.831363696720223
sub-059,sub-068,0.8478530814979414
sub-059,sub-071,0.6773942786069652
sub-059,sub-083,0.839242254818128
sub-059,sub-085,0.8777368238666793
sub-059,sub-087,0.8516487104146262
sub-059,sub-088,0.8255995742274557
sub-059,sub-093,0.938846380223661
sub-059,sub-094,0.750054116458619
sub-059,sub-095,0.888549808488774
sub-059,sub-096,0.7197017707362535
sub-059,sub-097,0.8709861295838875
sub-059,sub-107,0.8816136734950358
sub-064,sub-067,0.79857510669065
sub-064,sub-068,0.8051056154833339
sub-064,sub-071,0.6317151563217431
sub-064,sub-083,0.7850532565042779
sub-064,sub-085,0.8447884692379555
sub-064,sub-087,0.8003742333414187
sub-064,sub-088,0.8048918422168811
sub-064,sub-093,0.8806234282343445
sub-064,sub-094,0.7540756156781131
sub-064,sub-095,0.8421330169402149
sub-064,sub-096,0.693382294244432
sub-064,sub-097,0.8297379810111719
sub-064,sub-107,0.8282263698971953
sub-067,sub-068,0.7915583959547721
sub-067,sub-071,0.6281986104050161
sub-067,sub-083,0.7880630789901705
sub-067,sub-085,0.8335865491745164
sub-067,sub-087,0.7895881568792535
sub-067,sub-088,0.7784816922581338
sub-067,sub-093,0.8700401808136615
sub-067,sub-094,0.7099320153160897
sub-067,sub-095,0.8305712094434626
sub-067,sub-096,0.6586777863244403
sub-067,sub-097,0.8051877503904393
sub-067,sub-107,0.8224481551306222
sub-068,sub-071,0.6393156714558591
sub-068,sub-083,0.801182197496523
sub-068,sub-085,0.8327075788284547
sub-068,sub-087,0.8178995307756003
sub-068,sub-088,0.7979026638983707
sub-068,sub-093,0.8868683119935672
sub-068,sub-094,0.7156336299478367
sub-068,sub-095,0.8394656513604885
sub-068,sub-096,0.6729417371619206
sub-068,sub-097,0.8256715221167981
sub-068,sub-107,0.8329467894771718
sub-071,sub-083,0.6299924642049737
sub-071,sub-085,0.6435396265313404
sub-071,sub-087,0.6296972210700954
sub-071,sub-088,0.640699995752453
sub-071,sub-093,0.6916970138383103
sub-071,sub-094,0.5750542504009812
sub-071,sub-095,0.6559606142304536
sub-071,sub-096,0.5799556759418862
sub-071,sub-097,0.6291803017000559
sub-071,sub-107,0.6631104788999526
sub-083,sub-085,0.8230493963412595
sub-083,sub-087,0.8124218424343477
sub-083,sub-088,0.7954360228198859
sub-083,sub-093,0.8781504760719397
sub-083,sub-094,0.708223836759932
sub-083,sub-095,0.832810280466453
sub-083,sub-096,0.6958331665532562
sub-083,sub-097,0.8184691955878397
sub-083,sub-107,0.8405922763956513
sub-085,sub-087,0.837311203319502
sub-085,sub-088,0.8045875905000338
sub-085,sub-093,0.9223599701269605
sub-085,sub-094,0.7535369125050527
sub-085,sub-095,0.8799670969374842
sub-085,sub-096,0.7094984802431611
sub-085,sub-097,0.8682779261738487
sub-085,sub-107,0.8633272675031127
sub-087,sub-088,0.8002109333802074
sub-087,sub-093,0.8880168098386997
sub-087,sub-094,0.7288888888888889
sub-087,sub-095,0.8367273323495655
sub-087,sub-096,0.6934581663823541
sub-087,sub-097,0.8259679572763685
sub-087,sub-107,0.8416418404501821
sub-088,sub-093,0.8676206950778425
sub-088,sub-094,0.7256491599107038
sub-088,sub-095,0.8174284950547982
sub-088,sub-096,0.6663149350649351
sub-088,sub-097,0.7965161773211309
sub-088,sub-107,0.8252875889754748
sub-093,sub-094,0.7783361629881155
sub-093,sub-095,0.9342000295464619
sub-093,sub-096,0.7406940504955002
sub-093,sub-097,0.9164815370759531
sub-093,sub-107,0.9256853396901072
sub-094,sub-095,0.7506072580937534
sub-094,sub-096,0.6492935635792778
