Subject1,Subject2,Dice
sub-025,sub-038,0.9255166844095297
sub-025,sub-057,0.9369405140051978
sub-025,sub-059,0.9327528344671202
sub-025,sub-064,0.9199093939338133
sub-025,sub-067,0.9358397890821099
sub-025,sub-068,0.924490655146534
sub-025,sub-071,0.9011108405297567
sub-025,sub-083,0.9262287551676619
sub-025,sub-085,0.9087218073119401
sub-025,sub-087,0.9167933553339019
sub-025,sub-088,0.9249123579832241
sub-025,sub-093,0.9360202421832641
sub-025,sub-094,0.9189258829808772
sub-025,sub-095,0.9361079499268412
sub-025,sub-096,0.924297520661157
sub-025,sub-097,0.8534036604469473
sub-025,sub-107,0.9118825348910876
sub-038,sub-057,0.9779365850274058
sub-038,sub-059,0.9740452160574526
sub-038,sub-064,0.9605446989123707
sub-038,sub-067,0.9770396209715208
sub-038,sub-068,0.9647811791183866
sub-038,sub-071,0.9433548456684704
sub-038,sub-083,0.9609839594840213
sub-038,sub-085,0.95092693565976
sub-038,sub-087,0.9557865508525862
sub-038,sub-088,0.962610397165371
sub-038,sub-093,0.9778719560912912
sub-038,sub-094,0.9614154161585097
sub-038,sub-095,0.9772060482960957
sub-038,sub-096,0.9628884890817371
sub-038,sub-097,0.8927954437588989
sub-038,sub-107,0.9500456081987444
sub-057,sub-059,0.9888669697229608
sub-057,sub-064,0.9779192984287728
sub-057,sub-067,0.9931849625087537
sub-057,sub-068,0.9806052007820204
sub-057,sub-071,0.9578271709723623
sub-057,sub-083,0.9766820036461499
sub-057,sub-085,0.9638956790883351
sub-057,sub-087,0.967885410100161
sub-057,sub-088,0.9778155516625328
sub-057,sub-093,0.9925128205128205
sub-057,sub-094,0.9754969305949255
sub-057,sub-095,0.9928411556664217
sub-057,sub-096,0.9772301284276292
sub-057,sub-097,0.9022592862073469
sub-057,sub-107,0.9630346429262628
sub-059,sub-064,0.9705882352941176
sub-059,sub-067,0.9883633118220514
sub-059,sub-068,0.9775714583767995
sub-059,sub-071,0.9540785498489426
sub-059,sub-083,0.9718034617532105
sub-059,sub-085,0.96090491339696
sub-059,sub-087,0.9639067311922569
sub-059,sub-088,0.9733310092382779
sub-059,sub-093,0.9877183640517375
sub-059,sub-094,0.971024117441454
sub-059,sub-095,0.9881193558355938
sub-059,sub-096,0.972426182046497
