ROI_ID,ROI_Name,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction,Condition,Analysis_Type
57,7Networks_LH_Limbic_TempPole_1,0.024974747496243153,0.020613794046868052,0.0043609534493751,0.0043609534493751,-0.0027862488693143742,0.01222432111034221,0.5555555555555556,False,False,False,pIPS > LO,nontools,fc
58,7Networks_LH_Limbic_TempPole_2,0.029985473057927772,0.029199532757047564,0.0007859403008802085,0.0007859403008802085,-0.007296696794542688,0.009356674397066752,0.1111111111111111,False,False,False,pIPS > LO,nontools,fc
59,7Networks_LH_Limbic_TempPole_3,0.03247350455623948,0.023415098199620843,0.009058406356618635,0.009058406356618635,0.001259078846325994,0.018246579378157747,0.6666666666666666,True,False,False,pIPS > LO,nontools,fc
60,7Networks_LH_Limbic_TempPole_4,0.024126559075537242,0.014549435860115208,0.009577123215422034,0.009577123215422034,0.004183464029726262,0.01503479656999439,0.7222222222222222,True,False,False,pIPS > LO,nontools,fc
61,7Networks_LH_Cont_Par_1,0.13201081111199325,0.1048925783381694,0.027118232773823858,0.027118232773823858,0.009609640746687848,0.04328200923628174,0.7777777777777778,True,True,True,pIPS > LO,nontools,fc
62,7Networks_LH_Cont_Par_2,0.19894355742467773,0.15383636806574133,0.0451071893589364,0.0451071893589364,0.01727880643577213,0.07234154417593446,0.7777777777777778,True,True,True,pIPS > LO,nontools,fc
63,7Networks_LH_Cont_Par_3,0.20652639865875244,0.15089237514055437,0.05563402351819807,0.05563402351819807,0.031194148931859254,0.0799290606752038,0.8888888888888888,True,True,True,pIPS > LO,nontools,fc
64,7Networks_LH_Cont_Temp_1,0.1088144223516186,0.08246508116523425,0.02634934118638435,0.02634934118638435,0.013459814417486383,0.039271544546095855,0.7777777777777778,True,True,True,pIPS > LO,nontools,fc
65,7Networks_LH_Cont_OFC_1,0.062126774289127856,0.062081938350780144,4.4835938347712045e-05,4.4835938347712045e-05,-0.012186955641179033,0.011507814354263237,0.0,False,False,False,pIPS > LO,nontools,fc
66,7Networks_LH_Cont_PFCl_1,0.056597008732044034,0.04450665952430831,0.012090349207735725,0.012090349207735725,0.001873871134335388,0.022439400620189384,0.7222222222222222,True,False,False,pIPS > LO,nontools,fc
67,7Networks_LH_Cont_PFCl_2,0.06594000285905269,0.05056981462985277,0.015370188229199916,0.015370188229199916,0.0020480243799587093,0.028563577670138313,0.7222222222222222,True,False,False,pIPS > LO,nontools,fc
68,7Networks_LH_Cont_PFCl_3,0.09212480529418422,0.06921692709309152,0.022907878201092705,0.022907878201092705,0.009927884099468215,0.03597413733110039,0.8888888888888888,True,True,True,pIPS > LO,nontools,fc
69,7Networks_LH_Cont_PFCl_4,0.1299158087414172,0.11961991769365138,0.01029589104776582,0.01029589104776582,-0.008866670148240188,0.03118345340092976,0.6111111111111112,False,False,False,pIPS > LO,nontools,fc
70,7Networks_LH_Cont_PFCl_5,0.15086766104731295,0.14621481470142803,0.00465284634588492,0.00465284634588492,-0.011854892648342589,0.02109749874281179,0.5,False,False,False,pIPS > LO,nontools,fc
