ROI_ID,ROI_Name,pIPS_tools,LO_tools,Difference
1,7Networks_LH_Vis_1,0.17280341415769523,0.19370144481460252,-0.02089803065690729
2,7Networks_LH_Vis_2,0.20802145741052097,0.2772715720865462,-0.06925011467602521
3,7Networks_LH_Vis_3,0.12400468438863754,0.21154585894611147,-0.08754117455747393
4,7Networks_LH_Vis_4,0.15694593431221115,0.0490104597605144,0.10793547455169675
5,7Networks_LH_Vis_5,0.10180228118163843,0.18081571058266693,-0.0790134294010285
6,7Networks_LH_Vis_6,0.12393882436056931,0.05590583228816589,0.06803299207240343
7,7Networks_LH_Vis_7,0.13056075873060358,0.11712783740626441,0.013432921324339167
8,7Networks_LH_Vis_8,0.20187631332212025,0.23933298844430181,-0.037456675122181565
9,7Networks_LH_Vis_9,0.16465128544304106,0.31531530453099144,-0.15066401908795038
10,7Networks_LH_Vis_10,0.19715573473109138,0.07878679947720633,0.11836893525388505
11,7Networks_LH_Vis_11,0.20453951135277748,0.35387635810507667,-0.1493368467522992
12,7Networks_LH_Vis_12,0.2022021036181185,0.08919191313907504,0.11301019047904345
13,7Networks_LH_Vis_13,0.16134056257497933,0.026352248878942594,0.13498831369603675
14,7Networks_LH_Vis_14,0.18314277877410254,0.16248417438732254,0.020658604386779994
15,7Networks_LH_SomMot_1,0.0854868855741289,0.06407811924711698,0.021408766327011913
16,7Networks_LH_SomMot_2,0.1259434697114759,0.09415149431313491,0.031791975398341
17,7Networks_LH_SomMot_3,0.10699129766888088,0.08513846455348863,0.021852833115392253
18,7Networks_LH_SomMot_4,0.10682560876011848,0.07305208365950319,0.03377352510061529
19,7Networks_LH_SomMot_5,0.1275960196637445,0.09811069767197801,0.029485321991766497
20,7Networks_LH_SomMot_6,0.1147181335836649,0.10981933234466447,0.004898801239000425
21,7Networks_LH_SomMot_7,0.15261353966262606,0.13376515524254906,0.018848384420076997
22,7Networks_LH_SomMot_8,0.11982670281496313,0.09705322235822678,0.022773480456736356
23,7Networks_LH_SomMot_9,0.1478981479174561,0.15167798619303438,-0.00377983827557829
24,7Networks_LH_SomMot_10,0.1668980891505877,0.14683860229949156,0.020059486851096153
25,7Networks_LH_SomMot_11,0.2084309317999416,0.23984235442346996,-0.03141142262352836
26,7Networks_LH_SomMot_12,0.1605186147822274,0.13875518956532082,0.02176342521690658
27,7Networks_LH_SomMot_13,0.17654038593173027,0.14672055778404078,0.029819828147689492
28,7Networks_LH_SomMot_14,0.12258218290905158,0.0942242621547646,0.02835792075428699
29,7Networks_LH_SomMot_15,0.17431406180063883,0.13930588670902783,0.035008175091611
30,7Networks_LH_SomMot_16,0.16593442422648272,0.12394229871117407,0.04199212551530865
31,7Networks_LH_DorsAttn_Post_1,0.16627190220687124,0.22713755899005467,-0.060865656783183425
32,7Networks_LH_DorsAttn_Post_2,0.1483355230755276,0.13656040674282444,0.011775116332703173
33,7Networks_LH_DorsAttn_Post_3,0.27731923965944183,0.2605734251750012,0.016745814484440624
34,7Networks_LH_DorsAttn_Post_4,0.14315275765127605,0.13964075895233286,0.0035119986989431973
35,7Networks_LH_DorsAttn_Post_5,0.18984978232118818,0.1961681784854995,-0.0063183961643113185
36,7Networks_LH_DorsAttn_Post_6,0.22032266192966038,0.22587395169668728,-0.005551289767026901
37,7Networks_LH_DorsAttn_Post_7,0.10508983383058673,0.08001220215939814,0.025077631671188594
38,7Networks_LH_DorsAttn_Post_8,0.22996733834346136,0.2677331732379066,-0.03776583489444521
39,7Networks_LH_DorsAttn_Post_9,0.18543759629958206,0.08928294241842297,0.0961546538811591
40,7Networks_LH_DorsAttn_Post_10,0.1906795021560457,0.16109065970198977,0.029588842454055936
41,7Networks_LH_DorsAttn_FEF_1,0.15612686632408035,0.1570174569884936,-0.0008905906644132433
42,7Networks_LH_DorsAttn_FEF_2,0.12288004066795111,0.08517694100737572,0.03770309966057539
43,7Networks_LH_DorsAttn_PrCv_1,0.11830715214212735,0.12377907946291897,-0.005471927320791617
44,7Networks_LH_SalVentAttn_ParOper_1,0.132766535712613,0.10635448805987835,0.026412047652734638
45,7Networks_LH_SalVentAttn_ParOper_2,0.10398191668921047,0.0830013864259753,0.02098053026323518
46,7Networks_LH_SalVentAttn_ParOper_3,0.09783536066404647,0.07503116777580646,0.02280419288824001
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.06331228842544886,0.04880849502256347,0.014503793402885393
48,7Networks_LH_SalVentAttn_FrOperIns_2,0.07729088763395946,0.06948382776722105,0.007807059866738408
49,7Networks_LH_SalVentAttn_FrOperIns_3,0.08211018890142441,0.06590580775971627,0.016204381141708135
50,7Networks_LH_SalVentAttn_FrOperIns_4,0.0815726441020767,0.059845000220876604,0.02172764388120009
51,7Networks_LH_SalVentAttn_PFCl_1,0.048001459127085075,0.042669151443988085,0.00533230768309699
52,7Networks_LH_SalVentAttn_Med_1,0.10075634221235912,0.0919004785310891,0.008855863681270018
53,7Networks_LH_SalVentAttn_Med_2,0.14890401003261408,0.08835628783951203,0.060547722193102047
54,7Networks_LH_SalVentAttn_Med_3,0.13145329844620493,0.11745440401136875,0.013998894434836179
55,7Networks_LH_Limbic_OFC_1,0.04780439163247744,0.041025537738783494,0.006778853893693947
56,7Networks_LH_Limbic_OFC_2,0.03537420549481693,0.033245352976438075,0.0021288525183788543
57,7Networks_LH_Limbic_TempPole_1,0.023218698871561274,0.021882817388460454,0.0013358814831008203
58,7Networks_LH_Limbic_TempPole_2,0.02768999345264294,0.030334806949314144,-0.0026448134966712035
59,7Networks_LH_Limbic_TempPole_3,0.03012179384758282,0.025704968862959907,0.004416824984622914
60,7Networks_LH_Limbic_TempPole_4,0.022616695716149278,0.017086415422252484,0.005530280293896794
61,7Networks_LH_Cont_Par_1,0.12138463918947512,0.10386456031766203,0.01752007887181309
62,7Networks_LH_Cont_Par_2,0.18831252927581468,0.15500080792440307,0.03331172135141161
63,7Networks_LH_Cont_Par_3,0.1925791199836466,0.1532476228247914,0.0393314971588552
64,7Networks_LH_Cont_Temp_1,0.10208398238238361,0.08350745029747486,0.018576532084908753
65,7Networks_LH_Cont_OFC_1,0.055026157267598644,0.06263799477084023,-0.007611837503241584
66,7Networks_LH_Cont_PFCl_1,0.04403464961796999,0.044890868167082466,-0.0008562185491124766
67,7Networks_LH_Cont_PFCl_2,0.051940907465500966,0.05123089887719187,0.000710008588309094
68,7Networks_LH_Cont_PFCl_3,0.07690941500994894,0.06938860952828287,0.0075208054816660735
69,7Networks_LH_Cont_PFCl_4,0.11610788624319765,0.12145601482027107,-0.005348128577073424
70,7Networks_LH_Cont_PFCl_5,0.13732988387346268,0.14898647869833642,-0.011656594824873745
71,7Networks_LH_Cont_pCun_1,0.19121166898144615,0.06498685501153684,0.1262248139699093
72,7Networks_LH_Cont_Cing_1,0.11693581793871191,0.09128600959148672,0.02564980834722519
73,7Networks_LH_Cont_Cing_2,0.07195013890870744,0.07047943315572208,0.0014707057529853573
74,7Networks_LH_Default_Temp_1,0.03160837724701398,0.033149290157275066,-0.0015409129102610872
75,7Networks_LH_Default_Temp_2,0.05038056279429131,0.055421292781829834,-0.005040729987538524
76,7Networks_LH_Default_Temp_3,0.07182426160822312,0.06236700522195962,0.009457256386263505
77,7Networks_LH_Default_Temp_4,0.11297404108982947,0.10120202425039476,0.011772016839434712
78,7Networks_LH_Default_Temp_5,0.13671221232248676,0.10918443463742733,0.02752777768505943
79,7Networks_LH_Default_Par_1,0.15380138696895707,0.12399645015183422,0.029804936817122846
80,7Networks_LH_Default_Par_2,0.13284178874972793,0.09218853784518109,0.04065325090454684
81,7Networks_LH_Default_Par_3,0.08728302099431555,0.07215021467871136,0.015132806315604194
82,7Networks_LH_Default_Par_4,0.09365136334155169,0.06385665987100866,0.029794703470543027
83,7Networks_LH_Default_PFC_1,0.05315635249846511,0.054515516902837485,-0.001359164404372372
84,7Networks_LH_Default_PFC_2,0.04231264356834193,0.04259054801271608,-0.0002779044443741441
85,7Networks_LH_Default_PFC_3,0.05061293264023132,0.060317297310878835,-0.009704364670647517
86,7Networks_LH_Default_PFC_4,0.03165043090444265,0.02739981110466437,0.004250619799778282
87,7Networks_LH_Default_PFC_5,0.05518649549533924,0.058379741178618536,-0.0031932456832792985
88,7Networks_LH_Default_PFC_6,0.02565700862194515,0.03815980436694291,-0.012502795744997762
89,7Networks_LH_Default_PFC_7,0.024533940427419212,0.043267265169156924,-0.018733324741737712
90,7Networks_LH_Default_PFC_8,0.04523933601255218,0.04817091554610266,-0.0029315795335504782
91,7Networks_LH_Default_PFC_9,0.047601637016567916,0.07250238934324847,-0.024900752326680556
92,7Networks_LH_Default_PFC_10,0.08822772952003612,0.0997051592502329,-0.01147742973019679
93,7Networks_LH_Default_PFC_11,0.10765720510648356,0.10334278229210112,0.004314422814382449
94,7Networks_LH_Default_PFC_12,0.07398721454147664,0.05762347031850368,0.01636374422297296
95,7Networks_LH_Default_PFC_13,0.08749180561345485,0.09411220790611373,-0.006620402292658881
96,7Networks_LH_Default_pCunPCC_1,0.15054155844781134,0.06383784443864392,0.08670371400916742
97,7Networks_LH_Default_pCunPCC_2,0.11761453364872271,0.07505833559359114,0.04255619805513157
98,7Networks_LH_Default_pCunPCC_3,0.11334774943275584,0.08737268904224038,0.02597506039051546
99,7Networks_LH_Default_pCunPCC_4,0.13900383323844936,0.08401909175639351,0.05498474148205586
100,7Networks_LH_Default_PHC_1,0.09735036641359329,0.1047422795349525,-0.007391913121359214
101,7Networks_RH_Vis_1,0.11341892141434881,0.16628624457452032,-0.05286732316017151
102,7Networks_RH_Vis_2,0.12744307166172397,0.14090680848393175,-0.013463736822207778
103,7Networks_RH_Vis_3,0.20490097006162009,0.28696315818362766,-0.08206218812200758
104,7Networks_RH_Vis_4,0.15073639268262518,0.05388885312519657,0.09684753955742861
105,7Networks_RH_Vis_5,0.10238972875393099,0.16799545906380647,-0.06560573030987549
106,7Networks_RH_Vis_6,0.1239269103647934,0.14821488586150938,-0.024287975496715977
107,7Networks_RH_Vis_7,0.13801545820509395,0.0627844001347613,0.07523105807033265
108,7Networks_RH_Vis_8,0.13272187693251503,0.2662447082499663,-0.1335228313174513
109,7Networks_RH_Vis_9,0.2043660655617714,0.0660653197620478,0.1383007457997236
110,7Networks_RH_Vis_10,0.18050294307370982,0.09635561611503363,0.08414732695867619
111,7Networks_RH_Vis_11,0.20683668595221308,0.3863199121422238,-0.1794832261900107
112,7Networks_RH_Vis_12,0.15269752012358773,0.154962919652462,-0.002265399528874279
113,7Networks_RH_Vis_13,0.1940365806221962,0.06594509645623879,0.1280914841659574
114,7Networks_RH_Vis_14,0.10880455902467172,-0.0101631967506061,0.11896775577527782
115,7Networks_RH_Vis_15,0.19926202462779152,0.24136307794186804,-0.042101053314076514
116,7Networks_RH_SomMot_1,0.10984228965308931,0.07884576699386041,0.030996522659228906
117,7Networks_RH_SomMot_2,0.12541502279539904,0.0917368566410409,0.03367816615435813
118,7Networks_RH_SomMot_3,0.09265968286328846,0.06540989774900179,0.027249785114286676
119,7Networks_RH_SomMot_4,0.10254109029968579,0.0695201253466722,0.033020964953013585
120,7Networks_RH_SomMot_5,0.09840695580674542,0.0569818041080402,0.041425151698705226
121,7Networks_RH_SomMot_6,0.11013242850701015,0.06822108748989801,0.041911341017112136
122,7Networks_RH_SomMot_7,0.10561728746526772,0.09181002336036828,0.013807264104899436
123,7Networks_RH_SomMot_8,0.11686725459165043,0.07966285628370112,0.037204398307949305
124,7Networks_RH_SomMot_9,0.14437885416878593,0.1266962191503909,0.017682635018395038
125,7Networks_RH_SomMot_10,0.15240930765867233,0.12305697032974826,0.029352337328924075
126,7Networks_RH_SomMot_11,0.12503568176180124,0.09183010727994972,0.03320557448185152
127,7Networks_RH_SomMot_12,0.16438927894665134,0.14138118374264902,0.02300809520400232
128,7Networks_RH_SomMot_13,0.17660191530982652,0.15654673241078854,0.020055182899037988
129,7Networks_RH_SomMot_14,0.17728884311185944,0.14038939411855406,0.036899448993305384
130,7Networks_RH_SomMot_15,0.17474240685502687,0.12700397514789882,0.04773843170712805
131,7Networks_RH_SomMot_16,0.13046855500174892,0.09352560175789727,0.03694295324385165
132,7Networks_RH_SomMot_17,0.18721205782559183,0.1364730547906624,0.050739003034929425
133,7Networks_RH_SomMot_18,0.171178148024612,0.14122061534888214,0.02995753267572987
134,7Networks_RH_SomMot_19,0.17754010069701406,0.13180411402653489,0.04573598667047918
135,7Networks_RH_DorsAttn_Post_1,0.17030845334132513,0.20911415045460066,-0.03880569711327553
136,7Networks_RH_DorsAttn_Post_2,0.17138168898721537,0.1802219326297442,-0.008840243642528833
137,7Networks_RH_DorsAttn_Post_3,0.12259080054031478,0.086021539548205,0.036569260992109776
138,7Networks_RH_DorsAttn_Post_4,0.16080210896001923,0.12640997177610794,0.03439213718391129
139,7Networks_RH_DorsAttn_Post_5,0.17745383787486288,0.15009413484949619,0.027359703025366694
140,7Networks_RH_DorsAttn_Post_6,0.17381908454828793,0.10279213681092693,0.071026947737361
141,7Networks_RH_DorsAttn_Post_7,0.23541270486182636,0.2507326975464821,-0.015319992684655726
