ROI_ID,ROI_Name,pIPS_tools,LO_tools,Difference
1,7Networks_LH_Vis_1,-0.0012159446978990485,-0.004261668114655859,0.0030457234167568107
2,7Networks_LH_Vis_2,-0.005244194516616329,0.006744410711831161,-0.01198860522844749
3,7Networks_LH_Vis_3,0.003519588713701342,0.02122083901348119,-0.01770125029977985
4,7Networks_LH_Vis_4,-0.0016079456523006486,-0.01581255506109847,0.01420460940879782
5,7Networks_LH_Vis_5,-0.002944052452192774,0.015214216629455582,-0.018158269081648356
6,7Networks_LH_Vis_6,-0.0003547766240718648,-0.010704661261186363,0.010349884637114498
7,7Networks_LH_Vis_7,-0.0042689871895899905,-0.006468463679144201,0.0021994764895542102
8,7Networks_LH_Vis_8,0.010611540984403518,0.029768559981845775,-0.01915701899744226
9,7Networks_LH_Vis_9,0.00022441634005339317,0.022128037948896742,-0.02190362160884335
10,7Networks_LH_Vis_10,-0.00036848730017081016,-0.01536331748074766,0.01499483018057685
11,7Networks_LH_Vis_11,0.008276131099885469,0.03232526493210264,-0.02404913383221717
12,7Networks_LH_Vis_12,0.00013429979476123363,-0.0141644908439635,0.014298790638724733
13,7Networks_LH_Vis_13,-0.0017497724752710527,-0.023929330130358053,0.022179557655087
14,7Networks_LH_Vis_14,0.001676650449344576,-0.0014623496947527154,0.0031390001440972917
15,7Networks_LH_SomMot_1,-0.0020615103796865902,-0.0021806324663356342,0.000119122086649044
16,7Networks_LH_SomMot_2,-0.0009332026783549477,-0.0013999304430038053,0.0004667277646488576
17,7Networks_LH_SomMot_3,-0.0009385006074252897,-0.0005493090640149244,-0.0003891915434103653
18,7Networks_LH_SomMot_4,-0.005092642288973069,-0.005564979894390077,0.00047233760541700795
19,7Networks_LH_SomMot_5,-0.0014628350963998913,-0.0015240245877109042,6.118949131101283e-05
20,7Networks_LH_SomMot_6,0.002464507174692766,0.0031283082731671952,-0.0006638010984744295
21,7Networks_LH_SomMot_7,-0.0021585549236633073,0.0020919465833330116,-0.0042505015069963185
22,7Networks_LH_SomMot_8,0.0008602865518177283,0.0007021070531572243,0.000158179498660504
23,7Networks_LH_SomMot_9,0.002807714078104914,0.009366602832384715,-0.006558888754279801
24,7Networks_LH_SomMot_10,0.0013171851700189206,0.005731840349662051,-0.00441465517964313
25,7Networks_LH_SomMot_11,0.00986128786430615,0.02459285116918314,-0.014731563304876988
26,7Networks_LH_SomMot_12,-0.0007328369416177261,0.0017117653290840444,-0.0024446022707017706
27,7Networks_LH_SomMot_13,0.005808013927478027,0.01100888766183301,-0.005200873734354983
28,7Networks_LH_SomMot_14,0.0006311036017314687,0.0014172200246278888,-0.00078611642289642
29,7Networks_LH_SomMot_15,0.0011066419499224664,0.002049417377272521,-0.0009427754273500545
30,7Networks_LH_SomMot_16,0.0009796373963974255,-0.000142454392740967,0.0011220917891383926
31,7Networks_LH_DorsAttn_Post_1,0.004540678630142368,0.017722538233583912,-0.013181859603441544
32,7Networks_LH_DorsAttn_Post_2,0.004503875707670193,0.013096327757822357,-0.008592452050152164
33,7Networks_LH_DorsAttn_Post_3,0.004850102859469458,0.006436690651591764,-0.0015865877921223065
34,7Networks_LH_DorsAttn_Post_4,0.003802627277848047,0.011889262881374799,-0.008086635603526751
35,7Networks_LH_DorsAttn_Post_5,0.005987251928670741,0.01876793440518339,-0.01278068247651265
36,7Networks_LH_DorsAttn_Post_6,0.00590753381297223,0.01724874121504739,-0.01134120740207516
37,7Networks_LH_DorsAttn_Post_7,-0.0011150951369627022,0.007560210221957646,-0.008675305358920348
38,7Networks_LH_DorsAttn_Post_8,0.004926555820318281,0.026580121840289544,-0.021653566019971263
39,7Networks_LH_DorsAttn_Post_9,0.0004745260456986333,-0.006947449266645293,0.007421975312343927
40,7Networks_LH_DorsAttn_Post_10,0.0029362056483332837,0.014853758178565744,-0.01191755253023246
41,7Networks_LH_DorsAttn_FEF_1,0.001815359263732211,0.01108429216756829,-0.00926893290383608
42,7Networks_LH_DorsAttn_FEF_2,0.00022644071708097428,-0.002069592330500646,0.00229603304758162
43,7Networks_LH_DorsAttn_PrCv_1,-0.00039706299896765263,0.004528838650502907,-0.00492590164947056
