ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
115,7Networks_RH_Vis_15,Vis_15,-0.014783834188084918,-0.0582351457453168,0.9538512836624664,-0.014783834188084918,0.04013949650703338,-0.014783834188084918,-0.49409714272092653,0.441242257360778,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
103,7Networks_RH_Vis_3,Vis_3,-2.453425209610771,-21.507579424803204,9.718405262498799e-87,-2.453425209610771,0.003333518276474307,-2.453425209610771,-2.6832040327846096,-2.2261644658369657,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
110,7Networks_RH_Vis_10,Vis_10,-0.024830333451180953,-1.8508184216001207,0.06496344041124685,-0.024830333451180953,0.0006846255867666658,-0.024830333451180953,-0.05514902357390722,-0.004133218582525241,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
102,7Networks_RH_Vis_2,Vis_2,-0.5171420331208422,-8.260073626775235,7.686708403878601e-16,-0.5171420331208422,0.002409761345336822,-0.5171420331208422,-0.6403688374843259,-0.398085216627368,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
101,7Networks_RH_Vis_1,Vis_1,-1.8154550023324758,-14.352478584634227,1.0669437503702215e-41,-1.8154550023324758,0.004491816310691463,-1.8154550023324758,-2.0648057889173126,-1.5708152768971944,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
64,7Networks_LH_Cont_Temp_1,Cont_Temp_1,0.007225831036352829,1.731902210364152,0.08373467788085763,0.007225831036352829,0.00015826031774172106,0.007225831036352829,0.0,0.016765076564892373,Temporal,L,Cont_Temp,Temporal,"(1, 'Cont_Temp', 0)"
168,7Networks_RH_Cont_Temp_1,Cont_Temp_1,0.13660810420030572,5.703083029850299,1.692724362928442e-08,0.13660810420030567,0.0008746537012453713,0.13660810420030572,0.09341986188696057,0.18694813783121778,Temporal,R,Cont_Temp,Temporal,"(1, 'Cont_Temp', 1)"
75,7Networks_LH_Default_Temp_2,Default_Temp_2,0.0,,,0.0,0.0,0.0,0.0,0.0,Temporal,L,Default_Temp,Temporal,"(1, 'Default_Temp', 0)"
77,7Networks_LH_Default_Temp_4,Default_Temp_4,0.0,,,0.0,0.0,0.0,0.0,0.0,Temporal,L,Default_Temp,Temporal,"(1, 'Default_Temp', 0)"
78,7Networks_LH_Default_Temp_5,Default_Temp_5,-0.16410814067893215,-8.063578683638966,2.677823210156718e-15,-0.16410814067893215,0.0007173058235326323,-0.16410814067893215,-0.20429154412950626,-0.12553216169563025,Temporal,L,Default_Temp,Temporal,"(1, 'Default_Temp', 0)"
74,7Networks_LH_Default_Temp_1,Default_Temp_1,-0.003958982665602084,-1.7334488150236462,0.08326530954785329,-0.003958982665602084,6.496259163111222e-05,-0.003958982665602084,-0.009234483211511095,0.0,Temporal,L,Default_Temp,Temporal,"(1, 'Default_Temp', 0)"
76,7Networks_LH_Default_Temp_3,Default_Temp_3,0.0,,,0.0,0.0,0.0,0.0,0.0,Temporal,L,Default_Temp,Temporal,"(1, 'Default_Temp', 0)"
187,7Networks_RH_Default_Temp_3,Default_Temp_3,0.0,,,0.0,0.0,0.0,0.0,0.0,Temporal,R,Default_Temp,Temporal,"(1, 'Default_Temp', 1)"
188,7Networks_RH_Default_Temp_4,Default_Temp_4,0.0,,,0.0,0.0,0.0,0.0,0.0,Temporal,R,Default_Temp,Temporal,"(1, 'Default_Temp', 1)"
189,7Networks_RH_Default_Temp_5,Default_Temp_5,0.0,,,0.0,0.0,0.0,0.0,0.0,Temporal,R,Default_Temp,Temporal,"(1, 'Default_Temp', 1)"
185,7Networks_RH_Default_Temp_1,Default_Temp_1,-0.01759869408225673,-3.3296672324589878,0.0008994988072274814,-0.01759869408225673,0.0001624937928811684,-0.01759869408225673,-0.028981626609795065,-0.007987819585233272,Temporal,R,Default_Temp,Temporal,"(1, 'Default_Temp', 1)"
186,7Networks_RH_Default_Temp_2,Default_Temp_2,-0.013907573537029498,-2.4735797357258904,0.013522445495136091,-0.013907573537029498,0.0001670361593184953,-0.013907573537029498,-0.02571633476315218,-0.004357518860381199,Temporal,R,Default_Temp,Temporal,"(1, 'Default_Temp', 1)"
59,7Networks_LH_Limbic_TempPole_3,Limbic_TempPole_3,-0.17020272516459112,-7.13675344833214,2.7276916195412394e-12,-0.17020272516459117,0.0009664005524612847,-0.17020272516459112,-0.21900939206474998,-0.12617239170359235,Temporal,L,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 0)"
58,7Networks_LH_Limbic_TempPole_2,Limbic_TempPole_2,-0.023191153116605585,-2.366856013503919,0.018125501507252645,-0.023191153116605582,0.0003064961734037347,-0.023191153116605585,-0.045879125146321136,-0.006680455884814114,Temporal,L,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 0)"
57,7Networks_LH_Limbic_TempPole_1,Limbic_TempPole_1,-0.026900173463341198,-3.760090191081294,0.00018095778533689077,-0.026900173463341198,0.00023994181397075478,-0.026900173463341198,-0.04208643665775568,-0.01360560644579699,Temporal,L,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 0)"
60,7Networks_LH_Limbic_TempPole_4,Limbic_TempPole_4,0.0,,,0.0,0.0,0.0,0.0,0.0,Temporal,L,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 0)"
163,7Networks_RH_Limbic_TempPole_2,Limbic_TempPole_2,-0.013709517732106234,-2.744179120199355,0.006161876792849644,-0.01370951773210623,0.0001482899747698371,-0.013709517732106234,-0.02444108704427876,-0.004786480876906212,Temporal,R,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 1)"
162,7Networks_RH_Limbic_TempPole_1,Limbic_TempPole_1,-0.08589035313296835,-7.642187531887894,4.5043659817014386e-14,-0.08589035313296833,0.0003324325817730901,-0.08589035313296835,-0.1084522283074181,-0.06517647921467473,Temporal,R,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 1)"
164,7Networks_RH_Limbic_TempPole_3,Limbic_TempPole_3,-0.016068127194483868,-2.2419319590386158,0.02536874630348721,-0.01606812719448387,0.0003075692532269921,-0.016068127194483868,-0.031747799117642535,-0.00314537557748515,Temporal,R,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 1)"
150,7Networks_RH_SalVentAttn_TempOccPar_3,SalVentAttn_TempOccPar_3,-0.034971229390770076,-4.387658637273998,1.2738593746888272e-05,-0.03497122939077006,0.0002584567087581488,-0.034971229390770076,-0.05141189235353633,-0.019844826687826854,Temporal,R,SalVentAttn_TempOccPar,Temporal,"(1, 'SalVentAttn_TempOccPar', 1)"
149,7Networks_RH_SalVentAttn_TempOccPar_2,SalVentAttn_TempOccPar_2,-0.04448525742107818,-3.190033739459244,0.0015373271860852171,-0.044485257421078186,0.00070523271884149,-0.04448525742107818,-0.07368536811216804,-0.01798045178273512,Temporal,R,SalVentAttn_TempOccPar,Temporal,"(1, 'SalVentAttn_TempOccPar', 1)"
148,7Networks_RH_SalVentAttn_TempOccPar_1,SalVentAttn_TempOccPar_1,0.0,,,0.0,0.0,0.0,0.0,0.0,Temporal,R,SalVentAttn_TempOccPar,Temporal,"(1, 'SalVentAttn_TempOccPar', 1)"
61,7Networks_LH_Cont_Par_1,Cont_Par_1,0.0,,,0.0,0.0,0.0,0.0,0.0,Parietal,L,Cont_Par,Parietal,"(2, 'Cont_Par', 0)"
63,7Networks_LH_Cont_Par_3,Cont_Par_3,-0.003723697957393551,-0.9999999999999997,0.3178742133668452,-0.00372369795739355,0.00017978183151109745,-0.003723697957393551,-0.011171093872180652,0.0,Parietal,L,Cont_Par,Parietal,"(2, 'Cont_Par', 0)"
62,7Networks_LH_Cont_Par_2,Cont_Par_2,-0.1633237986857429,-4.948356130620941,1.130165672591586e-06,-0.1633237986857429,0.001699878376069675,-0.1633237986857429,-0.23613111365546213,-0.10043014905688213,Parietal,L,Cont_Par,Parietal,"(2, 'Cont_Par', 0)"
167,7Networks_RH_Cont_Par_3,Cont_Par_3,-0.3706719566870614,-6.667667812233191,8.099557278532386e-11,-0.37067195668706143,0.0026966296831283376,-0.3706719566870614,-0.47937821338270664,-0.26827807413471794,Parietal,R,Cont_Par,Parietal,"(2, 'Cont_Par', 1)"
166,7Networks_RH_Cont_Par_2,Cont_Par_2,0.0,,,0.0,0.0,0.0,0.0,0.0,Parietal,R,Cont_Par,Parietal,"(2, 'Cont_Par', 1)"
165,7Networks_RH_Cont_Par_1,Cont_Par_1,0.0,,,0.0,0.0,0.0,0.0,0.0,Parietal,R,Cont_Par,Parietal,"(2, 'Cont_Par', 1)"
80,7Networks_LH_Default_Par_2,Default_Par_2,-0.010407842614139537,-1.0,0.3185890812784756,-0.010407842614139537,0.0007570591523885952,-0.010407842614139537,-0.03122352784241861,0.0,Parietal,L,Default_Par,Parietal,"(2, 'Default_Par', 0)"
81,7Networks_LH_Default_Par_3,Default_Par_3,0.0,,,0.0,0.0,0.0,0.0,0.0,Parietal,L,Default_Par,Parietal,"(2, 'Default_Par', 0)"
82,7Networks_LH_Default_Par_4,Default_Par_4,-0.034902024974352144,-4.384220832675969,1.2888201117844124e-05,-0.03490202497435214,0.0002533959254360761,-0.034902024974352144,-0.05175328558416428,-0.020297652425196513,Parietal,L,Default_Par,Parietal,"(2, 'Default_Par', 0)"
