left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS
5.420718977777777,4.380940397222222,6.518854775,5.241046155555555,3.9952606944444446,4.12282735,5.128085366666667,3.9581767972222224,5.593634627777778,4.862643129411764,3.968857313888888,3.8041620138888885
5.522645777777778,4.287626944444444,5.756185133333333,5.1641223555555555,4.3803995166666665,4.036943372222222,4.953287286111111,3.982980916666667,5.699837188888889,4.9353552647058825,3.9824652027777776,3.9727689666666666
5.2973907138888885,4.263891224999999,6.011322211111111,4.898467880555554,4.167672866666667,4.157209630555556,5.178130791666668,4.074072427777777,5.636838313888889,5.193457262857143,4.2503310333333335,3.7480224666666664
5.413101524999999,4.163182833333334,6.129174705555556,4.985487216666666,4.274267233333333,4.052130130555557,5.165486858333335,4.050808833333334,5.404854077777778,4.969805282352943,3.8978815749999995,3.8614554
5.449564183333333,4.431086097222222,6.104083741666667,5.131190649999999,4.355496047222221,4.177259830555555,4.851280416666665,3.9779326222222218,5.656636369444445,5.109525027777777,3.9938331944444436,3.9589319944444443
5.664042347222223,4.350967694444444,6.299327675,5.2830037194444435,3.915485291666666,4.172341905555556,5.115348702777778,3.9089228166666663,5.651111261111111,4.9606888399999995,4.074853733333333,3.774917908333333
5.627245455555555,4.207277602777777,6.386495352777778,5.248943491666666,4.301283419444444,4.041480316666668,5.116038536111112,3.901611047222223,5.950537238888889,5.150170951515152,4.249687702777778,3.7461017833333323
5.6921879833333335,4.288964069444444,6.550727252777778,4.617574608333332,4.2381783055555555,4.166764241666667,5.225857908333334,4.029189225,5.716130241666665,5.204481252941177,3.9566904305555557,3.9204624388888885
5.520482816666666,4.318593769444444,6.099167263888889,4.994019016666666,4.448480986111111,4.223248013888888,5.0738368666666664,3.9628695305555564,5.509746008333334,5.087191962857142,4.143875738888889,3.9696075000000004
5.3654676499999985,4.416350086111111,6.102722916666667,5.469829880555555,4.338680422222222,4.0216912166666665,5.077392075000001,3.962745661111112,5.8382803444444455,5.061876262857142,3.9909816805555556,3.883715122222222
5.501335755555556,4.214995619444446,6.012741083333334,5.003632013888888,4.102354686111111,4.046865022222222,5.080498413888889,3.892172175,5.747942502777778,4.843629013888888,4.086886919444444,3.678982927777778
5.542383188888889,4.279946755555556,6.140081122222224,5.2128277388888895,4.374707647222222,4.109259975,4.899255927777777,3.9701560000000007,5.518897427777778,5.1503684833333345,4.018298422222222,3.827109991666667
5.455605802777778,4.1514923999999995,5.880205224999999,5.296964622222222,4.258243816666667,4.200816241666667,5.176331825000001,4.029002733333333,5.575946375,5.064574878787878,4.117778805555555,3.801814647222222
5.348884166666668,4.547313197222222,6.359010991666668,5.258398086111111,4.134379883333333,4.078237683333334,5.254846386111112,4.022496494444445,5.471472605555555,5.054272867647059,3.9864075638888883,3.896448691666667
5.5542316666666665,4.153488608333332,6.513904194444445,5.198998244444444,4.1981442527777775,4.279735230555556,5.1666667888888895,4.131148047222222,5.6077440888888885,4.86131652857143,3.936935416666666,3.905063024999999
5.502472366666666,4.263470255555556,6.0497400500000005,5.221142336111111,4.0779815333333325,4.103562597222222,5.180097661111112,4.107252672222221,5.636409102777778,5.151868374285714,4.064305058333333,3.9729250666666664
5.493864475,4.4208721555555535,6.160586666666666,5.185165080555555,4.213106841666668,4.229320294444444,5.342452302777777,4.169223813888889,6.15596501111111,4.881949023529412,3.9876538250000007,3.7469029416666664
5.640109616666667,4.278263225,5.772045875,4.999652158333333,4.302570283333334,4.039526075,5.143436880555556,4.220829908333332,5.680028074999999,5.161770005714286,4.099740247222222,4.031157183333333
5.452503236111111,4.159747761111111,6.492631866666667,5.415635013888888,4.38143978888889,4.130128469444445,4.913153791666667,3.8996000055555546,5.7898882416666675,5.153568638235293,4.104338724999999,3.8320682749999997
5.29918275,4.15399363611111,6.381388375000001,5.158327136111112,4.111298733333333,3.912938044444445,5.05546901388889,3.8929792222222224,5.237944375,5.226731582857144,4.297805425000001,3.751264225000001
5.598174194444444,4.390237275,6.121786091666667,5.285277061111111,4.066549161111111,4.176337697222221,5.09488198888889,4.205841816666666,5.447909247222223,4.900271078125002,4.076610305555556,3.823102555555556
5.502248374999999,3.9648175444444442,6.299989061111111,5.385527908333333,4.110791072222222,4.183746655555556,5.184022341666667,3.977521397222222,5.329546713888888,4.865246816666668,4.132341616666666,3.8386300444444448
5.611274380555555,4.302309380555555,6.104846338888889,5.065607963888889,4.475432783333334,4.205324155555555,5.183552577777778,4.002715261111111,5.695740983333334,5.193773314285714,4.117481966666666,3.7837101944444447
5.600778661111111,4.162493622222222,6.3513402388888895,5.11588853611111,4.550007763888889,4.173438513888889,5.017392886111112,4.194460602777777,5.5045102944444455,5.069135484848484,4.098441455555555,3.802058019444445
5.384380205555555,4.252398875,6.29833836111111,5.433417941666665,4.181613152777777,4.2846084555555555,5.078191872222224,3.957188138888889,5.8335824222222215,4.904061782352941,4.122987913888889,3.790171088888888
5.389903480555556,4.179052413888887,6.362703422222222,5.129334008333332,4.235168647222221,4.103271736111112,5.2841236361111115,3.9732324277777766,5.832399163888888,5.090953674285714,3.9732957222222214,3.8193900944444445
5.186159966666667,4.311122969444444,6.099092338888889,5.018210994444444,4.4026223416666665,4.207867677777777,5.206413786111111,3.9104550027777774,5.617795766666666,4.8764515657142855,4.0626387416666665,3.851041683333333
5.2748348444444435,4.666163422222223,6.491534991666668,5.645137569444444,4.1796797805555554,4.239023352777777,5.173366805555556,4.077207808333333,6.155797644444444,5.125352842857142,4.123432088888889,3.809136230555556
5.628754558333332,4.133622094444445,6.0777570277777775,5.084206452777778,4.2225630194444435,4.1219926000000005,4.800653055555556,3.924683294444445,5.417570013888889,5.138931752941177,4.239873480555554,3.6712345805555557
5.3815296777777775,4.215535594444445,6.107252019444445,5.1960100138888885,4.212556358333334,4.039710475,5.231029086111112,4.0109898416666665,5.590126958333332,5.164897378787879,4.037693652777778,3.8078392666666656
5.41005893888889,4.4127436555555555,6.110376033333334,5.392492088888888,4.403953277777777,4.300483397222222,5.273912691666667,4.017331205555555,5.557012272222223,5.1020934272727265,3.969745063888889,3.8057786138888883
5.423252433333334,4.114407691666666,6.219280475,5.1262779444444435,4.372720958333332,4.10048925,4.997754641666667,4.152578363888889,5.8299686,4.9595105,4.1495999277777775,3.8010080249999993
5.429693466666667,4.296717422222221,6.040500375,5.27752353611111,4.044477194444443,4.04379445,5.387560580555556,4.140542152777778,5.521140380555556,5.181729647058823,4.080959616666665,3.7484065027777778
