object_left_ventral_visual_cortex,object_left_dorsal_visual_cortex,object_left_LO,object_left_PFS,object_left_pIPS,object_left_aIPS,object_left_V1,object_right_ventral_visual_cortex,object_right_dorsal_visual_cortex,object_right_LO,object_right_PFS,object_right_pIPS,object_right_aIPS,object_right_V1,scramble_left_ventral_visual_cortex,scramble_left_dorsal_visual_cortex,scramble_left_LO,scramble_left_PFS,scramble_left_pIPS,scramble_left_aIPS,scramble_left_V1,scramble_right_ventral_visual_cortex,scramble_right_dorsal_visual_cortex,scramble_right_LO,scramble_right_PFS,scramble_right_pIPS,scramble_right_aIPS,scramble_right_V1
53630.916666666664,72613.97222222222,15406.527777777777,10508.416666666666,29970.166666666668,30925.916666666668,25574.305555555555,49129.63888888889,69139.27777777778,15868.222222222223,7163.305555555556,26394.527777777777,32863.38888888889,26059.36111111111,51176.833333333336,73240.52777777778,15194.75,10504.25,29295.25,30301.0,24250.972222222223,50235.666666666664,70436.33333333333,16154.5,6955.027777777777,26522.25,33084.805555555555,25652.666666666668
51902.88888888889,74245.33333333333,15443.444444444445,10619.416666666666,29632.527777777777,30012.222222222223,24654.833333333332,50595.916666666664,72549.91666666667,15983.5,7367.361111111111,25912.472222222223,32284.083333333332,25485.86111111111,53573.416666666664,73629.13888888889,15775.805555555555,10704.916666666666,29098.38888888889,30587.833333333332,23402.416666666668,49837.444444444445,70519.61111111111,15592.166666666666,7325.472222222223,25379.416666666668,32782.72222222222,26146.88888888889
51222.75,71918.75,15870.75,10451.444444444445,29330.0,29795.11111111111,24543.055555555555,49556.305555555555,70336.75,16007.416666666666,7203.75,26084.555555555555,33061.694444444445,25978.25,51855.27777777778,73604.83333333333,16067.5,10635.333333333334,29127.583333333332,30648.583333333332,24715.333333333332,51020.416666666664,72061.44444444444,16075.944444444445,7300.75,26029.63888888889,32970.583333333336,25458.5
52131.22222222222,73081.05555555556,15822.027777777777,10510.027777777777,29097.805555555555,30204.055555555555,24205.083333333332,50202.666666666664,71570.63888888889,15905.388888888889,7389.833333333333,25884.055555555555,32881.47222222222,25111.555555555555,51808.694444444445,72847.63888888889,16035.777777777777,10375.638888888889,29546.527777777777,31097.0,24329.083333333332,50207.52777777778,70348.52777777778,16658.222222222223,7204.166666666667,25850.166666666668,32977.333333333336,25258.277777777777
