left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,left_hemi,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1,right_hemi
17073.69700855679,16513.835220389898,1272.4503221445614,1639.1728581322564,2286.6903712219664,2148.9195259743265,30093.323269314234,84892.18836805556,12010.232720269098,11582.151204427084,1024.1118715206783,1007.8995048734877,2618.421823395623,2007.3273588816326,19723.850980970594,59105.27484809028
15502.495185640124,17815.494345823925,1494.347394446532,1918.5352170732285,2291.0630541510054,1555.50903452105,26347.14990234375,88637.90358479817,8401.612921820746,13857.121826171875,897.8837827046713,673.3207293616401,2793.8734338548447,1668.3451521131728,18712.650419447156,72305.97773912217
16536.512899398804,14590.629541317621,1416.2919411791695,2064.2607063717314,2396.2070753971734,1583.7788026995129,25422.431640625,85579.2400648329,9804.547322591146,11414.126322428385,871.6170737081104,826.2106662326389,1967.2138408025105,1786.7434385087754,18091.03054640028,63666.38978746202
17732.850168652003,16723.771418306562,1305.9173793064224,1916.2120511796738,2023.3175586064656,1754.8491719828712,28322.167588975695,74733.16149224175,9973.475477430555,13016.045104980469,691.3284428384569,1105.843737602234,2293.2846941947937,2661.9636840820312,17341.072741190594,59025.76680162218
15024.91845703125,19409.125964747534,1033.1769788066547,1972.879089143541,1824.4910093347232,1898.0596610241466,28905.65402560764,86837.97394476997,11713.570997450086,13288.595777723523,1397.5204119549858,815.2717348734537,2251.284777482351,2654.240044593811,17856.765207926434,62995.79045613607
16133.683636347452,21111.29579758644,1917.4172248111831,2969.6289559470283,2188.7993588580025,2312.722334636582,22745.194905598957,82353.42001681858,10104.763997395834,12091.231730143229,1024.5411533249749,1071.2837691836887,2183.121363904741,1727.7843483818901,16539.99476623535,63063.25937567817
12040.30152914259,20396.186953306198,966.3578624725342,2160.8657326168486,2564.860898547702,1505.2539859811466,28822.08851453993,84120.65440538194,10663.574937608508,14151.277180989584,889.217768073082,746.5872129864163,1763.772424591912,1741.3377004199558,16701.465442233617,61362.106506347656
15027.941353268094,15799.255466037326,1194.7761443787151,2746.210787349277,2207.5953349868455,1215.1881458626854,28819.757703993055,68419.68568929036,7505.069240993924,13806.377549913195,920.1298413541582,1171.0547891192966,2038.3320392502678,2568.144210603502,17279.400080362957,72834.82584635417
18052.33154296875,22128.734429253473,1078.634590248267,1788.1917569902207,2440.1854189766777,1671.2725693384807,23463.752360026043,74026.32969156902,10659.523627387152,12082.311957465277,706.3154559665256,1100.859471321106,1867.9515795707703,1407.5461025238037,13691.803401523166,69717.55203586155
13944.89244249132,17316.40878809823,1263.5447684658898,2072.3085468080308,2550.059679667155,1338.7238321304321,25096.68275282118,83279.13698323567,9686.160420735678,12412.480563693576,1290.2016611496608,668.7349134021335,1706.6340041690403,2096.8396088282266,17931.914391411676,81479.82533433702
