left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1
4368.527777777777,4335.166666666667,266.1111111111111,594.4722222222222,608.2777777777778,451.47222222222223,4587.805555555556,3235.972222222222,2595.5555555555557,209.27777777777777,192.80555555555554,632.4444444444445,692.3611111111111,3401.527777777778
3317.3888888888887,3918.472222222222,371.0,582.0,522.9444444444445,509.05555555555554,4871.305555555556,2078.6111111111113,3404.1944444444443,292.05555555555554,263.1111111111111,497.05555555555554,472.4166666666667,3370.0833333333335
2850.3333333333335,3653.6388888888887,258.30555555555554,507.80555555555554,589.0833333333334,642.1666666666666,5166.138888888889,2455.0555555555557,3675.25,245.08333333333334,222.58333333333334,586.2222222222222,457.25,3337.25
3507.6944444444443,4500.972222222223,414.52777777777777,440.27777777777777,698.7222222222222,691.0555555555555,4532.416666666667,2852.5,3126.722222222222,286.0833333333333,402.47222222222223,679.2222222222222,646.6666666666666,3492.1111111111113
3449.9444444444443,4459.277777777777,220.25,469.0,723.3055555555555,254.5,5108.666666666667,3088.972222222222,2882.0833333333335,247.11111111111111,270.30555555555554,569.8888888888889,659.2777777777778,3706.8055555555557
4028.5555555555557,3404.3055555555557,306.72222222222223,464.1111111111111,456.6388888888889,557.4166666666666,5092.305555555556,2543.472222222222,2755.3333333333335,299.6388888888889,154.66666666666666,807.1388888888889,497.0833333333333,4132.166666666667
3669.75,3750.722222222222,320.75,516.2222222222222,519.3611111111111,399.55555555555554,5087.361111111111,2982.4444444444443,2266.0,192.88888888888889,179.38888888888889,465.1388888888889,765.9722222222222,3513.6111111111113
4039.5,3350.4444444444443,313.0,471.19444444444446,519.7777777777778,607.8055555555555,5234.166666666667,2297.4444444444443,2887.8055555555557,160.69444444444446,155.30555555555554,499.75,462.47222222222223,3449.722222222222
4098.722222222223,3606.5833333333335,393.3611111111111,546.0277777777778,531.4444444444445,655.7777777777778,4600.666666666667,2191.1666666666665,3302.0833333333335,206.86111111111111,264.77777777777777,569.4444444444445,526.1388888888889,3536.6666666666665
4087.3888888888887,2918.4166666666665,348.05555555555554,547.7777777777778,603.1666666666666,475.30555555555554,4941.611111111111,2243.5833333333335,2840.777777777778,245.63888888888889,231.77777777777777,719.4444444444445,491.8611111111111,3889.5
3788.777777777778,3976.1666666666665,352.8333333333333,542.6944444444445,705.6388888888889,988.6388888888889,5031.055555555556,2522.6111111111113,2626.027777777778,156.30555555555554,197.19444444444446,631.8888888888889,698.2222222222222,4040.25
3594.1388888888887,3627.0555555555557,358.1111111111111,523.9722222222222,453.4166666666667,549.8611111111111,4601.527777777777,3166.75,3438.1388888888887,178.61111111111111,224.52777777777777,589.9722222222222,861.75,3656.1111111111113
4065.777777777778,3664.6944444444443,317.8611111111111,402.3333333333333,805.2777777777778,463.22222222222223,4896.75,2051.027777777778,3006.0833333333335,292.1111111111111,205.69444444444446,434.80555555555554,498.8333333333333,3289.3055555555557
3877.4444444444443,4333.388888888889,438.0,536.8888888888889,634.9444444444445,400.1111111111111,4774.555555555556,2640.6388888888887,3117.3055555555557,205.11111111111111,229.77777777777777,610.8055555555555,468.3333333333333,4142.638888888889
3848.222222222222,4179.916666666667,307.8333333333333,625.3333333333334,411.4166666666667,527.4166666666666,5970.361111111111,2532.527777777778,3093.222222222222,173.88888888888889,159.0,553.9722222222222,579.9166666666666,3286.972222222222
3531.75,3535.9444444444443,324.3333333333333,560.5277777777778,383.8888888888889,592.9444444444445,5032.333333333333,2599.1666666666665,2945.25,253.80555555555554,236.83333333333334,660.25,595.9444444444445,3826.8611111111113
3599.8611111111113,3163.8611111111113,386.0833333333333,467.05555555555554,499.1111111111111,510.4166666666667,4979.75,2297.0555555555557,3023.0555555555557,243.47222222222223,214.13888888888889,603.6944444444445,541.6388888888889,3184.6111111111113
3586.8611111111113,3663.6944444444443,299.55555555555554,683.0555555555555,511.3333333333333,583.9166666666666,5320.861111111111,2370.1111111111113,2841.3888888888887,180.08333333333334,263.5833333333333,619.3333333333334,502.25,3539.722222222222
3622.5,3570.722222222222,380.47222222222223,459.75,553.6944444444445,389.9166666666667,4858.222222222223,1998.2222222222222,3194.4444444444443,247.25,131.22222222222223,640.0833333333334,614.3888888888889,3406.8888888888887
3689.527777777778,3170.8611111111113,354.19444444444446,406.3333333333333,594.6666666666666,579.0277777777778,5177.722222222223,3019.0555555555557,3595.972222222222,208.72222222222223,170.97222222222223,675.9444444444445,690.1111111111111,3196.1111111111113
2904.6944444444443,3179.777777777778,323.69444444444446,538.9722222222222,510.5833333333333,443.4166666666667,5763.694444444444,2191.3055555555557,3005.75,282.97222222222223,220.0,716.6666666666666,526.25,3699.3333333333335
4152.055555555556,3546.1666666666665,312.0833333333333,415.0833333333333,620.5833333333334,499.27777777777777,5298.222222222223,2723.277777777778,2997.3611111111113,212.52777777777777,134.02777777777777,560.4166666666666,480.97222222222223,3808.75
4238.944444444444,3498.0555555555557,392.19444444444446,639.1111111111111,437.8888888888889,438.0833333333333,4929.444444444444,3302.9444444444443,2906.6388888888887,167.69444444444446,183.0,729.2777777777778,608.6944444444445,3750.0555555555557
