left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1
4.318255631428573,4.617735652777778,3.6630607382352944,3.7927366666666664,3.4065889916666667,3.1834207111111117,5.134031970967744,4.061690883333334,3.8901723611111105,3.4755805575757583,3.572130340625,3.5211339499999994,3.0329199555555553,4.534209486111111
4.029862905714286,4.662930805555556,3.6589418555555557,3.7012560666666663,3.3174867194444446,3.070961911111111,5.1697824,3.84285905,3.8926293333333337,3.4883295352941177,3.6763573843749997,3.426400183333333,3.0072757277777784,4.501496497222221
4.195351469696971,4.806967661111112,3.5383743870967743,3.7947763277777775,3.4253774000000003,3.084835408333333,5.162494194444445,3.9247646647058825,4.0179336,3.564580994117647,3.4744603428571432,3.6685352972222223,3.052767955555556,4.544340019444443
4.071410213888888,4.825386908333333,3.8601129382352943,3.745390526470589,3.6189258444444445,3.1340702305555554,5.322043991428572,3.9636330441176475,4.070228516666666,3.536385591176471,3.9602956151515154,3.467784911111112,3.053153775,4.530794752777776
4.22752146060606,4.552985022222222,3.531350042857143,3.665377797142857,3.564073911111111,3.016318705555556,5.240236009090909,4.016210725,4.121345088888889,3.4807728583333333,3.75258825625,3.551453802777777,3.025761833333333,4.692481197222222
4.322210616666666,4.382080111111112,3.508646602857143,3.7720127411764706,3.312047694444445,3.1252178944444444,5.092184474285714,3.8192113114285724,3.8887390972222224,3.617098405882353,3.46122885,3.484438966666667,3.0137309888888884,4.716945580555555
4.152381474285715,4.483919880555557,3.5666511333333326,3.7395867911764706,3.4681155583333343,3.1125736277777776,5.167184425714286,4.043209561764707,3.968989899999999,3.3510496970588233,3.589640309090909,3.3822577666666667,3.0892668833333334,4.616522741666667
4.339850231428572,4.419738122222223,3.6160585764705884,3.7444337848484848,3.4809966305555555,3.144486552777778,5.064606933333334,3.841784857575757,3.9875190305555557,3.383670719354839,3.4617954875,3.4621095972222222,3.0496088055555557,4.732085566666665
4.2932197571428565,4.535747958333333,3.9155483848484853,3.6134477028571435,3.4204178388888895,3.255589313888889,5.165352042424243,3.8829000382352943,4.128322827777778,3.3300429599999997,3.6870447294117645,3.485126219444444,3.0171682250000003,4.539161877777778
4.299468471428571,4.634352783333334,3.7720721272727276,3.7981981628571435,3.3324798083333333,3.106875344444445,5.1775811205882345,3.8754320666666664,3.9154807055555554,3.4983826714285713,3.578677696875,3.6656362500000004,3.0627391388888885,4.497046366666666
