left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,left_hemi,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1,right_hemi
4.222594555686502,4.5682189332114325,3.565343632842555,3.728163316845894,3.3750721547338696,3.158619311120775,5.174492432011498,4.10333717531628,3.977957248687744,3.9491564366552563,3.5652209894997733,3.5989683613632666,3.5193696286943226,3.058327701356676,4.756520006391737,3.8414056963390775
4.174309669222151,4.485752701759338,3.789477432927778,3.686958953312465,3.38958560095893,3.1731142467922635,5.135885484078351,4.090777549478743,3.8694830085292007,4.004475388262007,3.460465111051287,3.433347293308803,3.472917126284705,3.0868821806377835,4.611789239777459,3.7221900820732117
4.305252979783451,4.341978894339667,3.787731710602255,3.6770499093191966,3.538378073109521,3.153700636492835,4.993019700050354,3.9615686204698353,3.8981867046917187,3.962921897570292,3.416810817188687,3.6373578733013523,3.4183828168445163,3.003640823894077,4.665010544988844,3.7679429054260254
4.188766737778981,4.59442538022995,3.7819037437438965,3.792218327522278,3.427056464884016,3.1978103849622936,5.135796962465559,3.925325651963552,3.8129326139177593,4.05512617694007,3.2742999826158794,3.637073129415512,3.6632840699619718,3.154811978340149,4.682645082473755,3.689247581693861
4.184327174635494,4.460600071483189,3.504583470961627,3.6662094729287285,3.330157001813253,3.1267578138245478,5.0642562177446155,3.8696505162451,4.025909550049725,3.9707223574320474,3.623042665209089,3.601272137959798,3.572598146067725,3.127921885914273,4.512453529569838,3.7772258520126343
4.184882279804775,4.58316543367174,3.7619264807019914,3.9497254666160133,3.373002999358707,3.0856429735819497,5.153362175997565,4.098560293515523,3.9204536642347065,3.937698721885681,3.453136514214908,3.5952621121560373,3.5233941939142017,3.0575075215763516,4.511897047360738,3.6621749003728232
4.145548858950215,4.684256394704183,3.7446330413222313,3.7932448659624374,3.512058092488183,3.116620580355326,5.381100374109605,3.9979966547754078,3.9085391759872437,4.068238364325629,3.4932681938697554,3.4077246120997837,3.4031982686784534,3.041066335307227,4.6911231941647,3.7749274836646185
4.184250783920288,4.67040956682629,3.6808221712708473,3.8993234361921036,3.382939192983839,3.082543671131134,5.249274131229946,4.07272662056817,3.686878226697445,3.9609206914901733,3.4152374789118767,3.7080698591290098,3.492619984679752,3.0848892596032886,4.595193386077881,3.864569842815399
4.288713448577457,4.8102775944603815,3.639886154068841,3.697362743318081,3.4456486304601035,3.1551127831141152,5.248921439051628,3.7974665893448725,3.9555359184741974,3.994094385041131,3.407500288065742,3.65519445173202,3.4624341461393566,3.0489219228426614,4.421510193083021,3.783098406261868
4.206872321665287,4.474448608027564,3.609083698855506,3.7425570628222298,3.6283714175224304,3.06229614549213,5.332308089031892,3.7636937167909412,3.8816620009286065,4.026472210884094,3.5165177022709564,3.487265682220459,3.4799950189060636,3.09463812245263,4.637468801604377,3.709244125419193
4.202520330746968,4.236511627833049,3.8136476348428165,3.7573615782188647,3.462864418824514,3.2172264059384665,5.271725780434078,3.871176156732771,3.987611757005964,4.056943628523085,3.428821040524377,3.638924805323283,3.3519622484842935,3.0220856070518494,4.513065920935737,3.8602447311083474
4.149329487015219,4.467999299367269,3.875694751739502,3.8502861297491826,3.4746824635399713,3.1312109695540533,5.2050906317574634,4.018405377864838,3.835322660558364,4.124219728840722,3.505730000409213,3.439696701367696,3.3890485167503357,3.042648043897417,4.436577041943868,3.8051450384987726
