subject,dice_original,dice_acompcor,diff,between_dorsal_orig,between_dorsal_acomp,between_ventral_orig,between_ventral_acomp
sub-025,0.707160125142207,0.7051157978298778,-0.002044327312329286,0.48234338220729395,0.46751154501918724,0.4688979797461662,0.45731476318800923
sub-038,0.7987782352888176,0.7977828591015077,-0.0009953761873099376,0.47396030515374526,0.46129418746234246,0.4724360320548777,0.45949184937559007
sub-057,0.9275380627163028,0.7556946826758147,-0.17184338004048805,0.5757190592782286,0.42275722521685943,0.6077116950429792,0.5093585236256102
sub-059,0.8801469250560932,0.8798596884598381,-0.00028723659625506937,0.5738477090146779,0.5523879565145838,0.5762695938405382,0.555461688217716
sub-064,0.6038172913989908,0.6008574091332712,-0.0029598822657195267,0.4709389199998983,0.4577934316664274,0.5506709151832526,0.5328296087062689
sub-067,0.765159018894496,0.7590494111087881,-0.0061096077857079045,0.39357327441870676,0.38940590704560907,0.5000116570093129,0.4914743372189081
sub-068,0.8257466467796315,0.555173867878925,-0.2705727789007065,0.5880255958581616,0.4497693609752305,0.5776780526496453,0.3758615585994121
sub-071,0.8304740087813218,0.829006590910961,-0.0014674178703608654,0.48917848711972833,0.4747484907891497,0.4690037593132441,0.4593377989935497
sub-083,0.7644725911766544,0.765051139782071,0.0005785486054165068,0.4612204699543116,0.4504401830349079,0.48492867951998153,0.4733404169078768
sub-084,0.5713039616836363,0.5731344234106577,0.001830461727021393,0.2709054195495602,0.269174467516631,0.382263030118943,0.37458177464462716
sub-085,0.8298403662580723,0.8261018813217577,-0.003738484936314679,0.5317948964354829,0.5162205267536627,0.5451205663792955,0.5286859965560751
sub-087,0.867005935497964,0.8738714294435664,0.00686549394560243,0.5260571697179115,0.5095374901154437,0.5420724870266898,0.5248868680015599
sub-088,0.8273083740667132,0.8262627076534654,-0.00104566641324777,0.45588281398167996,0.44372493014567016,0.4900725341040363,0.477369872402227
sub-093,0.9516660849758445,0.9517190391565297,5.295418068518298e-05,0.6063560129202348,0.5798816258728245,0.6209240475534565,0.5943077580375711
sub-094,0.732464683738811,0.7333421356280533,0.0008774518892422645,0.3938113833417342,0.38417641565658134,0.436475636387971,0.42752765515249386
sub-095,0.8933959666229089,0.8935787504436776,0.00018278382076875044,0.5737087933357916,0.5501432327864164,0.5782069930638521,0.5564973503403827
sub-096,0.757659004104097,0.7573393844844702,-0.00031961961962678753,0.4800100888138819,0.4675388022687314,0.4250048340283757,0.4165065273865152
sub-097,0.8599669967902869,0.8581712473863383,-0.0017957494039485544,0.5781315821729249,0.555669583211219,0.5733130247514341,0.5525454417637948
sub-107,0.8003188727976227,0.7998042856263347,-0.0005145871712880501,0.5445563893085146,0.5282432624992205,0.5526119202903944,0.5356617101304164
