subject,PFS_pIPS,V1_pIPS,V1_LO,PFS_LO
sub-025,0.7330704432013205,0.47620362101160996,0.5553680525603929,0.7616587797565293
sub-038,0.7711492099758919,0.31622485570336656,0.2697260885601693,0.7994538317118962
sub-057,0.7947003955000457,0.3994241980758619,0.4211103751772675,0.822302600261206
sub-059,0.8678717037918424,0.5226834384172703,0.5234707024864906,0.8955423481404311
sub-064,0.6179195164375044,0.3763006047177215,0.2468417967024583,0.873725210981509
sub-067,0.7159083044982699,0.7198637602179837,0.8082667393030741,0.8832764605626907
sub-068,0.5031550527935036,0.42702455391184996,0.3509411943533242,0.7041769428556436
sub-071,0.7513529430490561,0.4772516694920489,0.3785605896379796,0.7654112338282392
sub-083,0.7705649328281089,0.32794255197175876,0.2305063684374029,0.8920183420202473
sub-085,0.8141645642724703,0.5800438790182688,0.5027297905111758,0.8613809504615261
sub-087,0.8321798602235335,0.3408761721886096,0.3548847993990954,0.8630683078660598
sub-088,0.7959267534735599,0.2600672941857263,0.33860466771026043,0.8731342366801391
sub-093,0.9280002545043868,0.8571192527688278,0.8498020284249564,0.9453490392143149
sub-094,0.7066306507229353,0.3294506502514963,0.35410700883846663,0.8496985577858072
sub-095,0.9249999332288141,0.8821656050955414,0.8414955614377493,0.9140714142796112
sub-096,0.6495676091573792,0.48889703071237417,0.3462972256075704,0.7458507156491072
sub-097,0.8878121564730043,0.7151498558338111,0.6165966449870706,0.922214023777954
sub-107,0.8007704635108481,0.5191117856581278,0.5049348748416318,0.837863132790856
