subject,dice_original,dice_acompcor,diff,between_dorsal_orig,between_dorsal_acomp,between_ventral_orig,between_ventral_acomp
sub-025,0.707160125142207,0.7051157978298778,-0.002044327312329286,0.4946086958655042,0.47891584321465547,0.47507130476857234,0.4629544382723671
sub-038,0.7987782352888176,0.7977828591015077,-0.0009953761873099376,0.48541180962680575,0.47204000305823746,0.47730254457944143,0.4637331659196115
sub-057,0.9275380627163028,0.7556946826758147,-0.17184338004048805,0.5945086837524544,0.432268072015258,0.6191975467571653,0.5165886245206514
sub-059,0.8801469250560932,0.8798596884598381,-0.00028723659625506937,0.5908591460295299,0.5681763744257302,0.5867248803581668,0.564915989785953
sub-064,0.6038172913989908,0.6008574091332712,-0.0029598822657195267,0.4815204940614335,0.46760206097452856,0.5592360498466651,0.5404774472626895
sub-067,0.765159018894496,0.7590494111087881,-0.0061096077857079045,0.40145253938947556,0.39703195083129106,0.5060512828706131,0.49699418839481585
sub-068,0.8257466467796315,0.555173867878925,-0.2705727789007065,0.6050189002945607,0.4609894410934005,0.5879948902051417,0.38000289428127265
sub-071,0.8304740087813218,0.829006590910961,-0.0014674178703608654,0.5028073674915554,0.4875022531078321,0.4757864138002914,0.46543681637877293
sub-083,0.7644725911766544,0.765051139782071,0.0005785486054165068,0.4725441786307255,0.4611161265033747,0.4918621044058819,0.4796759704559019
sub-085,0.8298403662580723,0.8261018813217577,-0.003738484936314679,0.5477176163943815,0.5311794432255877,0.5542991380954343,0.5369293831311737
sub-087,0.867005935497964,0.8738714294435664,0.00686549394560243,0.5406380304066433,0.5231224465953218,0.5520833509380079,0.5338585100286752
sub-088,0.8273083740667132,0.8262627076534654,-0.00104566641324777,0.4670724917885804,0.45420648515322054,0.49763665684191805,0.4842531587590129
sub-093,0.9516660849758445,0.9517190391565297,5.295418068518298e-05,0.6263278863164762,0.598284306400807,0.6334606819645049,0.6053850772334917
sub-094,0.732464683738811,0.7333421356280533,0.0008774518892422645,0.40100667840890153,0.3907582937733543,0.4409066265997767,0.43136264673276675
sub-095,0.8933959666229089,0.8935787504436776,0.00018278382076875044,0.5933411779401574,0.5683580855348918,0.5900154521336421,0.5670457461586441
sub-096,0.757659004104097,0.7573393844844702,-0.00031961961962678753,0.49300316456494075,0.4797227247174663,0.4306801261727777,0.4217240988734626
sub-097,0.8599669967902869,0.8581712473863383,-0.0017957494039485544,0.5956332117434994,0.5718592713543207,0.5836900825822889,0.5617901525274114
sub-107,0.8003188727976227,0.7998042856263347,-0.0005145871712880501,0.5599277180414499,0.542587665745066,0.5618039730137161,0.5439189324167553
