subject,pIPS_LO,PFS_pIPS,PFS_LO,V1_pIPS,V1_LO,between_dorsal,between_ventral
sub-025,0.707160125142207,0.7302640169221529,0.7574312854408206,0.4748912405657514,0.5537361362903664,0.4946086958655042,0.47507130476857234
sub-038,0.7987782352888176,0.7687554643889972,0.7994566214433602,0.31717659045278834,0.2719823877334284,0.48541180962680575,0.47730254457944143
sub-057,0.9275380627163028,0.6924459511539629,0.6813148923989695,0.5313759492506499,0.5217939469562561,0.5945086837524544,0.6191975467571653
sub-059,0.8801469250560932,0.8671919440611663,0.8948165821652252,0.5220316936200018,0.524205194214704,0.5908591460295299,0.5867248803581668
sub-064,0.6038172913989908,0.619544043163599,0.8724868721102952,0.3752764069633781,0.24809273595122538,0.4815204940614335,0.5592360498466651
sub-067,0.765159018894496,0.7117947030761639,0.8766869277240243,0.7167298479104736,0.8081671157987528,0.40145253938947556,0.5060512828706131
sub-068,0.8257466467796315,0.45053833799298076,0.47013371041362,0.5631726595582017,0.4997497580994962,0.6050189002945607,0.5879948902051417
sub-071,0.8304740087813218,0.7486647666035974,0.7585228238333164,0.47521161654394056,0.3763894434965695,0.5028073674915554,0.4757864138002914
sub-083,0.7644725911766544,0.7684900211216,0.8900529773257047,0.32543502779344236,0.22913786975237946,0.4725441786307255,0.4918621044058819
sub-085,0.8298403662580723,0.8125360824742268,0.8580381293690549,0.5763726033627539,0.49882276234288403,0.5477176163943815,0.5542991380954343
sub-087,0.867005935497964,0.8296727481173889,0.8627684883775787,0.33581807221402293,0.3530702831965669,0.5406380304066433,0.5520833509380079
sub-088,0.8273083740667132,0.7955972285820663,0.8722401287632746,0.2604464102420544,0.3380509718453943,0.4670724917885804,0.49763665684191805
sub-093,0.9516660849758445,0.9270979430304215,0.9445305292977957,0.8565122485986669,0.8498394546278529,0.6263278863164762,0.6334606819645049
sub-094,0.732464683738811,0.705506955785888,0.8466914285129591,0.3307043765139806,0.3523948279002003,0.40100667840890153,0.4409066265997767
sub-095,0.8933959666229089,0.9224081071337971,0.911181554634371,0.8812046577504838,0.8393966574228747,0.5933411779401574,0.5900154521336421
sub-096,0.757659004104097,0.649591280653951,0.7444502681554189,0.48844104794780213,0.3445352519534579,0.49300316456494075,0.4306801261727777
sub-097,0.8599669967902869,0.8875872659057449,0.9234045735143833,0.714381954475128,0.6180655215883073,0.5956332117434994,0.5836900825822889
sub-107,0.8003188727976227,0.8007940495602828,0.8376755002300623,0.5196409949568339,0.5047253498277612,0.5599277180414499,0.5618039730137161
