comparison,obj_mean,ctrl_mean,t,df,p,dz
pIPS-LO vs V1-pIPS,0.7870990171125137,0.5008778210684586,7.719876320030605,17,5.909512614285891e-07,1.8195922986050301
pIPS-LO vs V1-LO,0.7870990171125137,0.4719024727209187,8.19739184537902,17,2.6149869751905384e-07,1.932143787303604
pFS-pIPS vs V1-pIPS,0.7703191526468041,0.5008778210684586,7.4461425102808585,17,9.558177866157677e-07,1.7550726209003387
pFS-LO vs V1-LO,0.8450108960346538,0.4719024727209187,9.689914183640292,17,2.4518624419836127e-08,2.2839346761225867
