comparison,t,p_uncorrected,p_holm,dz
pIPS-LO vs V1-pIPS,7.719876320030605,5.909512614285891e-07,1.1819025228571782e-06,1.8195922986050301
pIPS-LO vs V1-LO,8.19739184537902,2.6149869751905384e-07,1.0459947900762154e-06,1.932143787303604
pFS-pIPS vs V1-pIPS,7.4461425102808585,9.558177866157677e-07,1.1819025228571782e-06,1.7550726209003387
pFS-pIPS vs V1-LO,8.027207307778193,3.4849408968490626e-07,1.0459947900762154e-06,1.8920309071067232
pFS-LO vs V1-pIPS,9.443289610329058,3.560894515157279e-08,1.7804472575786395e-07,2.2258047067240496
pFS-LO vs V1-LO,9.689914183640292,2.4518624419836127e-08,1.4711174651901677e-07,2.2839346761225867
