comparison,t,p_uncorrected,p_holm,dz
pFS-pIPS vs pFS-LO,-3.990063222008304,0.0009473865533604222,0.0018947731067208444,-0.9404669205483722
V1-pIPS vs V1-LO,1.7601348129323156,0.09636434614599308,0.09636434614599308,0.41486775400898523
